A Republican strategy to counter the re-election of Obama 	Una estrategia republicana para obstaculizar la reelección de Obama
An exception is in effect only for citizens of countries where Russian is a state language.	Son excepción los ciudadanos de los países donde el ruso es la lengua oficial.
People who received education certificates and diplomas before the fall of the USSR in 1991 are also exempt under the law.	No estarán sujetas a esta ley las personas que lograron obtener sus certificados de educación y diplomas antes de la disolución de la Unión Soviética en 1991.
Purpose, doomed fate, and the protection of rights	Utilidad, fatalidad y defensa de los derechos
Seven testing points will be operating under the auspices of the Pushkin Institute of Russian Language, Peoples' Friendship University of Russia, Moscow State University (MGU), St. Petersburg State University (SPbGU), and other Russian education institutions.	La red de centros examinadores funcionará auspiciada por el Instituto de Lengua Rusa Pushkin, la Universidad de la Amistad de los Pueblos, la Universidad Estatal de Moscú, la Universidad Estatal de San Petersburgo y otras instituciones de enseñanza superior rusas.
Migrants can take the tests in all cities; more than 160 such centres have been opened.	Los inmigrantes podrán presentarse a las pruebas en todas las ciudades, ahora mismo en Rusia están abiertos más de 160 centros de este tipo.
The initiative to introduce the testing was supported by State Duma members and the Federal Migration Services.	La iniciativa sobre la introducción del examen fue apoyada por los diputados de la Duma Estatal y por el Servicio Federal de Inmigración.
But human rights activists, asked the question repeatedly in the press before the law came into force: what will it actually achieve?	Pero los defensores de los derechos, mucho antes de que la ley entrara en vigor, lograron muchas veces hacer esta pregunta a la prensa: ¿Y qué aportará esto en realidad?
What will the obligation to know Russian change for the Russians and for the non-residents?	¿Qué cambios traerá la obligatoriedad del conocimiento de la lengua, tanto para los rusos como para los propios inmigrantes?
First of all, according to representatives of the migration service, this will allow to reduce the number of people suffering from labour slavery.	En primer lugar, responden los representantes del Servicio de Inmigración, esto permitirá reducir el número de personas que sufren "esclavitud laboral".
Many speak about protection of the rights of work migrants, explains the Head of the representative office of the Federal Migration Services of Russia, Viktor Sebelev.	Mucha gente habla hoy sobre la defensa de los derechos de los inmigrantes laborales, explica Víctor Sebelev, jefe de la representación del Servicio Federal de Inmigración de Rusia en Tayikistán.
Rights protection should begin before their departure.	La defensa de sus derechos debe iniciarse antes de su partida.
Only the system of organized selection will enable us to solve 90% of the problems of foreign workers.	Sólo un sistema de selección organizada permitirá resolver el problema de los trabajadores inmigrantes en un 90% de los casos.
Migrants without profession, education, who do not know Russian, who do not have a medical certificate start to have problems.	Los problemas los tienen los inmigrantes sin profesión, educación, los que no saben la lengua ni pasan el control médico.
If a migrant does not understand the language, says Sebelev with certainty, he is doomed to come across unconscientious people, who, pretending to help, will force upon him a "ticket" to terrible, cramped barracks where many others like him will suffer without food and documents, slaving away 12-14 hours a day.	Sin la comprensión de la lengua, afirma Sebelev, el futuro inmigrante se verá condenado a encontrar personas sin escrúpulos que, con el pretexto de ayudar, le metan un "viajecito pagado" a una espeluznante y estrecha covacha, donde él y docenas de otros como él se consumen durante meses sin comida ni documentos, trabajando de 12 a 14 horas al día.
We receive many complaints from our migrants.	Recibimos un sinnúmero de quejas de nuestros inmigrantes.
"They are promised one thing at home, but when they arrive, they are lied to, their passports are taken, they are not paid what they were promised," confirms the Head of the Main Migrant Labour Administration of the Migration Service of Tajikistan Tolib Sharipov.	"En su patria les prometen una cosa, pero al llegar son engañados, se les priva de sus pasaportes, no les pagan los salarios prometidos", confirma el Jefe de la Dirección de inmigración laboral del Servicio de inmigración de Tayikistán, Tolib Sharipov.
Not be angry, boss!	¡No se enoje, jefecito!
Nonetheless, many citizens of Central Asian countries, who plan to go to work in Russia, admit that not only their understanding of the language of the country where they are going is not good, but they can barely write in their own language.	Sin embargo, mientras tanto muchos ciudadanos de las repúblicas de Asia Central que desean trabajar en Rusia reconocen que no sólo no saben la lengua del país al que pretenden ir, sino que además en su lengua propia escriben con dificultad.
Naturally, this is not so much their fault, but due to poverty: very few Turks, Uzbeks, and Tajiks can afford even a basic education.	Por supuesto, esto no es tanto su culpa sino su propia desgracia: son pocos los turkmenos, uzbecos, tayikos que puedan darse el lujo de recibir educación primaria normal.
Their families don't even have food to feed their children, not to mention decent clothing, shoes, and supplies.	Esto se debe a que sus familias incluso no tienen nada que dar de comer a los niños, por no hablar ya de vestirlos, calzarlos y comprarles lo necesario para la escuela.
After reaching adolescence, these kids go to work at the first opportunity.	Al llegar a la adolescencia, estos chicos se aventuran a trabajar a la primera oportunidad.
It is hard, if language knowledge is bad, they admit.	Es difícil, si no se sabe la lengua, reconocen ellos.
"You feel humiliated and inferior."	"Uno se siente humillado e inferior".
But human rights activists note one important point about the law on language.	Sin embargo, en lo que se refiere a la ley sobre la lengua, los defensores de los derechos señalan un punto importante.
Testing will be conducted only for those migrants who have legal status.	Los exámenes se llevarán a cabo sólo para aquellos inmigrantes cuyo estatus sea legal.
If they have no status, there will be no testing, nor any official work in the future.	Si no tienen ese estatus, no habrá ni examen y, en consecuencia, ningún trabajo oficial.
In the meantime, most of the migrant workers continue to live in Russia illegally.	Mientras tanto, la mayoría de los trabajadores inmigrantes siguen viviendo en Rusia ilegalmente.
"Welcome, or No Unauthorized Entry"	"Bienvenidos o prohibido el paso a extraños"
Many of the foreigners assert that receiving official status in our country is not that easy.	Muchos visitantes afirman que recibir el estatus oficial en nuestro país no es tan fácil.
The reason lies in bureaucratic hurdles and the already mentioned language difficulties.	La causa está en los obstáculos burocráticos y en las dificultades de la lengua en sí.
In addition, legalization costs money: from 12,000 to 16,000 rubles.	Además, la legalización cuesta dinero: de doce mil a dieciséis mil rublos.
Whereas a fake registration is done quickly and costs only one and a half thousand.	Sin embargo, una inscripción falsa se puede hacer rápidamente y por sólo mil quinientos rublos.
Officers of the Russian Police know that we mainly have fake papers, without registration, hence the extortion.	Los empleados de la policía rusa saben que generalmente llevamos documentos falsos, no estamos inscritos y aparecen los casos de extorsión.
"They ask for a hundred or two for cigarettes, tea," Umed Khushkadamov, a citizen of Tajikistan, shared with journalists.	"Nos piden cien o doscientos rublos para cigarrillos o té", comentó a los periodistas el ciudadano de Tayikistán, Umed Hushkadamov.
"Roll up, don't be cheap, get your artwork"	"Vamos, no seas tacaño, compra una pintura"
On the first day of the law's entry into effect it turned out that not only migrant registration documents can be fake.	El primer día de la entrada en vigor de la ley sobre la lengua, se puso de manifiesto que no sólo los documentos de registro de inmigrantes pueden ser falsos.
A few forged certificates about passing language tests have been seized by Federal Migration Services officers already.	Varios certificados "falsos" de conocimiento de la lengua ya han sido incautados por funcionarios del Servicio Federal de Inmigración.
Forged documents are printed on a standard colour printer.	Los documentos falsificados habían sido impresos en impresoras estándar de color.
Naturally, they were not free for their owners: each of the migrants, who had hoped to facilitate the task of passing the tests in this way paid seven thousand rubles for them.	Por supuesto, llegaron a las manos de los nuevos propietarios no como regalo: cada inmigrante, queriéndose facilitar la tarea de pasar las pruebas, pagó por el documento siete mil rublos.
It is two and a half times more than the process of official testing, which costs three thousand.	Esto es dos veces y medio más caro que el procedimiento oficial de examen, que costará al trabajador inmigrante tres mil rublos.
Government officials and human rights activists agree that the main goal in the near future is to protect the system from corruption, so that the certificates could not just be bought.	La principal tarea para un futuro próximo es proteger el sistema contra la corrupción para que los "diplomas" no se puedan comprar, convergen los funcionarios del gobierno y los defensores de los derechos.
For the moment, the authorities can promise migrant workers who could not pass the test the first time to give time to complete a basic language course.	Hasta el momento, las autoridades pueden prometer a los trabajadores inmigrantes que no hubieran podido pasar con éxito el examen la primera vez más tiempo para estudiar el curso básico de la lengua.
In addition, those who come without Russian language knowledge will be offered work in areas that do not require active communication with people.	Además, a los inmigrantes que no hablen ruso se les ofrecerán trabajos que no requieren comunicación activa con las personas.
The Ministry of the Interior does not put arms from the illegal market back into circulation	El Ministerio del Interior no toma medidas drásticas contra el comercio ilegal de armas
The share of crime involving legal weapons is extremely low	El porcentaje de delitos cometidos con armas registradas es bastante reducido
The Russian Ministry of the Interior is proposing to toughen up the law for owners of civil weapons.	El Ministerio del Interior propone aplicar la ley con mayor rigidez en relación a los propietarios de armas de uso civil.
This is the reaction of authorities to recent incidents: CLICK shots at weddings, where there were no casualties, and the massacre staged by Moscow lawyer Dmitry Vinogradov, resulting in CLICK the death of seven people.	Esta es la reacción del gobierno ante los recientes incidentes: Apretar disparos durante celebraciones de bodas en las que por suerte no hubo víctimas, y la masacre iniciada por el abogado moscovita Dimitri Vinográdov, en la que Apretar siete personas perdieron la vida.
Policemen want to prohibit the carrying of weapons in public places and raise the legal age of weapons licensing from 18 to 21.	La policía quiere prohibir el uso y la posesión de armas traumáticas en lugares públicos y elevar la edad mínima para la obtención de licencia para portar armas, de 18 años a 21 años.
The idea was supported by the head of the Duma Committee on Safety and Anti-Corruption, Irina Yarovaya, who promised that the amendments to the law on weapons will be brought to the State Duma in the near future.	Esta idea fue apoyada por la jefa del comité de la Duma en materia de seguridad y lucha contra la corrupción, Irina Yarovaya, quien prometió que las reformas en la ley sobre la posesión armas serán llevadas a la Duma del Estado en un futuro próximo.
Not everyone is happy that the Russian authorities are trying to fight the problem by "tightening the screws."	No todos se sienten contentos con el hecho de que las autoridades rusas estén tratando de contrarrestar este problema aplicando la "política de mano dura".
An open letter appeared online, whose authors - representatives of different social rifle organizations - demand to abandon the "senseless toughening."	En la red ha aparecido una carta abierta, cuyos autores, representantes de diversas organizaciones sociales de tiradores, exigen que se desista de tales medidas de "rigurosidad sin sentido".
The percentage of crime involving registered weapons is minimal, said criminal lawyer Vasily Lesnikov to BBC Russia.	El porcentaje de actos de vandalismo con uso de armas registradas es mínimo, comentó al servicio de noticias BBC de Rusia, el abogado criminalista Vasiliy Lésnikov.
According to the Ministry of the Interior's statistics, 142 crimes using firearms registered with law enforcement agencies have been committed in the six months of 2012, whereas 1,168,000 crimes have been recorded in total for this period.	Según estadísticas del Ministerio del Interior, durante seis meses del año 2012 se cometieron 142 delitos con uso de armas de fuego registradas en órganos del Interior, frente al total de 1168 delitos registrados para este mismo periodo.
Authors of the open letter are certain that the toughening of the law in the area of civil weapons will not prevent the criminal from going to the "black" market.	Los autores de la carta abierta están seguros de que una legislación más estricta en el sector de armas de uso civil no será un inconveniente para que el delincuente se dirija al mercado negro.
According to them, one can find any weapon at a low price right now.	Ahora, según sus palabras, en Moscú se puede encontrar cualquier arma a bajo precio.
Nonetheless, the Ministry of the Interior asserts that the situation of the spread of illegal arms is under control.	Mientras tanto, en el Ministerio del Interior se afirma que la situación de la proliferación de armas ilegales se encuentra bajo control.
Suppliers: from plants to officers	Proveedores: desde fábricas hasta oficiales
The "black" market of weapons is replenished through several channels.	El mercado negro de armas se abastece a través de varios canales.
There are five such channels, explains retired colonel Viktor Baranets, who has worked in the Ministry of Education and the General Staff for 10 years.	Los canales principales son años, dice el coronel retirado Víctor Baranets, quien durante diez años trabajó en el Ministerio de Educación y en el Alto Estado Mayor.
Screenshot of the site that accepts orders for weapons.	Captura de pantalla del sitio web que acepta pedidos de armas
First: "army or military loot," i.e. weapons that were stolen during the fighting in the Caucasus.	El primero, "vestigio del ejercito o militar", es decir, las armas que fueron robadas durante las acciones militares en el Cáucaso.
"Weapons were stolen by Russian officers and by the Caucasians," says Baranets.	"Las armas fueron hurtadas por los oficiales rusos y por los mismos caucásicos", dice Baranets.
Next are "black weapons," stolen by criminals from representatives of defence agencies.	El siguiente tipo de "arma negra",las robadas por delincuentes y representantes de las fuerzas de seguridad.
Baranets explains that this covers weapons taken from police warehouses and those stolen directly from law enforcement agencies' employees.	Baranets explica que aquí se incluyen las armas hurtadas de los almacenes de la policía y aquellas robadas directamente por funcionarios de los órganos de cumplimiento de la ley.
Illegal arms are taken to be sold from military warehouses.	Las armas ilegales salen a la venta desde los arsenales militares.
Explosions have often been heard at military warehouses.	En muchos arsenales militares a menudo había explosiones.
"There are proven theories that some of the fires were intentional, in order to cover the shortage," says the former military man.	"Existen versiones demostradas de que algunos incendios fueron provocados premeditadamente para cubrir la falta", comenta un exmilitar.
Manufacturers of weapons make their contribution, according to Baranets.	Según Baranets, los fabricantes de armas también ponen su granito de arena.
"There are so many private weapons factories now, which do not endure competition on the international market and throw weapons from under the counter to the black market, including in Moscow," says the expert.	"Ahora han proliferado fábricas privadas de armas que no son competitivas en el mercado internacional y distribuyen armas bajo cuerda al mercado negro, incluido el de Moscú", dice el experto.
Another source of the "black" market is trafficking.	Una fuente más del mercado negro es el contrabando.
An especially high number of guns and machine guns come from poor countries like Kyrgyzstan.	Gran cantidad de pistolas y ametralladoras provienen de países pobres como Kirguistán.
"There's production there, sometimes handmade; and a mafia has formed, which has organized a stream," explains the former military man.	"Allí cuentan con su propia producción, a veces artesanal, y se ha formado una mafia que ha organizado el flujo de armas", explica el ex militar.
Where do the weapons come from?	¿De dónde vienen las armas?
Experts counted the approximate share of each of the sources of supply of illegal weapons to the "black" market.	Los expertos han calculado cuál es la participación aproximada de cada una de estas fuentes de suministro de armas ilegales al mercado negro.
A report about this was prepared by the Centre of Problems Analysis and Public Management Planning in 2011.	Un informe sobre este tema fue elaborado en 2011 por el Centro de análisis de problemas y planificación de la gestión pública.
Experts analysed the reports of the Department of the Interior and Rosstat, criminology literature and open data from portals on weapons.	Los especialistas analizaron informes del Ministerio del Interior y de Rosstat, bibliografía criminológica y datos de acceso público de portales cuya temática gira en torno a las armas.
The overwhelming majority of illegal weapons, according to the researchers, comes from the military and security forces.	La gran mayoría de las armas ilegales, según los investigadores, provienen de las fuerzas armadas y de las fuerzas de seguridad.
Half of all arms on the black market are there "because of officials, whose work is connected with weapons," states the report.	La mitad de las armas del mercado negro ha llegado allí "por culpa de funcionarios cuyo trabajo está relacionado con las armas", se dice en el informe.
According to researchers' data, 17% of the time the weapons are received from armed conflict areas, 14% is theft during production, 5% is "black archaeology."	Según los investigadores, el 17% de las armas provienen de lugares donde hay conflictos armados, el 14% de los casos se roba durante la producción de armas y el 5% corresponde a la "arqueología ilegal".
A sales consultant of one of the weapons stores, who wished to remain anonymous, asserts that the weapons found by "black" diggers are not being bought any more, because they're too old.	El dependiente de una de las tiendas de armas, que pidió que su apellido no fuese mencionado, dice que las armas encontradas por excavadores ilegales no las compra nadie desde hace ya mucho tiempo porque son demasiado viejas.
According to him, dealers go to the military warehouse for a new batch of goods.	Más a menudo, dice, los proveedores se dirigen a almacenes militares cuando necesitan una partida.
One piece, for example a TT gun can be bought from a warrant officer.	A través de algún alférez, el proveedor compra una unidad, por ejemplo una pistola TT.
It is issued to him, and given through the fence.	La eliminan del registro y la pasan por encima de la valla.
"He takes it to the city and sells for 900 euros a piece with two magazines," he says.	"Éste lleva el arma a la ciudad y la vende a 900 euros por unidad con dos cargadores", nos cuenta
"The truth is that police are aware of everything, that is why periodically, when the crime detection rate is low, it conducts test purchases from illegal weapons merchants," says the consultant.	"Pero, claro, la policía esta al tanto de todos los asuntos, así que periódicamente, cuando hay que cumplir el plan de descubrimiento de delitos, realizan compras de prueba a los comerciantes de armas ilegales", añade el dependiente.
"Like in a luxury store"	"Como en una boutique de lujo"
The buyer and seller often find each other through friends.	El vendedor y el comprador suelen encontrarse a través de conocidos.
I looked at sites, blogs, till someone responded, offering me to go to Begovaya station, where a man will be waiting for me to take me to the "corner" so we can negotiate.	"Visité páginas web y blogs hasta que un tipo que me propuso que fuera a la plataforma "Begovaya", donde estaría un hombre que me llevaría a una "esquinita" donde podríamos negociar.
I found out the price of the weapon only there	Del precio del arma, me enteré sólo allí".
military commentator Viktor Baranets	Comentarista militar Viktor Baranets
To get a weapon, I need someone with connections, says the sales consultant. - I have an acquaintance, but I'm not sure it's reliable.	"Para conseguir un arma necesito un amigo que tenga contactos", dice el dependiente de la tienda. "Tengo un amigo así, pero no confío mucho en él".
There are salesmen on labour markets, but one needs to "come" there conditionally "from John Doe, who asked to tell that his daughter lost a tooth."	En los mercados hay vendedores, pero allí también se tiene que llegar, digamos "de parte del Sr. Ivanovih, que pidió que le dijera que se le había caído un diente a su hija".
Right now, even if I need a few knuckledusters, I get them through someone I trust.	Incluso puedo conseguir un par de manoplas de acero a través de una persona de confianza.
He also supplies them only to me, because he knows that I won't give him away.	Él también me los suministra sólo a mí porque sabe que no le voy a delatar.
Beginners look for weapons in different ways.	Los novatos buscan armas de diferentes maneras.
Former military man Viktor Baranets tried himself as a buyer of illegal weapons in the mid-1990's, when he was preparing to publish an article about this.	El ex militar Viktor Baranets se puso a prueba en el papel de comprador de armas ilegales a mediados de los años 1990, cuando se disponía a publicar un artículo sobre este tema.
The formulas are still the same, according to him.	Los esquemas, según sus palabras, no han cambiado.
He was given an album of pictures with "anything and everything."	Le entregaron un álbum de fotos donde no había "de todo".
"I felt like I was in a luxury store," he recalls.	"Me sentí como en una boutique de lujo", recuerda el militar.
According to Baranets, the buyer is not offered a pig in a poke - you can try out everything.	Al comprador, según palabras de Baranets, no le ofrecen gato por liebre: todo lo que hay se puede probar.
I, the potential client, am not just buying; we go to the forest with the seller and set a target there.	Yo, como cliente potencial, no sólo compro; vamos con el vendedor al bosque, donde ponemos un blanco.
"I am given the opportunity to shoot, and when I am certain that the weapon is good, we begin to negotiate," describes the expert.	"Me dan la oportunidad de disparar y cuando me aseguro de que el arma dispara bien, comenzamos a negociar", describe el procedimiento el experto.
Store on a sofa	Tienda de sofás
Internet searches lead to sites and "Vkontakte" groups, where weapons "for different purposes" are on offer.	Los motores de búsqueda web conducen a sitios y grupos de "Vkontakte", donde se ofrece comprar armas "para diferentes propósitos".
No documents or personal meetings are needed.	Para esto no se requiere ningún documento ni encuentros personales.
"It's enough to have a certain sum of money," says the advertisement heading on the website "Buy a pistol or rifle."	"Es suficiente tener una cierta cantidad de dinero", escriben en el titulo del aviso publicitario "Comprar una pistola o una ametralladora".
Users leave their requests and ask questions.	Allí los usuarios hacen sus pedidos y ponen preguntas.
Can a minor buy?	¿Y venden a menores de edad?
"Without a license, of course," asks user "John" (name is changed).	"Sin permiso, por supuesto", pregunta al usuario "Iván" (ortografía conservada).
"Want to buy a TT, Moscow," concisely requests "Fedorenkov."	"Compro pistola TT. Moscú", lacónicamente formula su pregunta "Fedorenkov".
Federal Security Service now spread a big network of fake sites and there are tons of potential buyers of military weapons.	El Servicio Federal de Seguridad ha creado una enorme red de sitios web ficticios y captura a dos manos a aquellos que desean comprar armas de fuego.
People come like hungry fish to bait, and then mine coal in Siberia.	Y la gente va, como pez hambriento hacia el cebo, y luego, a extraer carbón en Siberia
military commentator and former military man Viktor Baranets	comentarista militar y exmilitar Viktor Baranets
I heard about this: normally the site is registered outside the area of applicability of the laws of Russia.	He oído hablar de estos sistemas: por lo general, el sitio web está registrado fuera del alcance de las leyes rusas.
People accept orders.	La gente hace los pedidos.
The buyer pays at an ATM.	El comprador realiza el pago a través de un cajero automático.
"In response, a photo is sent with instructions on where the weapon is hidden," says Press Secretary of the Rights to Weapons non-governmental organization Dmitry Kislov.	"En respuesta, le envían una foto y las instrucciones para que sepa dónde está oculta el arma", relata el secretario de prensa de la ONG "El derecho a las armas", Dmitri Kislov.
Viktor Baranets confirms that after leaving a request on the site you can stay without a weapon and go to jail.	Viktor Baranets afirma que si se hace un pedido en línea, uno se queda sin arma y lo meten en la cárcel.
The Federal Security Service now spreads a big network of fake sites and there are tons of potential buyers of military weapons.	El Servicio Federal de Seguridad ha creado una enorme red de sitios web ficticios y captura a dos manos a aquellos que desean comprar armas de fuego.
"People are like hungry fish after bait, and end in Siberia mining coal," - he says.	"Y la gente va, como pez hambriento hacia el cebo, y luego, a extraer carbón en Siberia", afirma él.
Makarov for 100 dollars	Makarov por 100 dólares
When buying illegal firearms, 100 to 900 dollars is enough according to experts.	En la compra de armas de fuego ilegales, según los expertos, uno se puede gastar de 100 a 900 dólares.
According to Dmitry Kislov from the Rights to Weapons organization, a Makarov gun can be acquired for 100-300 dollars.	Según Dmitri Kislov de la ONG "El derecho a las armas", una pistola Makarov se puede adquirir por 100-300 dólares.
The wait time is a month to a month and a half.	Se deberá esperar un mes y medio.
It is shipped from long-term storage warehouses by the mid-level management of these warehouses.	Es enviada desde los almacenes militares por los jefes de rango medio.
According to official statistics of the authorities, the number of such crimes in Russia on the whole dropped 7% as compared to January-October 2011, amounting to 22,900, while the number of cases of theft and extortion of weapons, ammunition, explosive substances and explosive devices dropped by 7.8%.	De acuerdo con las estadísticas oficiales del ministerio, en comparación con el periodo enero-octubre de 2011, el número total de estos delitos en Rusia se redujo en un 7%, lo que constituye 22.900, y el número de casos identificados de robo y extorsión de armas, municiones, explosivos y artefactos explosivos disminuyó en un 7,8%.
Fast-food and supermarket workers are on strike in the U.S.A.	Se ponen en huelga los empleados de restaurantes de comida rápida y supermercados en EE.UU.
Up to a fourth of all American teenagers have worked the cash register at McDonald's at one time or another	Hasta una cuarta parte de adolescentes estadounidenses encuentran sus primeros trabajos como cajeros en "McDonald's"
In the last few days, there is a wave of protest actions in the U.S.A. against low salaries in supermarkets of the Walmart chain and popular fast food chain restaurants like McDonald's, Burger King, Taco Bell, Wendy's and Kentucky Fried Chicken.	En los últimos días, en los Estados Unidos se ha iniciado una ola de protestas contra los bajos salarios que se pagan en los supermercados de la corporación Walmart y en restaurantes de las populares cadenas de comida rápida, tales como "McDonald's", "Burger King", "Taco Bell", "Wendy's" y "Kentucky Fried Chicken".
Right now, nobody is able to predict whether this wave will turn into the ninth wave or it is destined to fizzle out early.	Por ahora nadie se atreve a aseverar si llegará o no esta ola a los nueve puntos, o si tiene destinado perder fuerzas y amansarse en sus primeras etapas.
Actions are being supported by unions and a series of left-wing organizations.	Las acciones de protesta cuentan con el apoyo de los sindicatos y de una serie de ONG de izquierdas.
In addition to increasing the low wages received by employees of Walmart and fast food chains, the goal of the protesters is to create unions within them.	Además del aumento de los modestos salarios percibidos por los trabajadores de Walmart y los del sistema de comida rápida, el objetivo de los organizadores de las protestas es la creación de sindicatos de trabajadores en estas empresas.
This sector of the economy is not covered by any union movement yet.	Por ahora, este sector de la economía prácticamente no ha sido ocupado por el movimiento sindical.
46 cents a year?	¿Cuarenta y seis centavos al año?
Actions began last week after Thanksgiving, on Black Friday, when massive sales drew millions of people in America, sometimes accompanied by clashes.	Las acciones comenzaron la semana pasada, después del día de Acción de Gracias, el llamado "Viernes Negro". Ese día, en Estados Unidos coomenzaba la orgía de rebajas que capturó a millones de habitantes, y que a veces estuvo acompañada de enfrentamientos.
On this day, some employees of the Walmart corporation, which employs 2.2 million people around the world, left their workplaces and picketed together with the unions and left-wing activists from the corporation stores that sell products to people on low-to-medium incomes.	Ese día, algunos trabajadores de la corporación Walmart, que emplea a 2,2 millones de personas en el mundo, abandonaron sus puestos de trabajo y formaron piquetes de protesta junto a los sindicatos y activistas de izquierdas en las tiendas de la corporación, cuyos productos se dirigen a personas de ingresos modestos y moderados.
Walmart sells everything imaginable, from diapers, hunting rifles and car batteries, to vacuum cleaners, eggs and milk.	Walmart vende de todo, desde pañales, rifles de caza y baterías para coches, hasta aspiradores, huevos y leche.
Products in its stores are on average 8% to 27% cheaper than in major supermarkets.	Los productos en sus tiendas son de media entre un 8% y un 27% más baratos que los de los supermercados más grandes.
So many low-paid Walmart employees shop only at their workplace.	Es por eso que muchos trabajadores mal pagados de Walmart compran sólo en el trabajo.
Availability and assortment made Walmart one of the biggest American corporations.	La disponibilidad y el surtido de productos han hecho de Walmart una de las corporaciones más grandes de America.
According to critics, Walmart can afford to sell the products cheaply partly because it pays little to its employees.	Según las palabras dos críticos, Walmart puede permitirse el lujo de vender productos a muy bajo precio, en parte porque paga poco a sus trabajadores.
These latter also complain about hard work conditions, for example lack of lift trucks and hand-held scanners.	Estos últimos también se quejan de las malas condiciones laborales, tales como la falta de montacargas o escáneres de mano.
Protesters on Black Friday demanded a salary increase and complained that the cost of medical insurance provided by the corporation went from 30 to 100 dollars a month.	Ese "Viernes Negro" los participantes de la manifestación exigieron el aumento de salarios y se quejaron de que el coste del seguro de salud proporcionado por la corporación pasó de 30 a 100 dólares mensuales.
A typical Walmart employee, receiving 9.5 dollars/hour, cannot afford this.	Para un trabajador típico de Walmart, que recibe 9,5 dólares por hora, este gasto es excesivo, dijeron.
Scientists from the Berkeley University in California argue that if Walmart raises the average salary to 12 dollars/hour, it will cost the corporation 3.2 billion dollars.	Científicos de la Universidad de California en Berkeley argumentan que si Walmart aumenta el salario medio hasta 12$ por hora, esto le costará a la corporación 3,2 billones de dólares.
This is about 1.1% more than it spends on salaries right now.	Esto es aproximadamente un 1,1% más de lo que gasta en salarios ahora.
If Walmart fully shifts the cost of increasing wages to the shoulders of consumers, each visit to the store will cost only 46 cents more.	Si Walmart coloca el incremento salarial en los hombros de los consumidores, cada visita a la tienda les resultará sólo 46 centavos más caro.
In one year, they will only spend 12.39 dollars more than now.	En un año ellos gastarán la ridícula cantidad de 12,39 dólares más de lo que gastan ahora.
Walmart supporters happily note that the protests took place in nine states and did not cause any damage at all to the corporation.	Los partidarios de Walmart comentan satisfechos que la protesta tuvo lugar tan sólo en nueve estados y que no causó ninguna pérdida a la corporación.
Black Friday continued in its stores from 8 in the evening on Thursday till midnight the next day, and during the period Walmart sold about 5000 products a second.	El "Viernes Negro" se prolongó en sus tiendas desde las 8 de la tarde del jueves hasta la medianoche del día siguiente y, durante ese tiempo, Walmart vendió alrededor de 5000 artículos por segundo.
In total, its cash registers conducted nearly 100 million transactions on Black Friday.	En total, sus cajas registradoras realizaron el "Viernes Negro" casi 100 millones de transacciones.
Representative of the corporation, Dan Fogelman, asserted in an interview with a left-wing site, the Huffington Post, that a total of "less than five" Walmart employees left the workplace, and the protest act was just "another PR trick" of the union that organized it.	El representante de la empresa, Dan Fogelman, declaró en una entrevista al sitio web de izquierdas Huffington Post, que dejaron su puesto de trabajo "menos de cinco" empleados de Walmart y que la protesta no había sido más que "otro truco de relaciones públicas", organizado por el sindicato de trabajadores.
"Free cash register!"	"¡Caja libre!"
Protests continued this week in New York, where their object was not Walmart (they're not so welcome in the progressive city, that is why they don't exist here yet), but McDonald's and other cheap restaurants.	Las protestas continuaron esta semana en Nueva York, en las que los objetivos no eran precisamente los grandes almacenes Walmart (que en esta progresista ciudad no les tienen aprecio, y por eso por ahora no hay ninguno), sino los "McDonald's" y otros restaurantes baratos.
McDonald's says that it sells billions of portions, and despite this it doesn't even give you sick days or pay you for honest work!	¡McDonald's dice que vende miles de millones de porciones, y luego ni siquiera te conceden la baja por enfermedad y no te pagan por tu trabajo honesto!
Jumaane Williams, member of the City Council of New York	Jumaane Williams, miembro del Consejo Municipal de Nueva York
At the moment, the minimum salary according to federal and NY law is 7.25 dollars an hour.	Actualmente, de acuerdo con la ley federal y la de Nueva York, el salario mínimo es de 7,25$ por hora.
Fast food restaurants increase it with time, but very little. On average their ordinary employees in New York earn 8.90 dollars/hour.	Los restaurantes de comida rápida lo van aumentando con el tiempo, pero sólo ligeramente, y de media, los trabajadores ordinarios reciben en Nueva York 8,90 dólares por hora.
Nobody earns less in this expensive city.	Nadie gana menos que ellos en esta ciudad.
I cannot understand how one can survive in New York on this money.	Cómo es posible sobrevivir en Nueva York con ese dinero, para mí es algo incomprensible.
Once upon a time, almost a fourth of American teenagers went through McDonald's, working part-time after school, living with parents.	Hubo un tiempo cuando casi la cuarta parte de los adolescentes estadounidenses pasaban por los McDonald's y trabajaban allí, detrás de los mostradores, a tiempo parcial después de la escuela, aunque todavía vivían con sus padres.
Few saw this as a source of living or planned to stay there for long.	Pocos eran los que veían esto como la principal fuente de ingresos o planearan quedarse allí mucho tiempo.
Now I continuously come across interviews with McDonald's employees, who complain that they have to survive on this salary and sometimes even feed their children.	Ahora, constantemente tropiezo en algunas entrevistas con trabajadores de McDonald's que se quejan de que tienen que vivir de este salario, y a veces incluso alimentar a sus hijos.
On the other hand, there is a comment on the Wall Street Journal forum, whose author notes that it is irresponsible to have children if you do not know how you will feed them.	Por otro lado, en un foro de la revista Wall Street Journal hay un comentario cuyo autor señala que es irresponsable tener hijos si no sabe con qué darles de comer.
