UN Chief Says There Is No Military Solution in Syria	Șeful ONU declară că nu există soluții militare în Siria
In addition, both banks offer a discounted monthly instalment, compared to how much clients paid before conversion, in lei equivalent.	De asemenea, ambele banci ofera reducere la rata lunara, fata de cat plateau clientii inainte de conversie, echivalent în lei.
Risks	Riscuri
The problem is that the instalment in the first years is formed mostly of interest and the client reimburses very little from the principal.	Problema este ca rata în primii ani este formata mai mult din dobanda, iar clientul ramburseaza foarte putin din principal.
Bancpost's offer with a very low interest in the first three years seems advantageous to the client.	Oferta Bancpost cu dobanda foarte mica în primii trei ani pare avantajoasa pentru clienti.
It is not known, however, how this interest will evolve after three years.	Nu se cunoaste insa cum va evolua aceasta dobanda dupa trei ani.
The margin offered to the clients may exceed 3.25%, so the reduction of cost is lower.	Marja oferita clientilor poate fi mai mare de 3,25%, deci, pe total, și reducerea de costuri este mai mica.
A possible risk for all loans in lei with a variable interest is the fact that ROBOR index may increase significantly in the coming years (more than Libor index - CHF).	Un posibil risc pentru toate creditele în lei cu dobanda variabila, este ca indicele ROBOR sa creasca semnificativ în urmatorii ani (mai mult decat indicele Libor - CHF).
For example the current three months ROBOR is 1.44%, but in 2013 it had reached 6%, in 2009 to over 15%, and within a few days of 2008 it exceeded 40%!	De exemplu ROBOR la trei luni este acum 1,44%, insa în 2013 ajunsese la valoarea de 6%, în 2009, la peste 15%, iar în cateva zile din 2008 a depasit 40%!
In addition, it is possible to have other costs, not mentioned in the initial offer.	În plus, este posibil sa apara și alte costuri, nementionate în oferta initiala.
Decision time on interest rates for US Federal Reserve	A sosit momentul deciziilor privind rata dobânzii pentru Rezerva Federală a SUA
The world is watching as the US Federal Reserve meets over two days on Wednesday and Thursday, to take the crucial decision on whether or not to raise interest rates for the first time in nearly a decade.	Lumea își ațintește privirea spre întâlnirea programată peste două zile, miercuri și joi, când Rezerva Federală a SUA va lua decizia crucială dacă să crească sau nu rata dobânzilor pentru prima dată după aproximativ un deceniu.
A survey of 80 economists polled by Reuters found a little over half who only last week thought the Fed would go for it, now think it will hold fire a bit longer and keep rates at the current 0-0.25 percent range.	Într-un sondaj derulat de Reuters cu participarea a 80 de economiști, puțin peste jumătate care săptămâna trecută credeau că decizia va fi luată, cred acum că situația se va mai menține o vreme și că ratele dobânzilor vor fi păstrate în intervalul actual de 0-0,25%.
It's a historical event because it's been seven years since the Fed cut rates to zero.	Este un eveniment istoric deoarece au trecut șapte ani de când Rezerva Federală a adus ratele la zero.
For the first time we are approaching a situation where a major central bank might be able to get out of the zero bar and start a process of normalization of interest rates," said Angel Ubide, senior fellow at the Peterson Institute for International Economics.	Pentru prima dată, ne confruntăm cu o situație în care o bancă centrală majoră ar putea să renunțe la rata zero și să inițieze un proces de normalizare al ratelor dobânzii”, a afirmat Angel Ubide, analist șef în cadrul Peterson Institute for International Economics.
The US economy has been performing relatively well, the recovery adding trillions of dollars to the balance sheet and generating little inflation.	Economia SUA a evoluat relativ bine, redresarea aducând trilioane de dolari în bilanț și generând un nivel de inflație scăzut.
However the Fed cannot ignore the less rosy global outlook.	Însă Rezerva Federală nu trebuie să ignore situația globală mai puțin roz.
It has warned markets to be ready for a hike but indications are they also believe the odds are against such a move.	A avertizat piețele să se pregătească pentru o creștere însă există semne că până și ei cred că o astfel de mișcare este puțin probabilă.
The decision is due to be announced at 20.00 CET on Thursday.	Decizia va fi anunțată marți, 20:00 CET.
Stars who lost their mojo	Vedete care și-au pierdut farmecul
The actor (left), pictured with his son Redmond (right), has had a stressful few years.	Actorul (stânga), alături de fiul său Redmond (dreapta), a trecut prin situații stresante în ultimii ani.
In 2001, he battled leukemia, and in 2009, he lost long-time partner, Farrah Fawcett, to cancer.	În 2001 s-a luptat cu leucemia iar în 2009 și-a pierdut partenera de o viață, Farrah Fawcett, în fața cancerului.
The actor has also reportedly struggled with drugs, and in 2008, he was busted for drug possession.	Se zvonește și că actorul s-ar fi confruntat cu problema consumului de droguri iar în 2008 a fost arestat pentru posesie de droguri.
All that stuff sure does take a toll.	Toate astea au cu certitudine un cost.
Manchester United's Luke Shaw out for months with double fracture	Jucătorul Luke Shaw de la Manchester United stă pe bară câteva luni din cauza fracturi duble.
Luke Shaw suffered a double fracture of his right leg during Manchester United's Champions League defeat at PSV Eindhoven.	Luke Shaw a suferit o fractură dublă la piciorul drept în meciul jucat de Manchester United în Liga Campionilor, încheiat cu o înfrângere în fața PSV Eindhoven.
While this left the full-back in tears and will rule him out for at least six months, Louis van Gaal remains hopeful Shaw could play again this season.	După evenimentul care i-a adus lacrimi în ochi jucătorului și care îl va ține pe bară timp de cel puțin șase luni, Louis van Gaal rămâne optimist că Shaw va putea juca din nou sezonul acesta.
The injury was caused by a reckless tackle from Héctor Moreno in the 15th minute after the 20-year-old Shaw had burst into the PSV area.	Accidentarea s-a produs în urma unei intervenții nesăbuite din partea lui Héctor Moreno în minutul 15, după ce Shaw, în vârstă de 20 ani, a spart apărarea PSV.
He had nine minutes of treatment on the pitch and required oxygen before being taken to hospital.	A primit îngrijiri medicale timp de nouă minute pe teren și a avut nevoie de oxigen înainte de a fi dus la spital.
Van Gaal said: "He has a double leg fracture and is in hospital."	Van Gaal a declarat: „Are fractură dublă la picior și este în spital.”
He will be transferred tomorrow or maybe a day later and then operated on in Manchester.	Va fi transferat mâine sau poate poimâine apoi va fi operat în Manchester.
It is awful - a boy who comes to Manchester United at 18, has it very difficult and then plays fantastically and then this happens.	Este îngrozitor - un băiat care a venit la Manchester United pe când avea 18 ani, întâmpină dificultăți, apoi joacă fantastic și acum se întâmplă așa ceva.
When it was in the dressing room he had an oxygen mask on.	În vestiar i s-a pus masca de oxigen.
He was crying.	Plângea.
I am not a doctor but when you have a double fracture it is six months and he will not play in the group phase.	Nu sunt medic, dar la fractură dublă repausul este de șase luni și nu va juca în faza grupelor.
I hope he can play again this season.	Sper să poată juca din nou sezonul acesta.
Moreno appeared fortunate to escape a red card and the concession of a spot-kick.	Se pare că Moreno a avut noroc și a scăpat de cartonașul roșu și de concesia unei lovituri de pedeapsă.
Nicola Rizzoli, the referee, did not penalise the Mexican.	Arbitrul Nicola Rizzoli nu l-a pedepsit pe mexican.
Van Gaal suggested the Italian official had erred.	Van Gaal a sugerat că oficialul italian a greșit.
You can judge for yourself when I say it is a penalty and a red card.	Puteți judeca singuri când spun că este fault și cartonaș roșu.
It was a very bad tackle with two legs.	A fost o intervenție foarte urâtă, cu două picioare.
A tweet on Shaw's account read: "Thank you everyone for your messages, words can't describe how gutted I am, my road to recovery starts now, I will come back stronger."	Un mesaj pe contul de Twitter al lui Shaw: „Vă mulțumesc tuturor pentru mesaje, nu am cuvinte pentru a exprima cât de slăbit mă simt, încep drumul spre recuperare, voi reveni mai puternic.”
Related: Manchester United suffer Luke Shaw blow in defeat at PSV	Știri similare: Manchester United lovită de accidentarea lui Luke Shaw în înfrângerea de la PSV
The England defender will have an added incentive to recover with the European Championship in France next June.	Fundașul echipei Angliei are un motiv în plus să se recupereze pentru a juca la Campionatul european din Franța anul viitor în iunie.
Phillip Cocu, the PSV coach, said: "It's a very bad injury."	Phillip Cocu, antrenorul PSV, a declarat: „Este o accidentare foarte urată.”
If any player goes off with this kind of injury, everybody is very sad about it.	Toată lumea este foarte tristă atunci când un jucător suferă o astfel de accidentare.
It is never the intention of our players to injure an opponent.	Jucătorii noștri nu urmăresc niciodată să accidenteze un adversar.
Moreno suffered a broken leg when playing for Mexico against Van Gaal's Holland at the 2014 World Cup.	Moreno și-a rupt piciorul jucând pentru naționala Mexicului împotriva naționalei Olandei conduse de Van Gaal la Campionatul Mondial din 2014.
"He finds it very difficult because the intention was not to injure the opponent, and when you hear it is a very bad injury, it's not good," Cocu said.	„Îi este foarte greu deoarece nu a intenționat să își rănească adversarul, iar când auzi că este o accidentare foarte gravă, nu este bine”, a afirmat Cocu.
For me it was not possible to see the moment.	Eu nu am văzut faza.
The only thing I could see was the ball, which was heading in a different direction, so it looked like he [Moreno] touched it, but I couldn't see the tackle on Luke.	Nu am reușit să văd decât mingea, care se îndrepta într-o altă direcție, așa că a părut că [Moreno] a atins-o însă nu am putut vedea intervenția asupra lui Luke.
Speaking to SBS6, Moreno said: "I know how it feels, I know how difficult such a thing can be.	În declarația pentru SBS6, Moreno a spus: „Știu cum este, știu cât este de dificil să treci prin așa ceva.
I feel very bad about it, I am so sorry.	Mă simt foare prost, îmi pare atât de rău.
PSV's Andrés Guardado was also taken to hospital following a challenge by Chris Smalling.	Jucătorul PSV, Andrés Guardado, a ajuns de asemenea la spital după o intervenție din partea lui Chris Smalling.
Adam Lyth was clearly at risk of England omission but it's still tough	Adam Lyth a riscat clar omisiunea Angliei însă se ține încă tare
Taking on Pakistan in the United Arab Emirates is a tough assignment but after seeing the squad England have selected for the tour, a repeat of the 3-0 Test series defeat suffered last time does not look on the cards for me.	Victoria contra Pakistanului în Emiratele Arabe Unite este o sarcină dificilă însă, după ce am văzut echipa selecționată de Anglia pentru turneu, nu iau în calcul o repetare a înfrângerii cu 3-0 în meciurile test.
I wouldn't rule out an away win, either.	Nu aș elimina nici varianta unei victorii în deplasare.
Alastair Cook's side may be less experienced than the one three years ago but there are good players of spin in that batting lineup and the collective mindset is strong; they will not carry scars from 2012, only a youthful positivity.	Poate că echipa lui Alastair Cook are mai puțină experiență decât cu trei ani în urmă însă are jucători buni pe spin în linia de batting iar moralul colectiv este puternic; nu vor fi marcați de întâmplările din 2012 ci vor avea o atitudine pozitivă tinerească.
With the ball, Moeen Ali is developing as a spinner and Adil Rashid, even if he is an unknown quantity at Test level, represents an attacking option.	Moeen Ali evoluează ca spinner iar Adil Rashid, chiar dacă este necunoscut la nivelul de testare, reprezintă o opțiune pentru atac.
Related: Adam Lyth dropped from England Test squad and replaced by Alex Hales	Subiecte asemănătoare: Adam Lyth a părăsit echipa Angliei pentru meciurile test și a fost înlocuit de Alex Hales
The decision to omit Adam Lyth is obviously a tough one for me to analyse as his head coach at Yorkshire.	În mod evident, în calitate de antrenor principal al său la Yorkshire, îmi este dificil să analizez decizia de a nu îl selecta pe Adam Lyth în echipă.
His seven Tests have been against two good attacks in challenging conditions and the simple but harsh reality is that cricketers are judged on output.	A jucat cele șapte meciuri test împotriva a doi atacanți buni, în condiții dificile, iar realitatea simplă dar dură este că jucătorii de cricket sunt judecați după rezultate.
There were no question marks over Joe Root, for example, leading up to the announcement because - and I have said this before - players are their own best selectors.	Nu au existat semne de întrebare legate de Joe Root, de exemplu, până când s-au făcut anunțurile deoarece - și am spus asta anterior - jucătorii sunt proprii lor selecționeri.
A couple of half-centuries and Lyth might have seen his run extended but he was in control of his own destiny.	Vreo cincizeci de ani și poate Lyth și-ar fi prelungit run-ul însă destinul său se află în mâinile sale.
Hopefully if he punches out more runs for Yorkshire another opportunity will come along.	Sper că dacă face mai multe run-uri pentru Yorkshire va avea parte de alte oportunități.
The England head coach, Trevor Bayliss, praised his attitude even when he was not performing as well as he can and that does not surprise me; he is a team man above all else.	Antrenorul principal al echipei Angliei, Trevor Bayliss, i-a lăudat atitudinea chiar și atunci când performanța nu era pe măsura capacității sale și nu mă surprinde acest lucru; înainte de toate, este un om de echipă.
The question of how long a Test batsman gets to make his mark is a tough one.	Este greu de răspuns la întrebarea în cât timp se face remarcat un batsman în meciurile test.
Lyth got seven caps - like Sam Robson before him - while Nick Compton got nine.	Lyth a avut șapte run-uri - ca și Sam Robson înaintea sa - în timp ce Nick Compton a avut nouă.
Only Compton got the chance home and away.	Doar Compton a avut noroc acasă și în deplasare.
The only gripe you could have was that England went for Jonathan Trott in the Caribbean first - when Lyth was in top form - but that wasted opportunity is in the past now.	Singura nemulțumire pe care o poți avea a fost că Anglia l-a preferat pe Jonathan Trott în turneul din Caraibe - când Lyth era în formă maximă - însă respectiva ocazie ratată este de domeniul trecutului.
Alex Hales comes in and he is a batsman I rate highly.	În echipă vine Alex Hales, un batsman pe care îl cotez foarte bine.
He is an X-factor cricketer, which we at Yorkshire saw early this season when he made 236 against us on a Trent Bridge pitch that was doing a bit.	Este un jucător de cricket care are „factorul X” și pe care l-am remarcat devreme la Yorkshire în acest sezon când a marcat 236 împotriva noastră la un pitch Trent Bridge.
He must at least be afforded the same opportunity as those before him but this will of course depend on the make-up of the side in the UAE.	Ar trebuie să i se acorde cel puțin aceeași oportunitate ca celor dinaintea sa însă acest lucru va depinde desigur de componența echipei din UAE.
The idea of Moeen opening the batting alongside Cook, which would get the extra spinner in while keeping four quicks, has been floated and it is not something I am against.	A fost lansată ideea ca Moeen să deschidă la bătaie alături de Cook, ceea ce ar duce extra spinner păstrând în același timp patru quicks, și nu am nimic împotrivă.
I don't see why a strokemaker cannot bat there and this left-hander has already shown he is one hell of a cricketer.	Nu văd de ce un aruncător nu ar putea lovi acolo iar acest jucător stângaci a demonstrat deja că este dat naibii.
Moeen may not have done the job for his county, Worcestershire, but he has been a No3 for them and there is not much difference.	Poate că Moeen nu a adus succesul în districtul său, Worcestershire, însă a fost nr. 3 pentru aceștia, deci diferența nu este mare.
My old team-mate Justin Langer played his first 38 Tests at first drop before stepping up to open in 2001.	Vechiul meu coleg de echipă, Justin Langer, a jucat primele sale 38 de meciuri test 38 ca first drop înainte să intre open în 2001.
He peeled off three centuries immediately and did not look back.	A șters imediat trei secole și nu a privit în urmă.
Zafar Ansari comes into the squad as back-up spinner and, in my limited dealings with him, he has struck me as very impressive young man.	Zafar Ansari vine în echipă pe postul de back-up spinner și, deși am avut un contact limitat cu el, m-a frapat faptul că este un tânăr foarte impresionant.
People may look at his raw stats - averaging 31 with the bat and 35 with the ball - and think it's a punt but there are not a heap of spinners putting their hands up and selectors have opted for youth.	Oamenii ar putea judeca vârsta lui fragedă - cu o medie de 31 la bătaie și 35 la minge - și ar putea crede că este punt, însă nu există o grămadă de spinneri iar selecționerii au optat pentru tineret.
He will learn a lot on this tour.	Va învăța multe din acest turneu.
Away from the squad, England look to have made a couple of shrewd additions to their coaching staff.	Anglia a adus câteva modificări și în echipa de antrenori.
The appointment of Mahela Jayawardene, the Sri Lanka batsman, as a consultant for the Test matches could be a masterstroke.	Numirea lui Mahela Jayawardene, batsman din Sri Lanka, în funcția de consultant pentru meciurile test ar putea fi o lovitură de maestru.
He is one of the game's loveliest blokes, who will bring a wealth of experience having done it in all conditions and against all attacks.	Este unul dintre cei mai buni jucători și va aduce foarte multă experiență, dat fiind că a jucat în orice situație și împotriva tuturor tipurilor de atacuri.
Paul Collingwood comes in for the white-ball leg of the tour and will bring both energy and a ruthless streak into the setup.	Paul Collingwood vine pentru white-ball leg al turneului și va aduce atât energie cât și ambiție necruțătoare.
I always felt he was born to be involved in international cricket, be it playing or coaching, and like Mahela has nous that can be tapped.	Am crezut întotdeauna că s-a născut pentru a se implica în cricket-ul internațional, fie ca jucător sau ca antrenor, și la fel ca Mahela, are intuiție.
Sometimes new voices in the dressing room, even if the messages are consistent with what has been said before, can freshen up a side.	Uneori, vocile noi din vestiar, chiar dacă transmit mesaje care s-au transmis și anterior, pot aduce aer proaspăt în echipă.
Colly's Durham team-mate Ben Stokes is rested for the one-dayers, Root was given a similar break against Australia and I for one have no issue with this.	Coechipierul lui Colly Durham, Ben Stokes se odihnește pentru meciurile de o zi, Root a primit o pauză similară împotriva Australiei iar eu nu am nicio problemă cu acest lucru.
While not everyone will agree, the coaches and selectors do not set the schedule.	Deși nu sunt toți de acord, antrenorii și selecționerii nu fac programul.
And you have to remember, like players, their jobs are dependent on results.	Și trebuie să rețineți, locurile de muncă ale jucătorilor depind de rezultatele pe care le obțin.
Such decisions are never taken lightly.	Astfel de decizii nu se iau niciodată ușor.
Brexit camp might win the day if economy is in doldrums by 2017	Tabăra Brexit ar putea avea câștig de cauză dacă economia se menține în acalmie până în 2017
David Cameron's half-baked renegotiation strategy for keeping Britain in the EU gets deeper into trouble with every day that passes, even without the election of genial Jeremy "Is it Yes or No?" Corbyn to the Labour leadership, or the TUC cutting up rough over Europe on Tuesday.	Pe zi ce trece, strategia de renegociere a lui David Cameron pentru a menține Marea Britanie în UE intră tot mai tare în încurcătură, chiar și fără alegerea genialului Jeremy „Da sau nu?” Corbyn la conducerea Partidului Laburist sau TUC aduce marți critici grave față de Europa.
Foreigners have their Corbyns and Nigel Farages too.	Străinii au și ei personaje precum Corbyn și Nigel Farages.
A European diplomat chum explained the other day that, sunk in assorted crises as the EU is - not all of their own making - some member states are fed up with Britain's self-absorbed agenda of divisive concessions and disruptive treaty changes which they mostly don't want.	Un diplomat european a explicat zilele trecut că - scufundate în crize similare cu cea din UE - nu toate fiind provocate intern - unele state membre sunt alimentate cu agenda Marii Britanii de concesiuni și modificări ale tratatelor, pe care majoritatea nu le doresc.
In Brighton for its annual bean, the TUC decided it didn't want them either if they eroded social protection.	În Brighton, cu ocazia întâlnirii anuale, TUC a decis că nici ei nu își doresc acest lucru dacă ar eroda protecția socială.
We could even call it Dave and George's selfie agenda.	Am putea chiar să o numim agenda „selfie” a lui Dave și George.
PM and chancellor rock up to summits or bilateral sessions in foreign capitals, take a photo of themselves in front of a famous local monument, with or without local grandee, then come home and say they are winning allies for reform.	Prim ministrul și cancelarul participă la summituri sau sesiuni bilaterale din capitale străine, își fac o poză în fața unui monument local faimos, cu sau fără reprezentantul local, apoi se întorc acasă și declară că au câștigat aliați pentru reformă.
It's all about me.	Este vorba doar despre mine.
My European pal, who wants an outward-looking Britain inside the EU tent - "Don't leave us alone with France," says Berlin - suggests that more short-sighted ministers and officials in some capitals have got to the point where they don't care whether we stay or leave.	Prietenul meu european, care dorește o Mare Britanie cu perspectivă spre exterior sub acoperișul UE - „Nu ne lăsați singuri cu Franța”, declară Berlin - sugerează că mai mulți miniștri și oficiali obtuzi din anumite capitale au ajuns în punctul în care nu le pasă dacă rămân sau pleacă.
Angela Merkel, Germany's cautiously level-headed chancellor, is an ally, but has been in power for 10 years and wants to leave office before it goes bad for her, as it did for overstayers Thatcher (11 years), Mitterrand (14) and Kohl (16).	Angela Merkel, cancelarul german extrem de precaut, este un aliat însă a stat la conducere timp de 10 ani și dorește să părăsească poziția înainte ca situația ei să se clatine, cum s-a întâmplat cu Thatcher (11 ani), Mitterrand (14) și Kohl (16), care au stat prea mult.
France's François Hollande is facing re-election or replacement in 2017.	În 2017, președintele Franței, François Hollande, va fi reales sau înlocuit.
He is a fading force too.	Și puterea lui este în declin.
Poland may soon have a nationalistic government of the right, Spain one of the left.	Polonia ar putea avea curând un guvern naționalist de dreapta, Spania unul de stânga.
It's hard to see them breaking a leg to help the Selfie Brits, whose energy might be better spent preventing Scotland leaving the UK - something they don't want either because most have similar separatist tendencies.	Este greu de crezut că acestea îi vor ajuta pe englezii care pozează, a căror energie ar fi mai bine folosită pentru a împiedica Scoția să iasă din Marea Britanie - un lucru pe care nu îl doresc nici ei deoarece majoritatea au tendințe separatiste similare.
So some such ministers may even be planning to make deliberately unhelpful remarks, SNP-style, during the UK's 2017 referendum campaign to hasten the Brexit process, my pal suggests.	Astfel, unii miniștri ar putea plănui chiar să facă intenționat remarci care nu ajută, în stilul SNP, în campania pentru referendumul din Marea Britanie din 2017 pentru a grăbi procesul Brexit, sugerează amicul meu.
"The renegotiation was a fix" and "Britain got nothing of value out of the renegotiation."	„Renegocierea a fost fixă” și „Marea Britanie nu a obținut nimic de valoare din renegociere”.
The Europeans know to their cost how predatory Fleet Street can be and how EU-sceptic the oligarch press barons are, as they were not during the Tony Benn-inspired 1975 referendum which endorsed our 1973 entry by a ratio of 2:1.	Europenii știu pe pielea lor cât de acaparatoare poate fi Fleet Street și cât de sceptici sunt baronii din presa oligarhică care privesc UE cu scepticism, deoarece aceștia nu au participat la referendumul din 1975 inspirat de Tony Benn care a ratificat intrarea noastră din 1973 în raport 2:1.
They may dimly remember Boris Johnson, the arch Euro-opportunist, making his name as an "EU straight bananas" Brussels correspondent in the early 90s.	Poate își amintesc vag de Boris Johnson, euro-oportunistul, care a devenit celebru la începutul anilor 90 când era corespodent a Bruxelles.
For all his foolishness Ed Miliband knew who his enemies were.	Ed Miliband își cunoștea dușmanii.
They included the medley of tax-shy rascals, phone-hacking foreigners and pseudo non-doms who own most of our great newspapers.	Au inclus amestecul de pungași neplătitori de taxe, străini care fraudau telefonic și pseudo non-domi care dețin majoritatea ziarelor importante.
Actually Tony Blair thought much the same about them, but realised that when you're in a cage with a randy gorilla you have to pass the bananas to distract it from having you for lunch and again for tea.	De fapt, Tony Blair îi vedea cam la fel însă și-a dat seama că atunci când ești închis într-o cușcă alături de o gorila nervoasă, trebuie să îi dai bananele pentru a-i distrage atenția de la gândul de a te mânca la prânz și din nou la ceai.
In fact Miliband was more Blairite than Blair in opposing Cameron's referendum wheeze, since Blair had conceded the principle over the EU's aborted constitution, sunk by French and Dutch voters in 2005 who gave him a get-out card.	De fapt, Miliband a fost mai Blairite decât Blair în opoziția față de ideea de referendum a lui Cameron, având în vedere că Blair a făcut o concesie privind principiul față de constituția UE abandonată, îngropată de alegătorii francezi și olandezi în 2005, care i-au oferit un cartonaș de ieșire.
The press never forgave him that either.	Presa nu l-a iertat nici pentru asta.
But nice Jeremy Corbyn, who gave me a friendly pat on the back at Westminster on Monday - I told him he no longer has time to waste on me - seems to be in danger of re-adopting Neil Kinnock's boycott Murdoch strategy of the 80s, a mistake then and now.	Însă Jeremy Corbyn, care m-a atins prietenește pe spate luni la Westminster - i-am spus să nu își mai consume timpul cu mine - pare a fi în pericol să adopte din ou strategia Murdoch de boicotare a lui Neil Kinnock din anii 80, o greșeală atunci și acum.
It may take time, but he must develop a coherent strategy to engage with the media, not with me, but certainly with Andrew Marr whose BBC sofa he vacated on Sunday.	Poate dura, însă trebuie să dezvolte o strategie coerentă de cooperare cu mass-media, nu cu mine, însă cu certitudine cu Andrew Marr a cărui poziție la BBC a lăsat-o vacantă duminică.
Corbyn's official position on Europe is what I will kindly call evolving.	Poziția oficială a lui Corbyn față de Europa este ceea ce eu aș numi cu indulgență evoluție.
He says he'd like us to stay in a reformed EU.	Acesta declară că și-ar dori să rămânem într-o UE reformată.
Well, most people outside Ukip's woad-wearing tendency and the wilder shores of Tory little Englanderism can probably say yes to that.	Majoritatea celor care nu sunt de acord cu „anglicismul” conservatorilor ar putea fi de acord cu asta.
It's what Hilary "A Benn, but not a Bennite" Benn said on radio and TV this week as the boy scout in him struggled not to admit that Corbyn's appointment of abrasive John McDonnell as shadow chancellor was a bad idea.	Asta a declarat Hilary „Un Benn, însă nu un Bennite” Benn la radio și TV săptămâna aceasta, când cercetașul din el s-a luptat să nu recunoască că numirea lui John McDonnell de către Corbyn în calitate de ministru „din umbră” pe probleme financiare a fost o idee proastă.
It reminded me of the 70s, when his old dad struggled on TV to be disloyal to Labour cabinet colleagues without going too far and losing his cabinet job.	Mi-a amintit de anii 70, când tatăl lui s-a luptat la TV să fie neloial colegilor laburiști, fără a merge prea departe și fără a-și pierde funcția în cabinet.
Hilary's struggle was more attractive.	Lupta lui Hilary a fost mai atractivă.
But fighting to stay in "in all circumstances" - Benn's phrase - was not what McDonnell was saying, nor what JC told peers and MPs at their private meeting on Monday night, by all accounts.	Însă lupta pentru a rămâne „în orice situație” - expresia lui Benn - nu corespunde cu ce a spus McDonnell și nici cu ce a spus JC colegilor și parlamentarilor în cadrul întâlnirii private de luni noapte.
Whatever the bottom-up, touchy-feely image Corbyn wants to convey - remember, he even touched me - message discipline remains important in the age of 24/7 TV and especially in the maelstrom that is social media, a hotbed of paranoia and betrayal.	Indiferent de imaginea pe care dorește Corbyn să o transmită - rețineți, m-a sensibilizat și pe mine - disciplina mesajelor rămâne importantă în era televiziunii și în special în vârtejul rețelelor sociale, un focar de paranoia și trădare.
It's fair enough not to give Cameron a free pass on Europe, allowing him to take Labour's support for granted in the referendum campaign, as McDonnell has said.	Este corect să nu i se acorde lui Cameron un bilet de favoare în Europa, permițându-i să ia de bună susținerea laburiștilor în campania pentru referendum, după cum a afirmat McDonnell.
Simon Jenkins certainly thinks so.	Simon Jenkins crede cu siguranță acest lucru.
But McDonnell and Corbyn's basic equivocation about EU membership - consistent with their Bennite siege economy, anti-capitalist past - is no longer just a matter of esoteric discussion among leftwing dissidents for whom the narcissism of small difference is a central tenet of doctrinal squabbles.	Însă sofismul de bază al lui McDonnell și Corbyin cu privire la calitatea de membru UE - în concordanță cu trecutul lor anti-capitalist - nu mai constituie doar o discuție ezoterică în rândul dizidenților de stânga pentru care narcisismul micilor diferențe este o dogmă centrală.
As with his equivocation over Nato - Tom Watson is adamant that JC won't campaign to quit - foreign diplomats will be obliged to try to make sense of it all for their masters at home.	Ca și în cazul sofismului său privind NATO - Tom Watson este de neclintit privind faptul că JC nu va face campanie pentru renunțare - diplomații străini vor fi obligați să încerce să înțeleagă.
Why should Paris or Berlin waste political capital - they have suspicious voters too - on concessions to Britain when it may all be pointless?	De ce ar trebui să irosească Parisul sau Berlinul capital politic - și acolo sunt alegători suspicioși - pentru concesiunile față de Marea Britanie când totul ar putea fi inutil?
The US is already pretty disappointed with the Brits" feeble military performance in Iraq, Libya and Syria, even with a cost-cutting Tory government in power, as I was reminded at the launch of something called the British Influence Security Forum on Monday.	SUA sunt deja destul de dezamăgite legat de performanța militară slabă a englezilor în Irak, Libia și Siria, chiar și cu un guvern conservator care taie costurile, după cum mi s-a reamintit la lansarea British Influence Security Forum, luni.
Experts criticise Public Health England e-cigarettes review	Specialiștii critică decizia Departamentului de Sănătate Publică din Anglia privind țigările electronice
Claims by a government-funded agency that e-cigarettes are 95% less harmful than smoking arose from a meeting of 12 people, some with links to the tobacco industry, researchers have said.	Conform cercetătorilor, afirmațiile unei agenții guvernamentale conform cărora țigările electronice sunt cu 95% mai puțin nocive decât fumatul au rezultat în urma unei întâlniri între 12 persoane, unele dintre acestea cu legături în industria tutunului.
Experts writing in the British Medical Journal (BMJ) joined the Lancet in criticising the evidence used by Public Health England (PHE) in its report on e-cigarettes.	Specialiștii din echipa editorială a revistei British Medical Journal (BMJ) s-au alăturat publicației Lancet în criticarea dovezilor folosite de Departamentul de Sănătate Publică din Anglia (PHE) în raportul său privind țigările electronice.
PHE published the "landmark" report last month, describing it as a "comprehensive review of the evidence."	PHE a publicat raportul „de referință” luna trecută și l-a descris ca pe o „analiză complexă a dovezilor.”
But several researchers have questioned the robustness of the data and pointed to links between some experts and the tobacco industry.	Câțiva cercetători au pus însă la îndoială robustețea datelor și au arătat cu degetul spre legături dintre anumiți experți și industria tutunului.
An editorial in the Lancet medical journal last month attacked the "extraordinarily flimsy foundation" on which PHE based its main conclusion.	Un articol publicat luna trecută în revista medicală Lancet a atacat „baza extraordinar de fragilă” pe care și-a fondat PHE concluzia principală.
Writing in the BMJ, two further researchers have questioned whether the claims were "built on rock or sand."	Alți doi cercetători care scriu în BMJ au pus sub semnul întrebării afirmațiile și fundamentarea acestora „pe pământ solid sau pe nisip mișcător”.
Martin McKee, professor of European public health at the London School of Hygiene and Tropical Medicine, and Simon Capewell, professor of clinical epidemiology at the University of Liverpool, said: "A fundamental principle of public health is that policies should be based on evidence of effectiveness."	Martin McKee, profesor de sănătate publică europeană la London School of Hygiene and Tropical Medicine, și Simon Capewell, profesor de epidemiologie clinică la Universitatea din Liverpool, au afirmat: „Un principiu fundamental al sănătății publice este că politicile trebuie să se bazeze pe dovada de eficacitate.”
They said the public would expect PHE's claims that "the current best estimate is that e-cigarettes are around 95% less harmful than smoking" would be based on a detailed review of evidence and modelling.	Au afirmat că se așteaptă ca afirmațiile PHE conform cărora „estimările actuale arată că țigările electronice sunt cu 95% mai puțin nocive decât fumatul” sunt fundamentate pe o analiză detaliată a dovezilor și modelelor.
