28-Year-Old Chef Found Dead at San Francisco Mall	28 Yaşındaki Aşçı San Francisco Alışveriş Merkezinde Ölü Bulundu
As he said, it was touch and go.	Onun dediği gibi, dokundular ve gittiler.
I had bladder cancer which is one of the things they can operate on and they did.	Ameliyatla müdahale edilebilecek türdeki mesane kanserine yakalandım ve bunu yaptılar.
If they don't it goes everywhere.	Bunu yapmazlarsa, her yere gidiyor.
It would have been a pretty bad situation.	Bu oldukça kötü bir durum olurdu.
It alters your outlook a bit.	Bu, hayata bakışınızı biraz değiştiriyor.
Williams was diagnosed in December 2013.	Williams'a Aralık 2013'te teşhis konmuştu.
The trio were fortunate that he was able to begin his treatment at the start of 2014 out of season, keeping the disruption to a minimum, if that is ever the right expression in circumstances such as these.	Kendisi, sezon dışında, 2014 yılının başında tedaviye başlayabildiği için üçlü çok şanslıydı, bu gibi durumlarda doğru bir ifade olur mu bilinmez ancak bu şekilde dikkat dağınıklığı en aza inebilecektir.
I needed to get paid so I had to get better quickly.	Ödeme almam gerekiyordu bu nedenle hızla iyileşmem lazımdı.
It was an incentive.	Bu benim için bir teşvikti.
I was in hospital and I was walking around the ward - 20ft, 30ft 50ft at a time when they were saying a few steps is enough.	Hastanedeydim ve birkaç adım atmamın yeterli olduğunu söylemelerine rağmen bahçede 6, 9, 15 metre kadar yürüyordum.
That's how it starts off.	Bu şekilde başladı.
Rowing in itself is a journey but that makes it a bit bigger.	Kürek çekmek kendi başına bir yolculuk ama bu onu biraz daha büyütüyor.
In the immediacy of victory their first thoughts were for Williams, who had spent a nervy morning talking a little more than usual in an attempt to process his own anxieties.	Zafer sonrasında akılları kendi endişelerini aşmak için her zamankinden biraz fazla konuşan, gergin bir sabah geçirmiş olan Williams'daydı.
Stanning, a captain in the Royal Artillery regiment with a tour of Afghanistan behind her, said "I've been an emotional wreck this week, maybe that's a bit extreme, but it means such a lot."	Kraliyet Topçu Birliği'nde yüzbaşı olan ve daha önce Afganistan'a gitmiş bulunan Stanning, "Bu hafta duygusal açıdan yıkılmış durumdaydım, belki bu biraz aşırı ama cidden anlamı çok büyük" dedi.
It just reiterates how much this means to me, how much me and Helen have worked and Robin as well.	Bu, bunun benim için ne anlama geldiğini ve Helen, ben ve Robin'in ne kadar çok çalıştığını bir kere daha vurguluyor.
It's been a fantastic three years back with Helen and Robin.	Helen ve Robin ile harika üç yıl geçirdim.
Without Robin we would be nobody, so a massive thanks to him he's the best coach in the world.	Robin olmasaydı biz de olmazdık bu nedenle dünyanın en iyi antrenörü olduğu için ona en büyük teşekkürlerimi iletmek istiyorum.
I couldn't have asked for a better person to train with, or a better coach.	Çalışmak için daha iyi bir kişi ya da daha iyi bir antrenör bulamazdım.
Helen Glover and Heather Stanning haven't lost a race in five years.	Helen Glover ve Heather Stanning beş yıldır yarış kaybetmedi.
The pair set a punishing rhythm that their rivals could never match.	İkili, rakiplerinin ulaşamayacağı zorlu bir ritim tutturmuş durumda.
Even in the final 500 metres when the crews from New Zealand and Denmark began to close, Stanning and Glover had too much in reserve.	Yeni Zelanda ve Danimarka ekiplerinin arayı kapattığı son 500 metrede dahi Stanning ve Glover'ın gücü henüz tükenmemişti.
We were very much in the moment.	Kendimizi o ana kaptırmıştık.
Helen was calling 'stay in the process, stay in the process'.	Helen 'süreci izle, süreci izle' diye sesleniyordu.
It's really important not to get carried away.	Kapılıp gitmemek gerçekten önemli.
We had a good start and at the same time we weren't looking to do anything amazing.	İyi bir başlangıç yapmıştık ve inanılmaz bir şey yapmaya da çalışmıyorduk.
We weren't looking for fireworks today, we were just looking to do a good row and to go out and win that race, which we did.	Bugün havai fişeklerin patlamasını beklemiyorduk, sadece iyi kürek çekerek çıktığımız yarışı kazanmak istiyorduk ki bunu da yaptık.
The pair will take a year before deciding their futures.	İkili, gelecekte ne yapacağına karar vermeden önce bir yıl ara verecek.
Glover has a wedding to attend next month, her own to television adventurer Steve Backshall.	Glover'ın önümüzdeki ay katılması gereken bir düğün var; kendisinin ve televizyon maceracısı Steve Backshall'ın düğünü.
For now she just wants to enjoy the moment.	Şimdilik sadece bu anın tadını çıkarmak istiyor.
I didn't want to say this was my last race.	Bunun benim son yarışım olduğunu söylemek istemedim.
That would have meant too much pressure.	Bu çok fazla baskı oluşturacaktı.
In London it took about six months to realise that I was an Olympic champion.	Londra'da bir Olimpiyat şampiyonu olduğumu fark etmem altı ayımı aldı.
It was all so new and I was so stressed.	Bu çok yeniydi ve çok stresliydim.
Here it took about four minutes.	Burada, bu yaklaşık dört dakika sürdü.
This feels so much better," she said.	Bu çok daha iyi bir his" dedi.
A front-row seat to the stunning architecture of the Los Angeles Central Library	Los Angeles Merkez Kütüphanesi'nin çarpıcı mimarisini ön sıradan izleme şansı
Learn more about the history of downtown's Central Library as the Society of Architectural Historians/Southern California Chapter hosts a salon with Arnold Schwartzman and Stephen Gee, authors of the new book "Los Angeles Central Library: A History of its Art and Architecture" .	Şehir merkezindeki Merkez Kütüphanesi'nin geçmişi hakkında bilgi edinin; şu kitabın yazarları Arnold Schwartzman ve Stephen Gee ile Mimarlık Tarihçileri/Güney Kaliforniya Bölgesinin düzenlediği toplantıya katılın: "Los Angeles Merkez Kütüphanesi: Sanat ve Mimarlık Tarihi" .
Gee and Schwartzman are scheduled to discuss and share images of the 1926 Bertram Goodhue design as well as the 1993 restoration and addition by Hardy Holzman Pfeiffer Associates.	Gee ve Schwartzman'ın 1926 Bertram Goodhue tasarımının yanı sıra 1993 restorasyonun ve Hardy Holzman Pfeiffer Associates tarafından yapılan eklemenin görsellerini tartışmaları ve paylaşmaları planlandı.
The salon is set for 2 p.m. to 4 p.m. on Aug. 21 in the Salle Moderne at the Art Deco Southwestern School of Law, (formerly Bullocks Wilshire), 3050 Wilshire Blvd.	Salon, 3050 Wilshire Bulvarında bulunan Art Deco Güneybatı Hukuk Fakültesi (eski adı Bullocks Wilshire) Salle Moderne'de 21 Ağustos'ta 14.00 - 16.00 saatleri arasında açık olacak.
Attendees can tour the Central Hall, Period Rooms, Cactus Lounge and Tea Room.	Katılımcılar, Orta Salonu, Dönem Odalarını, Kaktüs Odasını ve Çay Odasını gezebilecek.
Advance tickets are required; SAH/SCC members, $15; non-members, $25.	Biletlerin önceden alınması gerekmektedir: Ücretler SAH/SCC üyeleri için 15$ ve üye olmayanlar için 25$ olacaktır.
An open, industrial loft in DTLA gets a cozy makeover	DTLA'daki açık bir sanayi alanı sıcak bir dönüşümden geçiyor
Celebrating L.A.'s Central Library's 90th birthday with - what else? - a new book	Los Angeles'ın Merkez Kütüphanesi'nin 90. kuruluş yıl dönümü bir kitaptan başka neyle kutlanabilirdi ki?
Bulgaria Posts Inflation for 1st Time in 8 Months	Bulgaristan 8 Aydır İlk Defa Enflasyon Değerlerini Açıkladı
Inflation in Bulgaria was 1% on a monthly basis in July, national statistics show.	Ulusal istatistiklere göre Haziran ayında Bulgaristan'daki aylık enflasyon %1 düzeyindeydi.
This is the highest value in years (since June 2012) and the first one above zero since October of last year when a positive 0.2% was posted.	Bu, yıllardır görülen en yüksek değer (Haziran 2012'den bu yana) olmakla birlikte geçtiğimiz yıl pozitif %0,2'lik değer sonrasında Ekim ayından bu yana sıfırın üzerinde görülen ilk değer.
The annual average inflation, measured by CPI, in the last 12 months (August 2015 - July 2016) compared to the previous 12 months (August 2014 - July 2015) was -0.8%.	CPI tarafından son 12 ay (Ağustos 2015 - Temmuz 2016) için ölçülen ortalama yıllık enflasyon, önceki 12 ay (Ağustos 2014 - Temmuz 2015) ile karşılaştırıldığında -%0,8'di.
The consumer price index in July 2016 compared to June 2016 was 101.0%, i.e. the monthly inflation was 1.0%.	Temmuz 2016'daki tüketici fiyat endeksi Haziran 2016 ile karşılaştırıldığında %101,0'dı, yani aylık enflasyon %1,0 düzeyindeydi.
The inflation rate since the beginning of the year (July 2016 compared to December 2015) has been -0.2% and the annual inflation in July 2016 compared to July 2015 was -0.2%.	Yılın başından bu yana enflasyon oranı (Temmuz 2016 ile Aralık 2015 karşılaştırması) farkı -%0,2'ydi ve Temmuz 2016 ile Temmuz 2015 arası aylık enflasyon farkı ise -%0,2 oldu.
In July 2016, compared to the previous month, an increase was observed in the price of the following groups of consumer goods: food and non-alcoholic beverages (1.7%); transport (1.8%); recreation and culture (6.3%); restaurants and hotels (1.2%); miscellaneous goods and services (0.3%).	Temmuz 2016'da önceki ay ile karşılaştırıldığında, aşağıdaki tüketici ürünü gruplarında fiyat artışı gözlemlendi: Gıda ve alkolsüz içecekler (%1,7), ulaşım (%1,8), eğlence ve kültür (%6,3), restoranlar ve oteller (%1,2), muhtelif mal ve hizmetler (%0,3).
Prices decreased in clothing and footwear (2.2%); furnishings, household equipment and routine maintenance (0.5%); health (0.1%).	Giyecek ve ayakkabı (%2,2), mobilya, ev ekipmanı ve rutin bakım (%0,5) ve sağlık (%0,1) gruplarında fiyatlar düştü.
Prices remained at the same level as in the previous month in alcoholic beverages and tobacco; housing, water, electricity, gas and other fuels; communications; and education.	Alkollü içecekler ve tütün mamulleri, konut, su, elektrik, gaz ve diğer yakıtlar; haberleşme ve eğitim gruplarında fiyatlar aynı seviyede kaldı.
Snapchat "Anime" Effect Is Criticized as Asian Caricature	Snapchat "Anime" Efekti, Asyalı Karikatürü olarak Eleştirildi
Snapchat says this filter is inspired by anime, but some observers say it's racially insensitive.	Snapchat bu filtre için animelerden esinlenildiğini söylese de bazı gözlemciler bunun ırksal açıdan duyarsızlık olduğunu ifade ediyor.
With its lens tool, Snapchat allows some 150 million daily users to alter reality and play with identity in ways that border on the absurd.	Snapchat, mercek aracı ile her gün 150 milyon civarı kullanıcının gerçekliği değiştirerek absürt seviyede kimlikleriyle oynayabilmesini sağlıyor.
You can turn yourself into a pineapple, a dog or a character befitting a Roy Lichtenstein painting.	Kendinizi bir ananasa, köpeğe veya bir Roy Lichtenstein resminden fırlamış bir karaktere dönüştürebilirsiniz.
The lenses are blunt, feature-warping tools that generate more than 30 million enhanced selfies a day.	Mercekler, her gün 30 milyonun üzerinde geliştirilmiş özçekim oluşturan pervasız, özellik değiştirici araçlardır.
Any missteps quickly enter the public record.	Yanlış atılan adımlar, hızla kamunun hafızasına kazılmaktadır.
Snapchat lenses have drawn criticism in the past with accusations that the app was promoting blackface or encouraging whitened skin tones as an ideal of beauty.	Snapchat mercekleri, geçmişte uygulamanın siyahi sınıflandırmayı desteklediği veya beyazlaştırılmış cilt tonlarını güzellik ideali olarak sunduğu suçlamalarıyla karşılaşmıştı.
So when it pushed a lens to some users this week that gave them slanted eyes, distorted teeth and puffy cheeks, some critics called it a racist caricature of Asian people - "yellowface."	Bu nedenle, bu hafta sundukları, kullanıcıları çekik gözlü, bozuk dişli ve şişkin yanaklı hale getiren lens nedeniyle, bazı eleştirmenler şirketi bunun Asyalıları karikatürize eden bir "Asyalı maskesi" olduğu yönünde eleştirdi.
And they wondered if these repeated controversies pointed to a larger problem that the company has with diversity.	Ve bu yinelenen ihtilafların şirketin çeşitlilik ile ilgili daha büyük bir soruna işaret edip etmediğini merak ettiler.
The news and the outrage went wide on Wednesday, with reports by The Verge and Motherboard, a day after Snapchat said it had dismantled the feature.	Haberler ve öfke, Çarşamba günü The Verge ve Motherboard'un haberleri ile yayıldı ve bir gün sonra Snapchat özelliği kaldırdığını duyurdu.
The company offered an explanation: The lens was meant as homage to anime characters, not as a caricature of Asian people.	Şirket bir açıklamada bulundu: Mercek, Asyalıların karikatürize edilmesi için değil, anime karakterlere hürmeten hazırlanmıştı.
But for observers who have experienced racism, the lens reminded them of hurtful stereotypes in action.	Ancak ırkçılık deneyimi olan gözlemciler için bu mercek, can acıtan stereotipleri hatırlattı.
Others roundly rejected the anime comparison.	Diğer kişilerse anime karşılaştırmasını genel olarak reddetti.
In an email, Grace Sparapani, a Korean American art student whose tweet about the photos was widely shared, said that the lens was "hurtful and uncomfortable to say the least."	Kore kökenli Amerikalı bir sanat öğrencisi olan ve fotoğraflar hakkında yazdığı tweet bolca paylaşılan Grace Sparapani, bir e-postada merceğin "en hafif ifadeyle acı ve rahatsızlık verici" olduğunu söyledi.
She added that "it's hard to argue with the side by side comparison of the very gross Asian caricature and the filter's effects.	"Kötü Asyalı karikatürü ile filtrenin etkilerinin yan yana karşılaştırması söz konusu olduğunda tartışmanın zor olduğunu ekledi.
It shows that the filter isn't just yellowface, but yellowface taken to its derogatory extreme.	Bu da filtrenin yalnızca Asyalı maskesi değil, aynı zamanda aşağılayıcı düzeyde bir Asyalı maskesi olduğunu gösteriyor.
Snapchat is not the only company to cross these cultural tripwires.	Snapchat, kültürel tetikleyici mekanizmaları aşan tek şirket değil.
American culture seems involved in an endless struggle over diversity and inclusion, from corporate boardrooms to Hollywood and the devices we all carry in our hands.	Amerikan kültürünün, kurumların toplantı odalarından Hollywood'a ve hepimizin ellerinde taşıdığı cihazlara kadar birçok alanda çeşitlilik ve kapsayıcılık konusunda sonsuz bir çatışma içinde olduğu görülüyor.
And Snapchat's huge audience of younger people - who are more racially diverse than their older counterparts - might mean that they are even more likely to expect sensitivity.	Ve Snapchat'in hitap ettiği, ırk çeşitliliği diğer karşıtlarından daha fazla olan geniş genç kitle de daha yüksek bir hassasiyet beklentisi içinde olabilecekleri şeklinde yorumlanabilir.
When one of Snapchat's lenses creates an image that is insulting to a user, 25-year-old Katie Zhu said in an interview on Thursday, "it's much harder for these types of things to go unnoticed like they did before."	Perşembe günü yapılan bir röportajda, 25 yaşındaki Katie Zhu, Snapchat'in merceklerinden biri bir kullanıcı için küçük düşürücü bir görüntü oluşturduğunda, "bu tür hareketlerin eskisi gibi fark edilmemesinin çok daha zor olduğunu" söyledi.
On Thursday, Ms. Zhu, a product manager and engineer who works for Medium, decided to delete her Snapchat account and encouraged others to do the same.	Perşembe günü, Medium için çalışan bir ürün yöneticisi ve mühendis olan Bayan Zhu, Snapchat hesabını silmeye karar verdi ve herkese de bu yönde çağrı yaptı.
In an essay for Medium and in a telephone interview, she said she believed that the race-related controversies reflected a lack of diversity in hiring practices at Snapchat.	Medium için yazdığı makalede ve telefonla yapılan röportajda, ırk ile ilgili çatışmaların Snapchat'teki işe alım uygulamalarında çeşitlilik konusundaki eksiklikleri yansıttığına inandığını ifade etti.
Ms. Zhu criticized the company's mostly white, all-male leadership and ended her essay with a hashtag: #DeleteSnapchat.	Bayan Zhu, şirketin çoğunluğu beyaz erkeklerden oluşan lider ekibini eleştirerek makalesini bir etiket ile sonlandırdı: #SnapchatiSilin.
"It's either that they had no diverse representation of people of color on their staff to the point where they're able to make decisions like this," Ms. Zhu, who is Chinese-American, said, "or they do have some people of color who are working there, but they're not on positions where they feel safe or comfortable to speak up."	Çin kökenli bir Amerikalı olan Bayan Zhu "Ya personeli arasında farklı ırklar yeterli çeşitlilikte bulunmadığından bu tür kararlar verebiliyorlar ya da orada çalışan ve farklı ırklara mensup kişiler olsa da bu kişiler kendilerini konuşabilecek kadar güvende veya rahat hissetmiyor" dedi.
Other observers share her view, a complaint that Snapchat has left largely unanswered.	Diğer gözlemciler de kendisinin Snapchat'in büyük oranda yanıtsız bıraktığı bu şikayet konusundaki görüşlerini paylaşıyor.
The company does not release figures about diversity on its staff, noting its status as a private company.	Şirket, özel şirket durumunu vurgulayarak personeli arasındaki çeşitlilik ile ilgili rakamları paylaşmıyor.
On Thursday, Snapchat declined to discuss the racial backgrounds of its staff, but according to a spokesman, the company recently hired a recruiter to focus on underrepresented populations and on driving inclusion efforts internally.	Perşembe günü, Snapchat personelinin ırksal kökenlerini paylaşmayı reddetti ancak bir sözcüye göre, şirket kısa süre önce yeterli düzeyde temsil edilmeyen popülasyonlara odaklanılması ve dahil etme çalışmalarını dahili olarak artırmak amacıyla bir işe alım sorumlusunu bünyesine kattı.
For her part, Ms. Zhu said she would keep her Snapchat account closed, adding, "I wonder if they actually need more users like us to be able to say that this is not O.K."	Bayan Zhu, kendi açısından, Snapchat hesabını kapalı tutacağını belirtti ve ekledi "Bunun doğru olmadığını söyleyebilecek bizim gibi daha fazla kullanıcıya ihtiyaçlarının olup olmadığını merak ediyorum."
Military Officials Distorted ISIS Intelligence, Congressional Panel Says	Kongre Paneli, Askeri Yetkililerin, IŞİD İstihbaratını Tahrif Ettiğini Söyledi
Officials from the United States Central Command altered intelligence reports to portray a more optimistic picture of the war against the Islamic State in Iraq and Syria than events on the ground warranted, a congressional panel said in a report issued Thursday.	Perşembe günü yayınlanan bir raporda, bir kongre paneli, Amerika Birleşik Devletleri Merkezi Komuta Yetkililerinin, Irak ve Suriye'de İslam Devleti'ne karşı yürütülen savaşa dair sahadaki olaylardan daha iyimser bir resim çizmek üzere istihbarat raporlarını tahrif ettiğini bildirdi.
The interim report, from a task force established by the Republican chairmen of the House Armed Services Committee, Intelligence Committee and Defense Appropriations Subcommittee, found "widespread dissatisfaction" among Central Command intelligence analysts, who said superiors were doctoring their assessments of American efforts to defeat the Islamic State.	Sarayın Silahlı Hizmetler Komitesi, İstihbarat Komitesi ve Savunma Ödeneği Alt Komitesinin Cumhuriyetçi kurul başkanlarının oluşturduğu bir çalışma kolunun hazırladığı bir ara rapor, Üstlerinin Amerika kuvvetlerinin İslam Devleti'nin değerlendirmelerini değiştirdiğini söyleyen Merkezi Komuta istihbarat analistleri arasında "yaygın bir memnuniyetsizlik" olduğunu tespit etti.
Central Command, known as Centcom, is the military headquarters in Tampa, Fla., that oversees American military operations across the Middle East and Central Asia.	Centcom olarak bilinen Merkezi Komuta, Tampa, Fla.'da bulunan ve Orta Doğu ve Orta Asya'daki Amerikan ordusu operasyonlarını denetleyen bir askeri karargahtır.
"Intelligence products approved by senior Centcom leaders typically provided a more positive depiction of U.S. antiterrorism efforts than was warranted by facts on the ground and were consistently more positive than analysis produced by other elements of the intelligence community," a news release about the report said.	Rapor hakkındaki bir haber bülteninde şu ifadeler yer almıştır: "Kıdemli Centcom liderleri tarafından onaylanan istihbarat sonuçları, tipik olarak ABD'nin terörü önleme çalışmalarına dair sahadaki gerçeklerin gösterdiğinden daha pozitif bir resim çizmekte ve sürekli olarak istihbarat topluluğunun diğer elemanlarının oluşturduğu analizlerden çok daha pozitif sonuçlar sunmaktadır."
"What happened at Centcom is unacceptable - our war fighters suffer when bad analysis is presented to senior policy makers," said Representative Ken Calvert, Republican of California.	Kaliforniyalı Cumhuriyetçi Temsilci Ken Calvert, "Centcom'da olanlar kabul edilemez; üst düzey karar mercilerine kötü analizler sunulurken savaşçı birliklerimiz sıkıntı çekmektedir" demiştir.
The leadership failures at Centcom reach to the very top of the organization.	Centcom'daki liderlik başarısızlıkları kuruluşun en üst seviyelerine ulaşmış durumdadır.
The 10-page report detailed persistent problems in 2014 and 2015 in Central Command's description and analysis of American efforts to train Iraqi forces.	10 sayfalık rapor, Merkezi Komuta'nın Amerika'nın Iraklı kuvvetlere eğitim verme çalışmalarına dair açıklaması ve analizinde yer alan, 2014 ve 2015 yılındaki kalıcı sorunların da ayrıntılarını da vermiştir.
Although it offers no definitive evidence that senior Obama administration officials ordered the reports to be doctored, it describes analysts as feeling as though they were under pressure from Centcom leaders to present a more optimistic view of the threat posed by the Islamic State, also known as ISIS or ISIL.	Her ne kadar, kıdemli Obama idaresi yetkililerinin raporların değiştirilmesi yönünde emir verdiğine dair kesin deliller olmasa da analizcilerin IŞİD ve DAEŞ olarak da bilinen İslam Devleti'nin yarattığı tehdide dair daha iyimser bir bakış açısı sunma konusunda Centcom liderlerinden baskı hissettiği açıklanmaktadır.
"Throughout the first half of 2015, many Central Command press releases, statements and congressional testimonies were significantly more positive than actual events," the report said.	Raporda "2015 yılının ilk yarısında, birçok Merkezi Komut basın bülteni, beyanı ve kongre ifadeleri fiili olaylardan kayda değer oranda daha pozitifti" denmektedir.
For example, a Centcom official stated publicly that a major military assault to take back Mosul could begin as early as April or May 2015.	Örneğin; bir Centcom yetkilisi, kamuya açık olarak Musul'un geri alınması için büyük bir askeri saldırının Nisan veya Mayıs 2015 kadar erken bir dönemde yapılabileceğini ifade etmiştir.
Mosul, Iraq's second-largest city, remains under the control of the Islamic State.	Irak'ın en büyük ikinci şehri olan Musul, halen İslam Devleti'nin kontrolündedir.
"After months of investigation, this much is very clear," Representative Mike Pompeo, Republican of Kansas, said in a statement.	Kansas'ın Cumhuriyetçi Temsilcisi Mike Pompeo, bir beyanında "Aylar süren araştırma sonrasında bu husus oldukça açık bir şekilde anlaşılmıştır" demiştir.
From the middle of 2014 to the middle of 2015, the United States Central Command's most senior intelligence leaders manipulated the command's intelligence products to downplay the threat from ISIS in Iraq.	2014 yılının ortalarından 2015 yılının ortalarına kadar Amerika Birleşik Devletleri'nin Merkezi Komutasının en kıdemli istihbarat liderleri, Irak'ta IŞİD'in oluşturduğu tehdidin önemsiz gibi lanse edilmesi için komutanın istihbarat sonuçlarını manipüle etmiştir.
Republicans created the task force after learning that analysts had raised concerns that intelligence about the Islamic State was being manipulated.	Cumhuriyetçiler, analistlerin İslam Devleti hakkındaki istihbaratın manipüle edildiği yönündeki endişelerini dile getirdiğini öğrendikten sonra bir çalışma kolu oluşturmuştur.
The report released Thursday is to be followed up by more extensive findings as the investigation continues.	İncelemeler devam ettikçe , Perşembe günü yayınlanan raporu, çok daha kapsamlı bulgular izleyecektir.
There is an additional, ongoing investigation of Centcom intelligence by the Department of Defense inspector general.	Savunma Bakanlığı genel müfettişi tarafından yürütülmekte olan başka bir Centcom istihbaratı incelemesi de mevcuttur.
Democratic members of the House Intelligence Committee released their own findings on Thursday that agreed with some of the conclusions of the Republican task force.	Saray İstihbarat Komitesinin Demokrat üyeleri de Perşembe günü Cumhuriyetçi çalışma kolunun vardığı bazı sonuçlara katılan kendi bulgularını yayınlamıştır.
"Between 2014 and 2015, Centcom created an overly insular process for producing intelligence assessments on ISIL and Iraqi Security Forces," Representative Adam B. Schiff, the committee's top Democrat, said in a statement.	Komitenin Demokrat başkanı Temsilci Adam B. Schiff, bir beyanında "2014 ve 2015 yılları arasında Centcom, DAEŞ ve Irak Güvenlik Kuvvetleri hakkındaki istihbarat değerlendirmelerinde son derece dar görüşlü bir süreç oluşturmuştur" demiştir.
This process, Mr. Schiff said, "stalled the release of intelligence products," hurt morale among analysts and "insufficiently accommodated dissenting views."	Bay Schiff'e göre bu süreç "istihbarat sonuçlarının yayınlanmasını geciktirmiş", analistler arasında moral bozukluğuna yol açmış ve "karşıt görüşlere yeterince yer vermemiştir."
But Mr. Schiff and the Democrats said they found no evidence that the White House tried to pressure Centcom analysts to fit their conclusions to a "preset or political narrative."	Ancak Bay Schiff ve Demokratlar, Beyaz Saray'ın Centcom analistlerinin sonuçlarını "önceden belirlenmiş veya siyasi bir anlatma" uydurma konusunda baskı uyguladığına dair bir bulguya ulaşmadıklarını ifade etmiştir.
The preliminary results of the congressional investigation were reported Tuesday by The Daily Beast.	Kongre incelemesinin ön sonuçları Daily Beast tarafından Salı günü duyurulmuştur.
Last August, The New York Times reported the existence of the Pentagon inspector general investigation, opened after complaints by Centcom analysts.	Geçtiğimiz Ağustos ayında, New York Times, Centcom analistleri tarafından yapılan şikayetler sonrasında açılan bir Pentagon müfettişi genel incelemesinin mevcut olduğunu bildirmiştir.
Lt. Cmdr. Patrick Evans, a Pentagon spokesman, said in a statement that the Defense Department would not comment on the congressional report while the inspector general's investigation continued.	Üst Teğmen Komutan Patrick Evans, bir Pentagon sözcüsü olarak, bir beyanında genel müfettişin incelemesinin devam ettiği süreçte Savunma Bakanlığının kongre raporuna dair bir yorum yapmayacağını ifade etmiştir.
But he said that "experts sometimes disagree on the interpretation of complex data, and the intelligence community and Department of Defense welcome healthy dialogue on these vital national security topics."	Ancak kendisi, "uzmanların bazı durumlarda karmaşık verilerin yorumlanması konusunda anlaşmazlığa düşebileceklerini ve istihbarat topluluğu ile Savunma Bakanlığının bu önemli milli güvenlik hususları ile ilgili olarak sağlıklı diyaloğu desteklediğini" söylemiştir.
The investigation has repercussions beyond the question of whether the American-led bombing campaign in Iraq and Syria is succeeding (an assertion now made by a growing number of Defense officials).	Araştırma, Irak ve Suriye'de Amerika öncülüğündeki bombalama operasyonunun devam edip etmediğine dair sorunun ötesinde yankı uyandıracaktır (bu, her geçen gün daha fazla Savunma yetkilisi tarafından ortaya atılan bir savdır).
But last year's allegations called into question how much President Obama could rely on Central Command for honest assessments of military operations in Iraq, Afghanistan, Libya and other crisis spots.	Ancak geçen sene yapılan suçlamalar, Başkan Obama'nın Irak, Afganistan, Libya ve diğer kriz noktalarında askeri operasyonların dürüst değerlendirmeleri için Merkezi Komuta'ya ne kadar güvenebileceği sorusunu ortaya çıkarmıştır.
The critiques on the Islamic State intelligence mirror disputes of more than a decade ago, when a Centcom intelligence analyst, Gregory Hooker, wrote a research paper saying that the administration of President George W. Bush, over many analysts" objections, advocated a small force in Iraq and spent little time thinking about what would follow the 2003 invasion.	İslam Devleti istihbaratının yansıtılmasına dair eleştiriler, Centcom istihbarat analisti Gregory Hooker'ın, Başkan George W. Bush idaresinin birçok analistin itirazına rağmen Irak'ta küçük bir kuvvet bulundurulmasını savunduğu ve 2003'teki işgal sonrasını yeterince düşünmediğini ifade eden bir makale yazdığı sırada başlamıştır ve on yıldan uzun süredir tartışılmaktadır.
Mr. Hooker also played a key part in the insurrection over the Islamic State intelligence.	Bay Hooker, aynı zamanda İslam Devleti istihbaratı ile ilgili isyanda da önemli bir rol oynamıştır.
Last year, officials said, Mr. Hooker's team concluded that despite public statements to the contrary, airstrikes against Islamic State-held refineries had not significantly weakened the terrorist group's finances because it had built makeshift refineries to sell oil on the black market.	Yetkililer, Bay Hooker'ın ekibinin geçen sene aksi yöndeki kamu açıklamalarına rağmen İslam Devleti'nin elinde bulundurduğu rafinerilere karşı yapılan hava saldırılarının karaborsada petrol satmak için geçici rafineriler inşa etmiş olduklarından, terörist grubun mali kaynaklarını kayda değer oranda etkilemediği sonucuna ulaştığını belirtmiştir.
But the finding was not distributed outside Central Command, The Times reported in September.	Ancak The Times'ın Eylül ayında belirttiği üzere bu bulgu Merkezi Komuta'nın dışına çıkmamıştır.
Centcom's commander then, Gen. Lloyd J. Austin III, came under criticism last year after Senate testimony viewed by many lawmakers as being an overly positive assessment of the war.	Centcom'un o zamanki kumandanı General Lloyd J. Austin III'ün geçen sene, Senato'daki açıklaması birçok yasa koyucu tarafından savaşın son derece pozitif bir değerlendirmesi olarak görüldüğü için eleştirilere maruz kalmıştır.
General Austin retired in April and was replaced at Central Command by Gen. Joseph L. Votel.	General Austin Nisan ayında emekli olmuş ve Merkezi Komutaya onun yerini alan kişi General Joseph L. Votel.
U.S. Wins 4th Straight in Women's Field Hockey, Setting Up Showdown With Britain	Britanya ile Karşılaşmaya hazırlanan ABD Kadınlar Çim Hokeyi Takımı Arka Arkaya 4. Zaferini Kazandı
One day after scoring three goals in a 6-1 victory over Japan, Katie Bam scored the first two goals for the United States women's field hockey team on Thursday as the Americans defeated India, 3-0.	Katie Bam, Japonya'ya karşı aldığı 6-1'lik galibiyette üç gol attıktan bir gün sonra, Perşembe günü Amerikalıların Hindistan'ı 3-0 yendiği karşılaşmada Amerika Birleşik Devletleri kadınlar çim hokeyi takımının ilk iki golünü atmıştır.
Five goals in two games should be a memorable feat, but Bam, 27, said she was not sure if she had ever done the same thing.	İki maçta beş gol akılda kalıcı bir ustalık gerektiriyor gibi görünse de Bam (27), aynı şeyi daha önce de yapıp yapmadığından emin olmadığını söyledi.
"I have no clue," she said.	Kendisi "Hiçbir fikrim yok" dedi.
I'm not really one of those people who keeps track of their goals.	Gollerinin kaydını tutan insanlardan değilim.
