Civil rights group issues travel warning for Missouri	Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri
For example, my first gramophone only came with one sheet of paper with hieroglyphs showing how to connect certain components, all depicted through secret signs.	Tak třeba můj první gramofon obsahoval jen jeden papír, na němž byly hieroglyfy zobrazující zapojení nějakých součástek, u všech byly nějaké tajné značky.
When an internal part broke years later, I offered the paper to a shaman who wasn't afraid to unscrew any panel.	Když se mi po letech pokazilo cosi uvnitř, nabídl jsem onu listinu šamanovi, který se nebál odšroubovat zadní desku.
With a grin, he advised me what the labyrinthine paper was suitable for.	S úšklebkem mi poradil, k čemu je onen papír s labyrintem čar vhodný.
It was a well-established aid during a chronic lack of toilet paper.	Ano, šlo o zvyklou pomůcku při chronické depleci toaletního papíru.
He playfully found the broken wire and allowed me to listen to my dear records again.	Hravě nalezl rozpojený drátek a umožnil mi opět poslouchat drahé vinylové placky.
The new age brought new instructions.	Nová doba přinesla nové návody.
Even a relatively simple fruit juicer which just needed a grapefruit pressed down on it required about ten pictures.	I relativně jednoduchý odšťavňovač ovoce, kde se prostě přidržel překrojený grep, vyžadoval asi deset obrázků.
The drawing with a description of how to insert one piece into another was especially charming.	Zvláště povedený byl náčrtek s popisem, jak zasunout jeden díl do druhého.
It came in two parts, and there was no other possible procedure.	Souprava byla dvoudílná a jiný postup prostě nebyl možný.
Doing it the other way round required a considerable effort and involved breaking the plastic parts.	Dát ho opačně vyžadovalo značné úsilí s nutností odlomení jistých plastových součástí.
My contempt for instructions ended with my Seat Leon.	Mé pohrdání návody skončilo u mého samohybu značky Seat Leon.
The 2003 production year still had a booklet with instructions for minor repairs, including replacing the indicator light.	Rok výroby 2003 ještě měl takovou knížečku s návodem drobných oprav, mezi které patřila mimo jiné výměna žárovky blinkru.
It was simple.	Bylo to jednoduché.
After a total of three steps, the job should have been done.	Celkem tři kroky a dílo mělo být hotovo.
Unfortunately, the author of the manual failed to state that, while the light bulb was was replaced in just three steps:	Bohužel, autor návodu opomněl uvést, že zatímco žárovka vpravo šla vyměnit opravdu jen ve třech krocích.
1. Remove the cover.	1. oddělej kryt.
2. Unscrew the broken bulb and screw in a new one.	2. vyšroubuj prasklou žárovku a našroubuj novou.
3. Put the cover back.	3. nasuň kryt.
the bulb on the left had a problem in the form of the battery cover.	Žárovka vlevo měla problém v podobě umístění krytu baterie.
At first I expected that inserting my upper right limb into the guts of the car would allow me to find a spring or a screw so I could detach the cover easily, and then I would follow points 1-3 suggested by the thrifty author of the service book.	Zpočátku jsem se domníval, že zasunutím pravé horní končetiny do útrob vozu našmátrám nějakou pružinku, šroubek, kterým onen kryt snadno odsunu a poté se již budu řídit body 1-3 úsporného autora servisní knížky.
Nothing could be further from the truth.	Chyba lávky.
That cover had no place, no space for a slender Cinderella-esque hand, let alone that of an obese Silesian.	Ten kryt neměl žádné místo, žádný prostor ani pro štíhlou ručku Popelčinu, natož obézního Slezana.
I lost half an hour of my life with no success to show for it whatsoever.	Ztratil jsem půl hodiny svého života, a to zcela bez jakéhokoliv úspěchu.
The situation was further intensified by my wife entering the garage, summoned by the shouts and words she heard coming out of my mouth, very unusually.	Stav byl ještě umocněn vstupem mé ženy do garáže, kterou přivolal ryk a slova, která z mých úst slyší zcela výjimečně.
"What are you doing in here?" she asked ingenuously.	"Co tady děláš?" zeptala se bezelstně.
My answer lasted about 90 seconds, but if I omit the vulgar terms only two publishable words remain.	Moje odpověď trvala asi 90 vteřin, nicméně pokud vynechám vulgární termíny, zbyla pouze dvě publikovatelná slova.
I change the bulb.	Měním žárovku.
"Why is it taking you so long?" she asked, taking a chance with a sentence that might have been the last of a long-running volume.	"A proč ti to tak dlouho trvá?" zariskovala větou, která v dlouhotrvajícím svazku může být její poslední.
I explained the problem to her slowly, emphasising how I would torture the author of the manual, where the hot iron would burn the hand that wrote it, so that it could finally never write anything else. It was a mere introduction to the wide range of instructions from the film Witchhammer, including a specially commissioned bonfire on the knoll above Losinský castle.	Pomalu jsem jí vysvětlil problém, přičemž jsem hlavní důraz kladl na postup tortury autora návodu, kde požehování rozpáleným železem na ruce, která návod psala, posléze jejím utětím, aby už nikdy nemohl nic napsat, bylo pouhým úvodem do široké škály návodů Kladiva na čarodějnice, včetně jeho komisionálního upálení na vršku nad Losinským zámkem.
"What about removing the box?" my wife hypothesised over the extrication of the battery.	"Co takhle odmontovat tu krabičku?" mínila žena vymontování baterie.
In utter despair, I tried it and then steps 1-3 were as easy and fast as on the right side.	V čirém zoufalství k tomu došlo a poté byl krok 1-3 stejně snadný a rychlý, jako u strany pravé.
I thought that nothing could surprise me.	Myslel jsem, že mne nemůže nic překvapit.
That was until the day I received a phone call from a colleague who was on the verge of collapse after being monitored by two officers from the State Drug Control Service.	A to do dne, kdy mi volal kolega, který se právě probíral z kolapsového stavu po kontrole dvou úřednic Státního útvaru pro kontrolu léčiv.
I know him as a composed colleague who has experienced both the possible and impossible in the field and who is able to recount wild stories in an unpeturbed voice.	Znám jej jako kolegu vyrovnaného, který v oboru zažil možné i nemožné a který umí vykládat i divoké historky nevzrušeným hlasem.
"Imagine being fined for not having a guide to washing your hands," he said in a feeble voice.	"Představ si, že jsem dostal pokutu za to, že nemám vyvěšen návod na mytí rukou," sdělil mi slabým hlasem.
I gradually pieced together the whole issue, which lay in the fact that he had no pictorial instructions on how to wash hands over the washbasin on the toilet used by patient.	Postupně jsem z něj vydoloval celý problém, který tkvěl v tom, že nad umyvadlem na toaletě pacientů nemá obrázkový návod, kterak si mýt ruce.
The argument he submitted to the committee official was that adults usually wash their hands and that there is no need for pictograms to explain a habitual procedure carried out by decent people. It did not have the desired effect on her, however, and cost him a lot of money.	Jeho argumentace komisní úřednici, že dospělí si mýt ruce zpravidla umí a že netřeba piktogramů, aby zvládli onu zvyklou činnost slušných lidí, neměla hojivý účinek a stála jej nemalé peníze.
"That is not the case," she told him.	"Ono to není jen tak," sdělila mu.
He was given to understand that the simple rinsing of lathery palms with flowing water is a primitive act at the Cro-magnon level, and that modern man, Homo sapiens sapiens, must perform this ceremony in ten steps.	Pochopil, že prosté opláchnutí namydlených dlaní tekoucí vodou je primitivní úkon na úrovni kromaňonce, že člověk moderní, Homo sapiens sapiens, provádí tento obřad v deseti krocích.
As such, it is necessary to inform people that they must release the water from out of the tap.	Tak třeba je nutné sdělit, že je nutné pustit z kohoutku vodu.
The entire process has a total of eleven stages, but at the end you are rewarded by the joyous knowledge that you have washed your hands exactly as instructed by the State Institute for Drug Control.	Celý proces má celkem jedenáct bodů, ale na konci je radostné zjištění, že si člověk umyl ruce přesně tak, jak mu to nařizuje hosudar ze SÚKLu.
I have to say that by the end I was inspired and prepared a detailed plan for activities on the toilet.	Nakonec musím podotknout, že jsem se nechal inspirovat a připravuji podrobný plán na činnost na toaletě.
In terms of defecation, the procedure is unified and doesn't cause any problems. However, due to certain differences between the sexes, with urination it is necessary to give two sets of instructions.	V otázce defekace je postup jednotný, tam problém nevznikne, u močení, vzhledem k jistým odlišnostem obou pohlaví, bude nutné vyvěsit návody dva.
The problem remains the pictograms, because creating the perfect procedure requires an exact sketch of all the anatomical details, which could provoke a certain outrage among prudish toilet users, despite the fact that they can finally learn that they have been wiping their opening the wrong way their whole life.	Problémem zůstávají ony piktogramy, neboť vytvořit dokonalý postup znamená i přesný nákres všech anatomických detailů, což by mohlo vzbudit u prudérního návštěvníka toalety jisté pobouření, vzdor tomu, že se konečně může dozvědět, že si po celou dobu svého života vytíral příslušný otvor zcela chybným postupem.
Pearson cuts another 3,000 jobs, slashes dividend to revive business	Společnost Pearson propustí dalších 3000 zaměstnanců a snižuje dividenda ve snaze oživit obchod
British education group Pearson said on Friday it would cut another 3,000 jobs and slash its interim dividend by 72 per cent as it started another restructuring programme to tackle the pressures facing its business.	Britská vzdělávací skupina Pearson v pátek uvedla, že propustí dalších 3000 zaměstnanců a sníží prozatímní dividenda o 72 procent v reakci na další restrukturalizační program s cílem změnit obchodní model.
The job cuts, which Chief Executive John Fallon said will mostly come late in 2018 and in early 2019, are in addition to 4,000 roles lost in its previous restructuring.	Další vlna propouštění, ke které podle vyjádření výkonného ředitele Johna Fallona dojde na konci roku 2018 a ze začátku roku 2019, následuje předchozí rozhodnutí společnosti propustit 4000 zaměstnanců v rámci předešlé restrukturalizace.
Pearson announced a plan to cut costs by another 300 million pounds ($394-million U.S.) in May in a third cost-cutting programme to try to revive a business hit by the rapid move to digital learning.	Společnost Pearson oznámila plán na snížení nákladů o dalších 300 milionů liber (394 milionů dolarů) v květnu v rámci třetího programu ke snížení nákladů ve snaze vzkřísit klesající obchod v důsledku prudkého rozvoje digitálního vzdělávání.
The company, which agreed to sell its stake in Penguin Random House to partner Bertelsmann last month, said its outlook for the year was unchanged after it reported a 1 per cent rise in underlying sales in the first half to 2.05 billion pounds.	Společnost, která minulý měsíc odsouhlasila prodej svého podílu v Penguin Random House společnosti Bertelsmann, uvedla, že výhled na letošní rok zůstal beze změn poté, co ohlásila jednoprocentní nárůst základních prodejů v první polovině roku na 2,05 miliard liber.
Kabul convoy attack: Nato soldier killed in suicide blast	Útok na konvoj v Kábulu: vojáci NATO byli zabiti při sebevražedném výbuchu
A suicide bomber has attacked a military convoy in the Afghan capital, Kabul, killing a Nato soldier and wounding several others, officials say.	Sebevražedný atentátník zaútočil na vojenský konvoj v hlavním městě Afghánistánu Kábulu. Při útoku zemřel jeden voják NATO a několik dalších bylo zraněno, uvedli oficiální představitelé.
Five soldiers and an interpreter were injured, a Nato statement said.	Zraněno bylo pět vojáků a tlumočník, uvádí se ve vyjádření NATO.
Unconfirmed local reports say three civilians also died in the incident in the city's Qarabagh district.	Podle neoficiálních zpráv při útoku v městském okrese Qarabagh zemřeli také tři civilisté.
The bombing is the latest violence to have hit Afghanistan this month - on Tuesday more than 30 people were killed in a mosque blast in Herat.	Tento měsíc zasáhl Afghánistán bombový útok - v úterý bylo zabito více než 30 lidí při výbuchu v herátské mešitě.
On Monday a suicide bomber killed two people near the Iraqi embassy in Kabul.	V pondělí zabil sebevražedný útočník dva lidi poblíž irácké ambasády v Kábulu.
A Nato statement said that Thursday evening's blast happened when a joint patrol with the Afghan army was attacked by a "personnel-borne improvised explosive device."	NATO ve svém vyjádření uvedlo, že k úternímu výbuchu došlo poté, co byla hlídka spolu se členy afghánské armády napadena „místní osobou s podomácku vyrobeným výbušným zařízením“.
The statement said that all those injured are in a stable condition and are being treated at the US military hospital at Bagram airfield.	V prohlášení se dále uvádí, že všichni zranění vojáci jsou mimo ohrožení života a nacházejí se v americké vojenské nemocnici na letecké základně Bagrám.
Correspondents say the growing strength of the Taliban and the group known as so-called Islamic State (IS) in Qarabagh is a major source of concern to Nato forces based in nearby Bagram.	Podle vyjádření zpravodajů je narůstající moc Tálibánu a skupiny známé jako Islámský stát (IS) v oblasti Qarabagh významným zdrojem obav spojeneckých sil NATO v nedalekém Bagrámu.
According to the United Nations, Afghanistan saw at least 1,662 civilian deaths in the first half of 2017, with about 20% of those in the capital.	Podle OSN zemřelo v Afghánistánu v první polovině roku 2017 minimálně 1662 civilistů, z čehož 20 % obětí zemřelo v hlavním městě.
At the end of July, a suicide car bomb killed at least 30 people in a mainly Shia district of Kabul.	Na konci července usmrtila bomba umístěná v automobilu alespoň 30 lidí v kábulské čtvrti Shia.
The Taliban said they had carried out that attack.	K útoku se přihlásil Tálibán.
On 31 May, a huge bombing in the centre of the city killed more than 150 people, the deadliest militant attack in the country since US-led forces ousted the Taliban from power in 2001.	31. května zabil velký výbuch v centru města více než 150 lidí. Jedná se o nejsmrtelnější militantní útok v zemi od té doby, co americké jednotky svrhly vládu Tálibánu v roce 2001.
The violence underlines the precarious security situation in Afghanistan as US President Donald Trump weighs up whether to increase the number of US troops aiding the military and police in the country.	Násilí podkopává již tak pochybnou situaci v Afghánistánu a prezident USA Donald Trump zvažuje navýšení počtu amerických vojáků, kteří by měli pomáhat vojenským jednotkám a policistům v zemi.
Correspondents say the suicide bombings in Kabul in recent weeks have also created a crisis of public confidence in the government, its policies and in particular the reputation of President Ashraf Ghani.	Podle zpravodajů otřásly sebevražedné útoky, ke kterým doškol v nedávných týdnech důvěrou veřejnosti ve vládu, její nařízení a obzvláště v reputaci prezidenta Ašrafa Ghanína.
EPA reverses decision to delay smog rule after lawsuits	EPA v reakci na žalobu přehodnotila své rozhodnutí k oddálení pravidel kouření
The U.S. Environmental Protection Agency reversed a decision to delay an Obama-era rule requiring states to curb smog-causing emissions, one day after 15 states sued the agency over the move.	Americká Agentura pro ochranu životního prostředí odvolala své rozhodnutí o odkladu zákona Obamovy administrativy, který nařizoval státům snížit emise, a to pouhý den poté, co agenturu zažalovalo 15 států.
The EPA announced the decision to go ahead with the so-called "2015 Ozone Designations" late on Wednesday, saying it showed the agency's commitment to working with states.	EPA ve středečních nočních hodinách oznámila své rozhodnutí o postoupení „Ozonových standardů 2015“ se slovy, že předkládá závazek agentury ke spolupráci se státy.
"We believe in dialogue with, and being responsive to, our state partners," EPA Chief Scott Pruitt said in a statement.	„Věříme v dialog s našimi státními partnery a vyslechneme si jejich názory,“ uvedl v prohlášení ředitel EPA Scott Pruitt.
Pruitt in June had announced the EPA's intention to delay the ozone designations - in which existing smog pollution is measured in parts of the country to determine where cuts must be made to meet tougher air quality standard - by one year to October 2018.	Pruitt v červnu oznámil snahu EPA oddálit ozonové standardy - které měří skutečné znečištění vzduchu v konkrétních oblastech země a na základě měření určují limity, které je nutno splnit do října 2018.
A group of 15 mostly Democratic states, along with the District of Columbia, filed a suit on Tuesday saying the effort was illegal.	Skupina patnácti z většiny demokratických států, spolu s Washingtonem, D.C., podala žalobu v úterý s odůvodněním, že jednání EPA je nezákonné.
The administration of President Donald Trump has been seeking to roll back a wide array of environmental regulations imposed by former President Barack Obama, as part of a broader agenda Trump says is aimed at sparking economic growth.	Administrace prezidenta Donalda Trumpa usiluje o zamezení mnoha environmentálních nařízení, které navrhl bývalý prezident Barack Obama - podle Trumpových slov ve snaze nakopnout ekonomický růst.
But the efforts have triggered pushback by Democratics and conservation groups who are concerned about the impact of greater emissions on public health.	Snaha nové vlády však zahájila protiopatření ze strany demokratů a konzervativních skupin, které se obávají dopadu emisí na veřejné zdraví.
The EPA's website says breathing air containing ozone "can reduce lung function and increase respiratory symptoms" like asthma.	EPA na svých internetových stránkách uvádí, že dýchání vzduchu s obsahem ozonu „může snižovat funkci plic a zvyšovat respirační symptomy“, jako např. astma.
Singer Ladislav Bubnár wounded and bleeding!	Zpěvák Ladislav Bubnár dostal ránu a tekla krev!
The singer is relatively new here, but you may have heard about him in June of this year, when he a huge event on Czech soil, hosted by such prominent personalities as Karel Gott, Lucie Bílá, Simona Krainová and a number of others, moderated by none other than Leoš Mareš.	Tohoto, u nás poměrně nového zpěváka, jste už možná zaregistrovali v červnu tohoto roku, kdy tento dosud u nás téměř neznámý zpěvák uspořádal na české poměry monstrózní akci, na které hostil takové přední osobnosti jako je mistr Karel Gott, Lucie Bílá, Simona Krainová a řada dalších, a akci nemoderoval nikdo jiný, než Leoš Mareš.
The purpose was simple, to show himself to the public and to introduce his music video for the song Sara, which was launched by the aforementioned celebrities.	Účel byl prostý, ukázat se veřejnosti a představit svůj hudební videoklip k písni Sara, jehož křtu se zhostili právě jmenované osobnosti.
Few people know, however, that the shooting of the music video in Russia did not go without a hitch, and the singer Ladislav Bubnár himself had to be treated.	Málo kdo už ale ví, že samotné natáčení videoklipu, které probíhalo v Rusku, se neobešlo bez problémů a samotný zpěvák Ladislav Bubnár musel být ošetřen.
It was his first big shoot with the stars of the Russian national ballet, and it did not go flawlessly.	Bylo to jeho první velké natáčení s hvězdami ruského národního baletu a neobešlo se bez pořádného trapasu.
The song Sara is very emotional and is about an unhappy affair between two lovers.	Píseň Sara je velmi emotivní a je založená na nešťastné lásce dvou milenců.
To make the scenes dramatic, in the video the singer's adversary had to punch him	Pro dramatičnost scény měl ve videoklipu zpěvákův sok naznačit úder facky.
At one point, however, he struck him directly on the nose so hard that the young singer had to be treated by doctors.	V jednom momentě ho však udeřil tak silně a přímo do nosu, že mladého zpěváka museli ošetřovat lékaři.
"It was a blow I did not expect. I started bleeding immediately," Ladislav commented on the situation.	"Byla to rána, nečekal jsem to, okamžitě se mi spustila z nosu krev," okomentoval Ladislav vzniklou situaci.
His colleagues and producers said that the situation was unfortunate and Ladislav failed to react in time.	Kolegové a producenti si situaci na place vyříkali, že šlo o nešťastnou náhodu a Ladislav nestihl včas zareagovat.
Fortunately, the injury was serious enough to stop the shoot from continuing.	Naštěstí zranění nebylo tak vážné, aby ovlivnilo pokračování v dalším natáčení.
The young artist's music video is here, and you can watch the scene where he gets punched.	Zmiňovaný videoklip mladého umělce vám nyní přinášíme, můžete v něm zaznamenat i onu scénu s úderem.
The unsuccessful version where he was bleeding was not used.	Nepovedená verze s krví, však nebyla raději použita.
Mikey Garcia and Vasyl Lomachenko meet for the first time, discuss a possible showdown	Mikey Garcia a Vasyl Lomačenko hovořili na schůzce o možnostech vzájemného duelu
Vasyl Lomachenko and Mikey Garcia, who should be on a collision course to stage the most compelling boxing match under 147 pounds in the near future, met each other for the first time Thursday.	Vasyl Lomačenko a Mikey Garcia, dva boxeři, kteří by mohli zinscenovat nejnapínavější boxerský zápas v lehké váze, se poprvé setkali na úterní schůzce.
They were in separate rooms at ESPN offices in Los Angeles until Garcia, the unbeaten World Boxing Council lightweight champion, walked down the hallway to greet Lomachenko, the World Boxing Organization super-featherweight champion.	Každý z nich se nacházel v samostatné místnosti v kancelářích ESPN v Los Angeles, dokud Garcia - neporažený šampion v lehké váze World Boxing Council - nesešel dolů do haly, kde přivítal Lomačenka, šampiona v pérové váze World Boxing Organization.
After Garcia's victory by unanimous decision over former four-division world champion Adrien Broner on Saturday on Showtime, both fighters are members of the top-five pound-for-pound list.	Po Garciově vítězství na základě jednomyslného rozhodnutí proti bývalému čtyřnásobnému světovému šampionovi Adrienovi Bronerovi v sobotním zápase na Showtime, se oba boxeři dostali na seznam pěti nejlepších boxerů v lehké váze.
Garcia extended his right hand and said, "How you doing, champ?	Garcia natáhl svou pravačku a řekl: „Jak to jde, šampione?
Best of luck to you."	Hodně štěstí.“
Lomachenko defends his belt against Miguel Marriaga on Saturday night at 7 on ESPN.	Lomačenko obhajuje v sobotu v 19: 00svůj titul proti Migueli Marriagaovi na ESPN.
As the pair posed for photos, Lomachenko manager Egis Klimas noted that a potential showdown between the fighters would be "perfect sizing."	Boxeři pózují pro fotografy a manažer Lomačenka Egis Klimas dodává, že potenciální souboj boxerů by byl „dokonalou zkouškou“.
"I'm a former featherweight," Garcia reminded.	„Jsem bývalý šampion v pérové váze,“ dodává Garcia.
"I moved up for Broner [at 140 pounds], but I'm not that big.	„Kvůli zápasu s Bronerem (67 kg) jsem musel přibrat, ale nejsem tak velký.
I'm small for 140.	Na mých 63 kg jsem malý.
I want to come down to lightweight.	Chtěl bych se vrátit do kategorie lehké váhy.
And he's got to move up to lightweight [135 pounds] and then we have a fight.	Lomačenko zase musí přibrat, aby se dostal na lehkou váhu... pak se můžeme utkat.
That's what the fans are asking for.	Po tom fanoušci touží.
Let's give them that."	Proč jim to nesplnit.“
Lomachenko agreed.	Lomačenko souhlasí.
"Boxing needs this fight."	„Boxu by tenhle zápas prospěl.“
Klimas asked if it should be on pay-per-view, part of a strategy he has to have Lomachenko fight a 135-pound debut bout later this year to set up a date next summer with Garcia (37-0, 30 knockouts), who also has interest in fighting the Jorge Linares-Luke Campbell winner following their Sept. 23 lightweight title bout at the Forum.	Klimas vznesl požadavek na platbu za zhlédnutí - což je součást jeho strategie. Lomačenko by měl absolvovat svůj debut v lehké váze na konci letošního roku a příští rok se utkat s Garciou (37-0, 30 knockoutů), který rovněž vyjádřil zájem o zápas proti vítězi duelu Jorge Linares vs. Luke Campbell, kteří se utkají 23. září o titul v lehké váze v aréně Forum.
"This fight could be on pay-per-view because all the fans have been asking about it," Garcia said, later expressing openness to fighting on whatever network offers the best financial package.	„Zápas by měl probíhat stylem platby za zhlédnutí, to si žádají fanoušci,“ řekl Garcia, který se později vyjádřil, že je otevřen možnosti odvysílat zápas prostřednictvím televizní stanice, která přijde s nejlepší nabídkou.
"We're the main names.	„My jsme hlavní atrakcí.
No other names can generate that kind of attention.	Nikdo jiný na sebe takovou pozornost nepřitáhne.
Whenever they're ready ... ."	Počkáme si na správnou příležitost...“
Garcia said he appreciates Lomachenko as "a tremendous fighter," and may attend his Saturday bout.	Garcia uvedl, že uznává Lomačenka jako „úžasného boxera“ a mohl by se zúčastnit jeho sobotního zápasu.
But Lomachenko paused at lavish praise for Garcia, saying he thought the three-division champion from Riverside looked "very slow, sorry Mikey ... you wanted the knockout."	Lomačenko se ale nedal Garciovou chválou ukolébat, když řekl, že šampion tří divizí z Riverside vypadá „velmi zpomaleně... promiň Mikeu, ale říkáš si o knockout.“
Garcia said the focus was to show punching strength, then box.	Garcia řekl, že jeho cílem bylo ukázat sílu a až poté box.
They both said they can feel the momentum building for their own bout.	Oba boxeři uvedli, že cítí stoupající napětí před vzájemným duelem.
"This is the fight to be made.	„Na tenhle zápas jen tak nezapomenete.
No other fight creates as much attention and buzz.	Žádný jiný zápas na sebe nepoutá tolik pozornosti.
I'm more than happy to work at it," Garcia said.	A já s velkou potěchou přiložím do ohně,“ řekl Garcia.
Said Lomachenko: "I've waited for the top fighters, and this is Mikey.	Lomačenko řekl: „Čekal jsem na ty nejlepší boxery a tohle je Mikey.“
It will be a great fight."	Bude to skvělý zápas.“
A young couple disappeared without a trace 12 years ago.	Mladý pár před 12 lety zmizel beze stopy.
Their car was recently found in the depths of the Volga.	Jejich auto teď našli na dně Volhy.
The two young Russians, Ilja Zhirnov and Kira Cherkasov, had been missing since December 2005.	Dvojice mladých Rusů Ilja Žirnov a Kira Čerkasovová byla pohřešována od prosince 2005.
An extensive search for them was carried out, but to no avail.	Rozjelo se po nich rozsáhlé pátrání, jenže bez úspěchu.
The police eventually ended the search because of the lack of evidence.	A policie nakonec pro nedostatek důkazů vyšetřování ukončila.
The families of the missing couple lived not knowing whether they would ever find out what happened to them.	Rodiny ztraceného páru žily v nejistotě, že se nedozví, co se páru stalo.
Twelve years later, the story has come to an unhappy end.	Po 12 letech přišlo smutné zakončení celého příběhu.
A diver found the wreck of their car lying on the bottom of the River Volga in the town of Cheboksary in Chuvashia.	Vrak jejich automobilu nalezl laický potápěč na dně řeky Volhy ve městě Čeboksary v Čuvašsku.
The police only managed to identify the couple through the documents left in the car.	Jen díky dokladům, které v autě zůstaly, se policistům podařilo pár identifikovat.
The documents survived an entire decade underwater, and without them the police would have taken much longer to determine the identities of the couple found.	Doklady přežily celou dekádu pod vodou, bez nich by policii trvalo mnohem déle zjistit totožnost nalezených.
The couple was last seen when Zhirnov borrowed his father's car to pick his girlfriend up from work.	Pár byl naposledy spatřen, když si Žirnov od svého otce vypůjčil auto, aby mohl vyzvednout svou přítelkyni z práce.
The diver who discovered the car remains anonymous.	Potápěč, který automobil objevil, zatím zůstává v anonymitě.
Their finding was reported to the police in Cheboksary, which dragged the car onto the shore the next day.	Svůj nález ohlásil čeboksarské policii, která následující den auto vytáhla na pláž.
Investigators believe that the young couple's death was an accident caused by the icy road that runs around the river.	Vyšetřovatelé věří, že smrt mladého páru byla nehodou, kterou zapříčinila namrzlá cesta vedoucí kolem řeky.
However, the investigation is continued, and further details will be published once it has been closed.	Šetření však pokračuje, po jeho ukončení budou zveřejněny další podrobnosti.
New results of Sweden's asylum age assessment tests released	Nejnovější výsledky testů ke stanovení věkové hranice žádostí o azyl ve Švédsku
The latest results of tests on asylum seekers in Sweden subjected to a new method of medically assessing their age show that over 80 percent tested were judged to be older than 18, but not everyone has faith in their accuracy.	Nejnovější výsledky testů uchazečů o azyl ve Švédsku, kteří byli podrobeni nové metodě posuzující jejich věk ukazují, že přes 80 procent lidí bylo dotázaných jako starší 18 let, ale ne každý věří jejich přesnosti.
Sweden's national Forensic Medicine Agency (Rättsmedicinalverket) started carrying out the tests earlier year.	Švédská Forenzní lékařská agentura (RÃ¤ttsmedicinalverket) začala nové testy provádět na začátku letošního roku.
They are designed to make age assessment during the asylum process more accurate after the Swedish Migration Agency (Migrationsverket) was criticized for failings in assessing the correct age of some refugees claiming to be underage.	Cílem metody je přesnější posouzení uchazečů v rámci vyhodnocování žádostí o azyl. K opatření bylo přistoupeno poté, co byla Švédská migrační agentura (Migrationsverket) kritizována za selhání při určování správného věku některých uprchlíků, kteří lhali o svém věku.
To date Migrationsverket has sent 6,880 cases to be tested, and the Forensic Medicine Agency has now released the results of a total of 2,481 tests from the period between mid March until July 31st, 2017.	K dnešnímu datu předala Švédská migrační agentura k prošetření 6880 případů a Forenzní lékařská agentura nyní zveřejnila výsledky celkem 2481 testů, uskutečněných od poloviny března do 31. července 2017.
Eighty percent (2002) were judged to be 18 or over, while in a further 25 cases the Forensic Medicine Agency judged that the subject was "possibly 18 or over."	80 procent (2002) bylo posouzeno jako starší 18 let, zatímco v dalších 25 případech Forenzní lékařská agentura usoudila, že dotazovaný je „možná starší 18 let“.
In 432 cases the conclusion was that the person is "possibly under 18."	V dalších 423 případech bylo rozhodnuto, že dotazovaný je „možná mladší 18 let“.
The tests are only carried out in cases where the person's age is in question.	K testům se přistupuje pouze v případě, je-li věk dotazovaného sporný.
According to Johan Göransson from the Forensic Medicine Agency, the results are consistent with previous months.	Podle Johana GÃ¶ranssona z Forenzní lékařské agentury výsledky korespondují s předchozím měsícem.
"We see no big difference in the statistics from previous months, the numbers are quite consistent," he told The Local.	„Oproti minulému měsíci se statistiky drží v zajetých kolejích a čísla jsou velmi podobná,“ uvedl pro The Local.
The high proportion of cases judged to be over 18 does not necessarily mean that the asylum seeker lied about their age.	Vyšší počet uchazečů, jejichž věk byl odhadnut na starší 18 let nutně neznamená, že uchazeči o azyl lžou o svém věku.
In May, the agency released the results of 581 tests and said that there were 442 instances that "suggest the person examined is 18 years or older."	V květnu agentura zveřejnila výsledky 581 testů a uvedla, že ve 442 případech byla zjištěno, že „dotazovaná osoba je 18 let či starší“.
When newspaper Svenska Dagbladet investigated the 581 results released however it found that in 243 of the cases the person had openly stated that they turn 18 this year.	Noviny Svenska Dagbladet vyšetřovali 581 zveřejněných případů a zjistili, že ve 243 případech dotázaný uvedl, že bude mít letos 18 let.
The method of medical age assessment, which consists of taking X-rays of wisdom teeth and MRI scans of knee joints, then having dentists and radiologists analyse them, has also been criticised in some quarters.	Kritiky se dočkala také lékařská metoda určení věku, která zahrnuje rentgen zubů moudrosti a MRI sken kolenních kloubů, jež následně posuzují zubaři a rentgenologové.
One sceptic is Karolinska Institute endocrinologist Claude Marcus, whose work includes assessing the biological maturity of people to see if they went through puberty earlier or later than usual.	Jedním ze skeptiků je Claude Marcus z Karolinska Institute, který se mimo jiné zabývá posuzováním biologické vyzrálosti lidí k určení věku, kdy dotyčný prošel pubertou.
"I've had reason to think about this, and I don't think the type of measurement being used should be.	„Měl jsem důvod o této problematice přemýšlet a nemyslím si, že tyto typy měření k posouzení věku jsou správné.
Judging biological age in this way is very uncertain.	Posuzování biologického věku je v jistém smyslu velmi nejisté.
If we can't say it for sure we shouldn't pretend that we can," he told newspaper Metro.	Jestliže nedokážeme věk určit s přesností, neměli bychom předstírat opak,“ uvedl pro noviny Metro.
The Forensic Medicine Agency's Göransson defended the accuracy of the tests however: "In general you can say that the risk of inaccurately judging a child to be an adult is small.	Forenzní lékařské agentura Agency's GÃ¶ransson obhajovala rozhodnutí slovy: „Obecně lze říci, že riziko nesprávného posouzení dítěte jako dospělého je malé.
The biggest risk is if the person is just under 18, in which case it's around 10 percent."	Nejvyšší riziko představuje fakt, že dotazovaná osoba je těsně pod hranicí 18 let, což v tomto případě odpovídá 10 procentům všech dotazovaných.“
