This is perfectly illustrated by the UKIP numbties banning people with HIV.	Les demeurés de UKIP qui refusent ceux qui vivent avec le VIH sont un exemple parfait.
One will have only thought, for one instant, that, for once, Muslims had succeeded in truly and apocalyptically hurting the big bad Satan in his heart itself.	On aura juste pensé, un instant, que, pour une fois, des musulmans avaient réussi à faire vraiment et apocalyptiquement mal au grand méchant Satan en son coeur même.
Doing something powerful.	A faire qqch de puissant.
Something grand.	De grandiose.
It would seem that this sentiment has been shared by thousands of Muslims consumed by their feeling of humiliation.	Il semblerait que ce sentiment ait été partagé par des milliers de musulmans rongés par leur sentiment d'humiliation.
With accounts filmed in Palestine.	Avec des témoignages filmés en Palestine.
Classic Schadenfreude.	Classique Schadenfreude.
We had some doubts.	On s'en doutait un peu.
The West "Christian/white/Gauls" cannot measure the degree of frustration, anger, hatred of the Muslim when he contemplates the general poverty, social and cultural under-development of the Arab-Muslim world today.	L'occident " chrétien/blanc/gaulois" ne peut pas mesurer le degré de frustation, de colère , de haine du musuman quand il contemple la misère génèrale , le sous-développement social et culturel du monde arabo musulman d'aujourdhui.
I'm talking about the suburbs of Cairo or Algiers, not the towers of Dubai.	Je parle des faubourgs du Caire ou d' Alger, pas des tours de Dubai.
The former splendor, certainly glorified is no consolation, on the contrary.	La splendeur passée , certainement magnifiée n'est pas une consolation, au contraire.
How can the Muslim world get out of this diabolical hole?	Comment sortir le monde musulman de cet entonnoir diabolique ?
Entirely in agreement, 2 major poisons run through the Arab World I: the bigoted conservatism of the powers in authority and fascistic nihilism.	Totalement en phase, 2 poisons majeurs irriguent le monde arabe l: le conservatisme bigot des pouvoirs en place et le nihilisme fascisant.
The thing in common, the suspension of thought and the excommunication (gentle or armed) of their critical expression.	Le point commun, le gel de la pensée et l'excommunication (douce ou armée) de son expression critique.
As may have been understood before, do not make the Muslims retreat.	Qu'on l'ait compris avant, ne doit pas faire reculer les Musulmans.
This is the only way.	C'est la seule voie.
Has Edwy Plenel read this article?	Edwy Plenel a-t-il lu cet article?
In many countries I suspect that's true.	Je suppose que c'est vrai dans de nombreux pays.
But in Britain autumn is the start of six long wet miserable dark months which affect many people's well being and mood.	Mais en Grande-Bretagne, l'automne marque le début de six longs mois sombres, humides et déprimants qui affectent le bien-être et l'humeur de beaucoup de gens.
Every one gets ill, too.	En plus, tout le monde tombe malade.
Seasonal Affective Disorder.	Dépression saisonnière.
I suffer from it myself.	J'en souffre moi-même.
When that light starts to go its hell for me and those like me.	Quand la lumière s'en va, ça devient l'enfer pour moi et ceux comme moi.
A dose of Vitamin D should help with some of the mood and well being issues.	Une dose de vitamine D devrait aider un peu pour l'humeur et le bien-être.
Autumn in Britain is beautiful, with or without the rain.	L'automne est beau en Grande-Bretagne, avec ou sans pluie.
The countryside especially is breathtaking in autumn.	La campagne en particulier est à couper le souffle en automne.
not as breathtaking as summer greenery when everything is alive instead of being on the verge of death.	Pas autant à couper le souffle que le vert de l'été quand tout est vivant au lieu d'être sur le point de mourir.
In Britain, if you're lucky, summer falls on a weekend.	En Grande-Bretagne, si vous avez de la chance, l'été tombe un week-end.
We had a great summer this year, don't be a cliche parroting grump!	On a eu un bel été cette année, ne faites pas votre grincheux qui radote des clichés !
Not everyone.	Pas tout le monde.
I seldom get ill in Winter.	Je tombe rarement malade en hiver.
However now Im retired and no longer developing immunity to germs in the wider world, that may change I guess.	Mais maintenant je suis à la retraite et je ne développe plus d'immunité aux germes du dehors, ça peut changer, je suppose.
It's not the verge of death it's just one point in a cycle...	Ce n'est pas être sur le point de mourir, c'est juste une étape dans un cycle...
A gloriously fruity point with lots of intoxicating smells, a build up of excitement to festivals like Halloween, Guy Fawks, Christmas, the possibilities of getting snowed in and various other wonderfully waffley words.	Une étape merveilleuse pleine d'odeurs enivrantes, avec une fébrilité qui culmine avec des festivités comme Halloween, Guy Fawks, Noël, les risques d'enneigement et plein d'autres mots merveilleux.
Just don't stop doing stuff!	Il suffit de ne pas arrêter de faire des choses !
One festive wreath of recommends heading your way.	Voilà mes recommandations pour les fêtes pour vous.
Yes, those dark and gray months do indeed make me much happier and more relaxed.	Oui, ces mois sombres et gris me rendent effectivement beaucoup plus heureux et plus détendu.
For the taxation on the increases for children, it is the amount collected by the State which essentially originates from deciles 8 to 10.	Pour la fiscalisation des majorations pour enfants , c'est le montant encaissé par l'Etat qui provient essentiellement des déciles 8 à 10 .
But concerning the number of households which have seen their taxes increase following this measures, the fourth and fifth deciles (median incomes) are those concerned above all according to diagram 2.	Mais en qui concerne le nombre de ménages ayant vu leur impôt augmenter suite à cette mesure , ce sont surtout les déciles 4 et 5 qui sont concernés ( revenus médians ) selon le graphique 2 .
The abolition of the half-share concerning above all widows was not addressed at all in the article or rather its impact was completely under estimated: 230 million euros is a joke which does not take into account the impact in 2012 and 2013 and implies that it is painless.	La suppression de la demi part concernant surtout les veuves n'est pas du tout traitée dans l'article ou plutôt son impact est complêtement sous évalué: 230M d'euros c'est une plaisanterie qui ne tient pas compte de l'impact en 2012 et 2013 et sous-entend qu'elle est indolore.
And it's not about to improve.	Et c'est pas prêt de s'arranger.
Well, we are not penniless of course, but pensive	Bon, on n'est pas sur la paille certes, mais songeurs
If for once the PS makes a policy that is left-leaning instead, we're not going to cry...	Pour une fois que le PS fait une politique plutôt de gauche on va pas pleurer...
It is clear that those who make up the 20% richest must bear much more than 75% of the increase in taxes, why not 90%?	Il est évident que ceux qui font partie des 20% les plus riches doivent supporter bien plus que 75% de la hausse des impôts, pourquoi pas 90% ?
Continue like this and you will encourage this 20% to work less or to leave.	Continuons ainsi et vous encouragerez ces 20% à moins travailler ou à partir.
Well, I know, it's not politically correct, but I'm saying it anyway.	Bon, je sais, ce n'est pas politiquement correct, mais je le dis quand même.
Long live the Trotskyists and the OCIs recycled in the PS: they understood everything.	Vive les Trots et les OCI recyclés au PS : ils ont tout compris.
Adam, you see badly what you are looking at.	Adam, vous voyez mal ce que vous regardez.
The proportion is always the same, here or in Bahrain: 20% of the population holds 80% of the wealth.	La proportion est toujours la même, ici ou au Bahreïn: 20% de la population détient 80% des richesses.
Fair taxes is when it stops anyone from amassing as much as they can.	Un impôt équitable, c'est quand il interdit à quiconque d'amasser autant qu'il peut.
Beyond a certain limit, money loses all its usefulness.	Au delà d'une certaine limite l'argent perd toute son utilité.
And once the usefulness of money has been exceeded, money is not used for more than to make money, that is bring misfortune on as many as possible.	Et une fois dépassée l'utilité de l'argent, l'argent ne sert plus qu'à faire de l'argent, c'est )à dire à faire le malheur du plus grand nombre.
One is part of the richest 20%.	On fait partie des 20% les plus riches.
Undoubtedly also of the 20% of households which work the most (and create wealth, a part of which is logically redistributed).	Sans doute aussi des 20% de foyers qui travaillent le plus (et créent de la richesse dont une partie est logiquement redistribuée).
Fair tax must enable these households to make the most of a part of their efforts.	Un impôt équitable doit permettre à ces foyers de profiter d'une partie de leurs efforts.
Or better to give up and live on the social benefits, above all if one has social housing.	Ou bien alors autant baisser les bras et vivre des minima sociaux, surtout si on dispose d'un logement social .
The utopias of the khmer rouge head cutters have fortunately had their day.	Les utopies des coupeurs de têtes à la khmer rouge ont heureusement vécu.
Did two AirBnB's in Norway recently.	J'ai fait deux AirBnB en Norvège récemment.
No problems at all.	Aucun problème.
We had things you wouldn't get in a 5 star hotel in one place and we didn't have to check in or deal with any hassle.	Dans l'un des deux, nous avons eu des choses qu'on n'aurait pas eu dans un hôtel 5 étoiles et nous n'avons pas eu à nous présenter à la réception ou faire face au moindre tracas.
Just turn up at a place and go in, stay, tidy up and leave.	Il suffit d'aller chez quelqu'un, d'y dormir, de ranger derrière soi et de repartir.
Will be my first port of call every time I'm travelling now.	Dorénavant ce sera ma première option quand je suis en voyage.
Logo has changed folks...	Le logo a changé, les gens ...
Check your insurance before letting your home.	Vérifiez votre assurance avant de louer votre maison.
Most need some form of landlord insurance.	Dans la plupart des cas il vous faudra un genre d'assurance de propriétaire.
Make sure that you use a service with a correct logo!	Assurez-vous d'utiliser un service avec le bon logo !
Ah 6h too late.	Ah, 6h trop tard.
Love airbnb.	J'adore Airbnb.
"it’s very dangerous and high risk" No it's not.	« C'est très dangereux et hautement risqué » Non ce n'est pas vrai.
You just go very unlucky.	Vous avez juste vraiment manqué de chance.
According to the link provided in the article:	D'après le lien fourni dans l'article :
To its credit, Airbnb's response to Teman was quick, almost absurdly so.	À sa décharge, la réponse d'Airbnb à Teman a été rapide, presque absurdement rapide.
Within 24 hours, per an email provided to Gawker by Teman, Airbnb had sent a locksmith to change his locks, made plans to put him up in a hotel for a week, and wired him $23,817 (of which Airbnb itself is insured, but nonetheless).	Dans les 24 heures, d'après un e-mail fourni à Gawker par Teman, Airbnb avait envoyé un serrurier pour changer les serrures, pris des dispositions pour qu'il passe une semaine à l'hôtel et transféré 23 817 $ (pour lesquels Airbnb est assuré, mais quand même).
So why is this article quoting Teman as complaining that there was no support from Airbnb?	Alors pourquoi cet article cite-t-il Teman se plaignant qu'il n'a reçu aucun soutien d'Airbnb ?
LOVE AIRBNB- for host and travel	J'ADORE AIRBNB, pour recevoir comme pour voyager
Hello i am looking for people who have used air bnb before just for some reassurance.	Bonjour je cherche des gens qui ont déjà utilisé air bnb juste pour me rassurer.
I am looking to put down a deposits and months rent at once but feel cautious of sending £1600 to a site iv never really heard of.	J'envisage de payer un acompte et un mois de loyer d'un coup mais j'ai un peu peur d'envoyer 1 600 £ à un site dont je n'ai jamais vraiment entendu parler.
But where are we going?	Mais où va t on?
"To support the troupes" sang the Bu$cher over and over again...	« Soutenir les troupes », chantait la Bu$herie sur tous les tons…
Harmless weapons then.	Armes inoffensives donc.
I am sure that it will please the families and loved ones of millions of Kurds killed in Halabja to learn that their parents and friends died from something other than Saddam Hussein's chemical bombardments.	Je suis sûr que cela fera plaisir aux familles et proches des milliers de kurdes morts à halabja d’apprendre que leurs parents et amis ont succombé à autre chose qu’aux bombardements chimiques de saddam hussein.
Unless the content of this article was radically modified by the author, your comment is inappropriate (to be polite).	À moins que le contenu de l’article ait été radicalement modifié par l’auteur, votre commentaire est inaproprié (pour rester poli).
Moreover, how would this mass crime committed in 1988 prove that chemical weapons discovered almost 20 years later were still usable?	De plus, en quoi ce crime de masse commis en 1988 prouverait-il que les armes chimiques découvertes près de 20 ans plus tard étaient encore utilisables ?
The author's style is not really clear: "looking for weapons of mass destruction.	C’est pas hyper clair le style de l’auteur: « à la recherche d’armes de destruction massive.
We completely agree.	On est bien d’accord.
Do you believe that this is the moment to weaken the army to strengthen education	Vous croyez que c’est le moment d’affaiblir l’armée pour renforcer l’éducation
It is never the moment to strengthen education, as we are still at war.	Ce n’est jamais le moment de renforcer l’éducation, car nous sommes toujours en guerre.
Alternative: Is it STILL the moment to strengthen education, as we are still at war?	Alternative : C’est TOUJOURS le moment de renforcer l’éducation, car nous sommes toujours en guerre ?
It would already strengthen education a lot if we made "them" work 35 hours instead of 17.	On renforcerait déjà de beaucoup l’éducation si on « les » faisait travailler 35 heures au lieu de 17.
Currently, our teachers earn at present more than engineers.	A l’heure, nos enseignants gagnent actuellement plus que des ingénieurs.
They cannot make us believe that teachers spend 18 hours a week preparing their programme.	Et qu’on ne nous fasse pas croire que les enseignants passent 18 heures par semaine à préparer leur programme.
But that is not seen since the National Education does not have the means to provide an office at the school/high school for its teachers, so they work at home.	Mais ça ne se voit pas puisque l’Education Nationale n’a pas les moyens de fournir un bureau au collège/lycée à ses profs donc ils bossent chez eux.
A sort of forced telework all in all, except that the employer does not pay for the computer, nor the internet connection, nor the supplies.	Une sorte de télétravail forcé en somme, sauf que l’employeur ne paye ni l’ordinateur, ni la connexion internet, ni les fournitures.
Moreover, it is so cushy with 17 hours a week and 4 months of holidays that we cannot manage to fill the maths CAPES exam, come on, we're waiting for you.	D’ailleurs, c’est tellement la planque à 17h par semaine et 4 mois de vacances qu’on arrive pas à remplir le CAPES de maths, venez, on vous attend.
How does that not make you want to put up with poorly educated brats whose parents spit on you treating you like a little shit?	Comment ça vous n’avez pas envie de vous coltiner des chiards mal éduqués dont les parents vous crachent dessus en vous traitant de branleur ?
I think that the priority in this area is to disarm the jihadists so that the Kurdish population can flourish better.	je pense que la priorité dans cette zone c’est de désarmer les djihadites afin que la population khurde puisse mieux s’épanouir.
Where one sees that the Bush administration did absolutely everything wrong.	Là où l’on voit que l’administration Bush a absolument tout fait de travers.
My first graduate position was sales in London earning bugger all money and this was a job you needed a degree to acquire.	Mon premier emploi diplômé c'était dans la vente, à Londres, à gagner trois fois rien et c'était pourtant un poste pour lequel il fallait un diplôme.
A year later I saw an advert for being a grunt on London Underground which paid £5000 a year more and you didn't even need GCSEs.	Un an plus tard, j'ai vu une annonce pour être ouvrier pour le métro de Londres, c'était payé 5 000 £ de plus par an et on ne demandait même pas le brevet.
Never looked back.	J'ai jamais regretté.
On topic, don't worry about getting a graduate position, get something that either earns you decent money or that you enjoy.	À ce sujet, ne vous en faites pas si vous ne trouvez pas un emploi diplômé, essayez de trouver quelque chose soit qui paye bien, soit que vous aimez faire.
If I'd stayed in graduate positions I'd still be paying off my student loan	Si j'en étais resté aux emplois diplômés, j'en serais encore à payer mon prêt étudiant
I dont really find corporate work fun, so hope in the middle run to either move into government work or into academe.	Je n'aime pas tellement le travail en entreprise, alors j'espère à terme passer soit dans la fonction publique soit dans le monde universitaire.
LOL LOL LOL This article is so late!	LOL LOL LOL Cet article arrive vraiment tard !
Exactly, when I graduated in 2011 there was already a three year backlog.	Exactement, quand j'ai obtenu mon diplôme en 2011 il y avait déjà un arriéré de trois ans.
Best way to cut the number of unemployed graduates?	La meilleure façon de réduire le nombre des diplômés sans emploi ?
Scrap the mickey mouse degrees such as art/english/drama/media/philosophy/politics or dole studies as they're known.	Se débarrasser des filières bisounours comme art / lettres / théâtre / médias / philosophie / sciences politiques, c'est à dire ce qu'on appelle les diplômes de chômeurs.
I had one of those degrees and ended up as a production manager.	J'ai un de ces diplômes et j'ai fini directeur de production.
Turned out what was important was not the degree but as the article above indicated, a strong employment history, starting at school and continuing through University.	Il s'est avéré que l'important n'était pas le diplôme mais, comme l'article ci-dessus le dit, un bon parcours professionnel, en commençant à l'école et tout au long de l'université.
Granted the starting salary was lower but you soon move through the ranks as out in the real world it becomes more about being a doer than a knower.	Certes le salaire de départ était inférieur mais on monte rapidement les échelons parce que dans le monde réel ce qui compte c'est les résultats plus que les connaissances.
This engineering/arts balls has been running for years.	Ce débat études d'ingénieur / filières artistiques durent depuis des années.
Scientists are not the cure for every problem, it's more important to be able to get up, turn in on time and deal with people in a way that gets things done.	Les scientifiques ne peuvent pas résoudre tous les problèmes, il est plus important d'être capable de se lever le matin, d'arriver au travail à l'heure et d'interagir avec les gens de manière à obtenir des résultats.
English, Philosophy and Art are Mickey Mouse degrees?	Lettres, philosophie et art sont des filières bisounours ?
That is ridiculous.	C'est ridicule.
Presumably you mean degrees such as media studies and whatever Philistinism subject you studied.	Je suppose que vous parlez des diplômes genre étude des médias ou quel que soit la filière absconse où vous êtes allé.
English, Philosophy, Politics and Art are serious degrees.	Lettres, philosophie, sciences politiques et art sont de vraies filières.
We need people who can explain the big issues to high schoolers - who can understand and champion pillars of culture such as literature and art et al.	Il nous faut des gens qui puissent expliquer les grandes questions aux lycéens, qui comprennent l'importance des bases de la culture comme la littérature, l'art, etc., et les mettent en valeur.
Would a genuine territorial policy not be better to clear Paris and dynamize the rest of France?	Ce ne serait pas mieux une vraie politique territoriale pour désengorger Paris et dynamiser le reste de la France ?
Personally, I cannot see the inhabitants of the very depths of Essonne and the Val-d'Oise doing 80km there and back every day by bicycle to come to work in Paris.	Personnellement, je vois mal les habitants du fin-fond de l’Essonne et du Val-d’Oise faire 80km aller-retour tous les jours en vélo pour venir travailler à Paris.
The inhabitants from the inner city and the inner ring road already have many much more practical means of public transport (metro, bus, tram).	Les habitants intra-muros et de la petite ceinture disposent déjà de nombreux moyens de transport en commun autrement plus pratiques (métro, bus, tramway).
	
Good idea.	Bonne idée.
On the surface, the space is cannibalized by 2RMs.	En surface, l’espace est cannibalisé par les 2RM.
Incidentally, one hopes that the city of Paris will work with professionals from the Netherlands and from Denmark.	Incidemment, on espère que la Ville de Paris travaille avec des professionnels des Pays-bas et du Danemark.
Might as well benefit from their extensive experience in the field.	Autant bénéficier de leur grosse expérience dans le domaine.
Well, we have not found a place for A SINGLE bicycle rack.	Eh bien on n’a pas trouvé de place pour UN SEUL dispositif d’accrochage de vélo.
Motivation seems to be greater when it involves finding an office for Bertrand Delanoë…	La motivation semble plus forte quand il s’agit de trouver un bureau pour Bertrand Delanoë….
Well, that is no good at all.	Bon, ça ne va pas du tout.
When you argue with pedestrians and other public transport users about the reasons why they do not pedal, it seems to me that the principal reasons which stand out are: 1/ it is so dangerous with all these cars, lorries, scooters which drive extremely fast and do not give a damn about the survival of bicycles 2/ we take a lot of pollution into our body. For me cycling lanes are a last resort, car traffic must be reduced (urban toll like a congestion charge), speed reduced (Paris = 30 zone), enforce the highway code by systematically booking offenders (even for bicycles except that it is necessary to adapt the highway code written for cars 100 years ago to bicycles), extend the buffer zones after the zebra crossings, not before, otherwise cars and scooters do not interfere with each other.	Quand on discute avec des piétons et autres usagers des transports en commun des raisons pour lesquelles ils ne pédalent pas il me semble que les raisons principales qui ressortent sont : 1/ c’est hyper dangereux avec toutes ces bagnoles, ces camions, ces scooters qui roulent super vite et se foutent de la survie des vélos 2/ on se prend plein de pollution dans la tête Pour moi les pistes cyclables sont des pis aller, il faut réduire la circulation automobile (péage urbain type congestion charge), réduire la vitesse (Paris = zone 30), faire respecter le code de la route en verbalisant systématiquement (même les vélos au bémol prés qu’il faut adapter le code de la route écrit pour des bagnoles il y a 100 ans aux vélos), généraliser les zones tampons après les passages cloutés, pas avant sinon bagnoles et scooters ne se gènent pas.
Cycling lanes is apartheid, we must co-exist but balance the occupation of urban space.	Les pistes cyclables c’est de l’apartheid, il faut cohabiter mais rééquilibrer l’occupation de l’espace urbain.
Nothing on bicycles in greater Paris?	Rien sur le vélo dans le grand Paris ?
Not a word on bicycle spaces on public transport?	Pas un mot sur la place du vélo dans les transports en commun ?
EELV is right.	EELV a raison.
The goal of 15% of trips by bicycle is ridiculous.	L’objectif de 15% de deplacements à velo est ridicule.
I am starting to believe that Anne Hidalgo duped the greens.	Je commence à croire qu’Anne Hidalgo a roulé les verts dans la farine.
Furthermore, according to what OR reports, the EELV assistants seem skeptical.	D’ailleurs d’apres ce que rapporte OR, les adjoints EELV semblent sceptiques.
I prefer to be optimistic.	Je prefere etre optimiste.
Before the shakedown begins you'd better find out who was really behind the massacre.	Avant que le racket ne commence, mieux vaudrait trouver qui se cache vraiment derrière ce massacre.
Hint: it wasn't Russia.	Indice : ce n'est pas la Russie.
Not sure if I like the way the world is going.	Pas sûr d'aimer la façon dont évolue le monde.
That sounds terrible.	Ca a l'air horrible.
My children are not a financial asset.	Mes enfants ne sont pas un actif financier.
A lawyer has expressed an intention to bring a case before the ECHR, but I've seen no reports of a case actually having been filed.	Un avocat a exprimé son intention de porter l'affaire devant la CEDH, mais je n'ai pas entendu dire qu'une plainte ait effectivement été déposée.
Also, they would have to file a lawsuit in Germany or Ukraine first.	De plus, il faudrait qu'ils déposent plainte d'abord en Allemagne ou en Ukraine.
I would also expect that such cases would be delayed to wait for the outcome of the air crash investigation and the criminal investigation which would follow it.	Je m'attends aussi à ce que ces affaires soient repoussées en attendant le résultat du rapport d'enquête sur l'accident et de l'enquête criminelle qui en découlerait.
Yeah but Libya didn't blow up Pan Am 103 either.	Ouais mais la Libye n'a pas fait exploser Pan Am 103 non plus.
Malaysia Airlines are not at fault, the fault lies with the authority tasked with the safety of the air space, in this case the government of Ukraine.	Malaysia Airlines n'est pas en tort, la faute incombe à l'autorité chargée de la sécurité de l'espace aérien, dans ce cas le gouvernement ukrainien.
Was the accident foreseeable?	L'accident était-il prévisible ?
Other jets were shot down previously, Ukraine was launching aerial assaults on rebels in the area and they would of course see any aircraft as a possible, immediate threat.	D'autres avions avaient été abattus précédemment, l'Ukraine lançait dans la zone des attaques aériennes contre les rebelles et tout avion pouvait bien sûr être considéré comme une menace possible et immédiate.
Did the Ukraine government take reasonable precautions in the face of an obvious threat or did it choose to gamble the lives of the innocent in order to collect lucrative fly over fees from airlines?	Est-ce que le gouvernement ukrainien a pris des précautions raisonnables au vu d'une menace évidente ou a-t-il choisi de jouer avec la vie d'innocents pour que les compagnies aériennes payent les droits de survol du territoire ?
Were are all the pro Kiev trolls defending their coup Government/the ultra nationalists of West Ukraine - and arguing that Putin basically shot down MH17.	Où sont tous les trolls pro-Kiev qui défendent leur gouvernement usurpateur / les ultranationalistes de l'Ukraine de l'Ouest - et qui veulent démontrer en gros que Poutine a abattu le vol MH17.
As far as I know there is already a legal action against Kiev's government as they are responsible for what goes on in their skies.	Pour autant que je sache, il y a déjà une plainte contre le gouvernement de Kiev car ils sont responsables de ce qui se passe dans leur ciel.
The precedent: A judgment by the International Court of Justice in 1986 held that the supply of weapons to the Contra rebel forces in Nicaragua by the CIA did not mean America was responsible for their actions.	Le précédent : un arrêt de 1986 de la Cour internationale de Justice qui a conclu que la fourniture d'armes par la CIA aux forces rebelles des Contras au Nicaragua ne signifiait pas que les États-Unis soit responsable de leurs actions.
The chances of Russia allowing this to go to the ICJ are zero.	Aucune chance que la Russie ne laisse cette affaire aller à la CIJ.
It's funny to think that Abbott wants to tell Putin that Australians were murdered by Russian backed rebels.	C'est drôle de penser qu'Abbott veut dire à Poutine que des Australiens ont été assassinés par des rebelles soutenus par la Russie.
I hope that he can produce the evidence to back up his claims.	J'espère qu'il peut présenter des preuves pour étayer ses allégations.
So far the investigators have not said any of such things.	Jusqu'ici les enquêteurs n'ont rien dit de tel.
To be called Ricardo and be such an eco-philistine is distressing!	S'appeler Ricardo et être un tel béotien en éco, c'est affligeant !
To be called Polar and lose the north is delightful.	S'appeler Polaire est perdre le nord est réjouissant.
A single philistine question: is the poor person of today poorer than the poor person of yesterday?	Une seule questionde béotien : est-ce que le pauvre d'aujourd'hui est plus pauvre que le pauvre d'hier?
I cannot stop myself from remarking that those who criticize Piketty's book most virulently have not read it!	Je ne peux m'empècher de remarquer que ceux qui critiquent le plus virulament le livre de Piketty ne l'ont pas lu!
It is easy to read, I took a few days.	Il est facile à lire, j'ai mis quelques jours.
It shows the statistical evolution of income/production, income/capital, inequalities/concentration, the inequality of income from work, of ownership of capital, merit and heritage in the long term..	Il montre l'évolution statistique des revenus-production, revenu-capital, inégalités-concentration, inégalité des revenus du travail, de la propriété du capital, mérite et héritage dans le log terme..
It shows that the concentration of capital today is returning to that of the start of the 20th Century before 1914, it shows that it is the 2 world wars that made the concentration of capital drop, from 1914 to 1945, and then how the concentration picks up after...	Il montre que la concentration du capital d'aujourd'hui rejoint celle du début du 20° avant 1914, il montre que c'est les 2 guerres mondiales qui ont fait baissé la concentration du capital, de 1914 à1945, puis comment la concentration reprend après...
Bernajuzan: you say no to what.	Bernajuzan : vous dîtes non à quoi.
I am asking you how long it took you to read this huge article knowing that an individual's concentration capacity has limits.	Je vous demande combien de temps cela vous a pris de lire ce pavé sachant que la capacité de concentration d'un individu a quelques limites.
Next, the question is not knowing whether it is easy to read.	Ensuite, la question n'est pas de savoir s'il est facile à lire.
The question is whether the summary of the central thesis that the press has given of it is fair or not.	La question est si le résumé de la thèse centrale qu'en a donnée la presse est juste ou pas.
If it is fair, one can debate it without having read the book, which essentially involves arguing one side in favor of this one.	Si elle est juste, on peut débattre de celle-ci sans avoir lu le livre dont l'essentiel consiste à argumenter à sens unique en faveur de celle-ci.
No, it is not easy to read...	Non, il est facile à lire...
Bernajuzan: how long did it take you to read it?	Bernajuzan : combien de temps avez-vous mis pour le lire?
Is the central thesis of this huge book summarized by the press false?	Est-ce que la thèse centrale de son pavé résumée par la presse est fausse?
I have not read it and I will not read it.	Je n'ai pas lu et ne le lirai pas.
I therefore trust the summary of its central thesis and it is that which seems to be a clear sham.	Je me fie donc au résumé de sa thèse centrale et c'est celle-là qui me paraît pure fumisterie.
The notion of the gap between rich and poor is subsidiary.	La notion d'écart entre riches et pauvres est subsidiaire.
Has humanity not become globally rich?	L'humanité ne s'est-elle pas globalement enrichie?
And this enrichment added to the population growth is the real political issue today.	Et cet enrichissement ajouté à un accroissement de la population est la vraie question politique aujourd'hui.
Malala Yousafzai is an impressive personality and deserves the prize without a doubt.	Malala Yousafzai est une personnalité impressionnante et mérite le prix sans aucun doute.
But remember that she is only 17 years old.	Mais rappelez-vous qu'elle n'a que 17 ans.
An age where most people are just beginning to find their place in the world.	Un âge auquel la plupart des gens commencent tout juste à trouver leur place dans le monde.
I hope that this prize will not be a burden for the girl and that she will find her way to lead a lucky life.	J'espère que ce prix ne sera pas un fardeau pour la jeune fille et qu'elle trouvera son chemin pour mener une vie heureuse.
The prize isn't its the political capital from western governments wanting to prove the old adage of deviant darkies being evil evil evil.	Le problème ce n'est pas le prix mais le capital politique des gouvernements occidentaux qui veulent prouver le vieil adage selon lequel les pervers colorés sont l'incarnation du mal.
I wish Malala all the best in life but she has to realise that she is being used and nothing will be done to educate girls in Pakistan or anywhere else - even in working class areas in Britain!	Tous mes vœux de bonheur à Malala, mais elle doit se rendre compte qu'elle est utilisée et que rien ne sera fait pour éduquer les filles au Pakistan ou ailleurs - même pas dans les quartiers populaires de Grande-Bretagne !
Did anyone think her speech was a little strange.	Quelqu'un a-t-il pensé que son discours était un peu étrange.
She lauded her father for giving her freedom yet mentioned that were she not where she is now she would have been married off at 14.	Elle a remercié son père de lui avoir donné beaucoup de liberté mais a mentionné que, si elle n'était pas là où elle est maintenant, elle aurait été mariée à 14 ans.
Isn't Malala herself one of those "deviant darkies"?	Malala elle-même ne fait-elle pas partie de ces « pervers colorés » ?
You should not be given 'air time' on this site.	Vous ne devriez avoir aucun « temps d'antenne » sur ce site.
You are, yourself, a horrible deviant.	Vous êtes, vous-même, un horrible pervers.
How absolutely disgusting.	C'est absolument révoltant.
No her father wasn't going to marry her off at 14.	Non, son père n'allait pas la marier à 14 ans.
She was 15 when she was shot.	Elle avait 15 ans quand on lui a tiré dessus.
Her father runs a school where girls are educated and is in favor of equal rights for women.	Son père dirige une école où les filles sont scolarisées et il est en faveur de l'égalité des droits pour les femmes.
He is and was in favor of her both getting a university education and having the right to decide her own marriage plans.	Il est, et a toujours été, pour qu'elle reçoive une éducation supérieure et qu'elle ait le droit de décider elle-même de son mariage.
However he is an unusual Pakistani man in that he believes women are equal to men.	Pour autant, c'est quelqu'un d'inhabituel au Pakistan, dans la mesure où il pense que les femmes sont l'égal des hommes.
She was saying the average Pakistani girl is often looking at marriage by the time she is 14 with no choice in the matter.	Ce qu'elle disait c'est qu'une fille pakistanaise moyenne doit souvent se marier à 14 ans, sans avoir son mot à dire.
Sorry she didn't phrase it artfully enough for you.	Désolé qu'elle ne l'ait pas énoncé de manière suffisamment éloquente pour vous.
It may seem to be a contradiction, but, maybe she means that without her father giving her freedom she would have been married at 14	Cela peut sembler contradictoire, mais peut-être veut-elle dire que, si son père ne lui avait pas donné de liberté, elle aurait été mariée à 14 ans
Rather disappointed by this opening to season 4 and particularly by Jessica Lange who visibly found it difficult to find her double character, Marlene Dietrich.	Plutôt déçu par cette entrée en matière de saison 4 et tout particulièrement par Jessica Lange qui visiblement a un peu de mal à trouver son personnage de sosie de Marlene Dietrich.
I have just watched the last two seasons, which are quite different, but I must admit that it is one of the best horror series, one of the most accomplished!	Je viens de regarder les deux dernieres saisons qui sont assez différentes mais je dois admettre que c’est une des meilleurs série d’horreur, une des plus aboutie!
A fascinating first episode.	Un premier épisode fascinant.
The production is close to perfection and the show with Jessica Lange singing the anachronistic Life on Mars by Bowie is quite simply amazing.	La réalisation est proche de la perfection et le show de Jessica Lange chantant l’anachronique Life on Mars de Bowie est tout simplement renversant.
