Breaking news: Our Cosmic Visitor Huge Asteroid 2014 JO25	Son dakika: Kozmik Ziyaretçimiz Dev Asteroit 2014 JO25
The Minister of Development, Lutfi Elvan, added Maybe a bit of an upward trend will be seen in the coming months in the annual inflation rate due to fundamental effects, but from the first months of 2018 the fall in the inflation rate will be evident.	Kalkınma Bakanı Lütfi Elvan: Önümüzdeki aylarda baz etkisi nedeniyle yıllık enflasyonda bir miktar yukarı yönlü eğilim görülebilir ancak 2018 ilk aylarından itibaren enflasyondaki düşüş belirginleşecek.
We estimate that the annual inflation will decrease further.	Yıllık enflasyonun daha da aşağılara ineceğini tahmin ediyoruz.
I wish all success to Fenerbahçe in the upcoming matches.	Fenerbahçe'ye bundan sonraki maçlarında başarılar diliyorum.
Sturm Graz’s Technical Director Franco Foda said that their performance in the second half of the UEFA European League’s third preliminary playoff, which ended with a 1-1 draw with Fenerbahçe, was not sufficient to get through the preliminaries.	Sturm Graz Teknik Direktörü Franco Foda, UEFA Avrupa Ligi 3. ön eleme turu rövanşında Fenerbahçe ile 1-1 berabere kaldıkları maçta ikinci yarıdaki performanslarının tur atlamak için yeterli olmadığını söyledi.
Speaking at the press conference organized after the match, Foda said that Fenerbahçe was a high class team, "we couldn’t use the wings in the first half."	Karşılaşmadan sonra düzenlenen basın toplantısında konuşan Foda, Fenerbahçe'nin üst seviye bir takım olduğunu belirterek, "İlk yarıda kanatları kullanamadık."
We found balance in the second half.	İkinci yarıda oyunda dengeyi kurduk.
We got a chance for the second goal.	İkinci gol için şans bulduk.
I am proud of my team anyway.	Takımımla yine de gurur duyuyorum.
They changed the game in the second half.	İkinci yarıda oyunun akışını değiştirdiler.
We could have been better.	Biraz daha iyi olabilirdik.
Small things in the match became determining factors.	Maç içinde küçük şeyler karar verici oldu.
"I wish all success to Fenerbahçe in the coming matches" he said.	"Fenerbahçe'ye bundan sonraki maçlarında başarılar diliyorum". şeklinde konuştu.
Foda stressed that they felt very good in Turkey and were happy with the hospitality they had received.	Foda, Türkiye'de bulundukları sürece kendilerini çok iyi hissettiklerini ve gördükleri misafirperverlikten dolayı da mutlu olduklarını belirtti.
Fernando is in Istanbul	Fernando İstanbul'da
Fernando Francisco Reges, the Brazilian football player with whom Galatasaray has begun negotiating for a transfer, arrived in Istanbul.	Galatasaray Kulübünün transfer görüşmelerine başladığı Brezilyalı futbolcu Fernando Francisco Reges, İstanbul'a geldi.
Landing at Atatürk Airport, fans joyfully welcomed the Brazilian football player.	Atatürk Havalimanı'na gelen Brezilyalı futbolcuyu, taraftarlar coşkulu bir şekilde karşıladı.
Cheering and chanting in a display of fan support, Fernando left the airport in a private car under security measures.	Sarı-kırmızılı taraftarların tezahüratlarla sevgi gösterilerinde bulunduğu Fernando, güvenlik önlemleri altında kendisini bekleyen özel araca binerek havalimanından ayrıldı.
Starting his career in Brazil’s Vila Nova team and going on to wear the uniforms of Estrela Amadora, Porto and Manchester City, the thirty year old Fernando plays in the midfield.	Kariyerine Brezilya'nın Vila Nova takımında başlayan, Estrela Amadora, Porto ve Manchester City formaları giyen 30 yaşındaki Fernando, orta sahada görev yapıyor.
After going through the medical check, the Brazilian football player is expected to sign a contract with Galatasaray.	Brezilyalı futbolcunun, sağlık kontrolünden geçtikten sonra sarı-kırmızılı takım ile sözleşme imzalaması bekleniyor.
Continuing in its transfer efforts, Galatasaray secured the purchase of Fernando from Manchester city for a fee of 5,250,000 Euro. Galatasaray has for a long time been working to obtain the player.	Transfer çalışmalarını sürdüren Galatasaray, uzun süredir kadrosuna katmaya çalıştığı Fernando için Manchester City ile 5 milyon 250 bin Euro'ya anlaşma sağladı.
Sudden Raqqa move by the US: Internal Security Force...	ABD'den flaş Rakka hamlesi: İç Güvenlik Gücü...
Connecting from Baghdad to the US Ministry of Defence (Pentagon) via video conferencing, Colonel Dillon said that the Raqqa Internal Security Force (RIGG), trained by the coalition forces, had started settling in areas cleaned of DAESH.	Bağdat'tan video konferans yönetimiyle ABD savunma Bakanlığına (Pentagon) bağlanan Albay Dillon, koalisyon tarafından eğitilen Rakka İç Güvenlik Gücü"nün (RİGG) şehirde DEAŞ"tan temizlenen alanlara yerleşmeye başladığını ifade etti.
Dillon said "Composed of mostly Arabs and anti-DAESH local volunteers, the Raqqa Internal Security Force continues to provide order and prevent the escape or return of terrorists in the cleared parts of the city".	Dillon, "Şehrin temizlenen bölgelerinde çoğunlukla Araplardan ve DEAŞ karşıtı yerel gönüllülerden oluşan Rakka İç Güvenlik Gücü, düzeni sağlamaya ve teröristlerin kaçmasını veya geri dönmesini engellemeye devam ediyor". dedi.
Stressing that during the week 230 more people completed their training and joined the group, Dill said "currently there are 850 people in the force".	Bu hafta 230 kişinin daha eğitimini tamamlayarak gruba katıldığını ifade eden Dillon, "şimdilik söz konusu kuvvetin sayısının 850 olduğunu" dile getirdi.
Dillon said that the coalition forces provided the group with first aid, armed combat, detection and control point operational training, along with basic weapons training.	Dillon, koalisyon tarafından gruba temel silah eğitiminin yanı sıra ilk yardım, silahlı çatışma, tarama ve kontrol noktası operasyonları konularında eğitim verildiğini belirtti.
Stating that there was a high degree of interest in the Raqqa Internal Security Force, the coalition forces would continue to screen all applicants who applied for training and employment.	Rakka İç Güvenlik Gücüne ilginin çok yoğun olduğunu aktaran Dillon, koalisyonun eğitim ve istihdam için başvuranları taramaya devam edeceğini kaydetti.
In recapturing Raqqa, the US-led coalition forces collaborate with the Syrian Democratic Forces, whose main backbone is the PYD/PKK.	ABD öncülüğündeki koalisyon, Rakka'nın alınmasında PYD/PKK'nın ana omurgasını oluşturduğu Suriye Demokratik Güçleri ile işbirliği yapıyor.
The PYD/PKK terrorist group has appointed the PKK terrorist, Leyla Muhammed, as the co-chairperson of the civilian administration council of Raqqa.	PYD/PKK terör örgütü, Rakka sivil yönetim konseyinin eş başkanlığına Leyla Muhammed adlı PKK'lı teröristi atamıştı.
It is claimed that PKK/PYD members are likely to be included in the military force in Raqqa.	Söz konusu Rakka'daki askeri güç içerisinde de PKK/PYD mensuplarının olacağı iddia ediliyor.
Dillon also announced that they have recovered the heavy armor from the opposition group Shuheda Karyatayn (Suhuk) that they stopped supporting last week, from the Al-Tanf camp to the south of Syria.	Dillon ayrıca, ABD öncülüğündeki koalisyonun geçen hafta desteğini kestiği Suriye'nin güneyindeki El Tanif kampındaki Şüheda Karyateyn (Şuhuk) adlı muhalif gruptan verdikleri ağır silahları topladığını duyurdu.
Dillon said "After meeting with the Suhuk leaders, they returned the heavy armor and equipment, but were allowed to keep the small guns and light vehicles".	Dillon, "Geçen hafta liderleri ile görüştükten sonra Şuhuk, koalisyonun kendilerine verdiği ağır silah ve ekipmanı geri getirdi ancak bazı küçük silahların ve hafif araçların onlarda kalmasına izin verildi". diye konuştu.
US had announced withdrawing their support from Suhuk due to their patrolling outside of the de-escalation zone, as agreed last week with Russia, and in relation to their taking part in activities not related to fighting DAESH.	ABD geçen hafta Rusya ile üzerinde anlaştıkları çatışmasızlık bölgelerinin dışına çıkıp devriye gezdiği ve DEAŞ'la mücadeleyle ilişkili olmayan faaliyetler içerisinde olduğu gerekçesi ile Şuhuk'tan desteğini çektiğini açıklamıştı.
It has been reported that the group wishes to fight against the Bashar Asad regime, along with DAESH.	Grubun DEAŞ"ın yanı sıra Beşar Esed rejimine karşı da savaşmak istediği belirtiliyor.
Trump pressured Mexico on border wall payment according to leaked phone call transcripts	Sızan telefon görüşmesi notlarına göre Trump, sınır duvarı ödemesi konusunda Meksika'ya baskı yaptı.
Transcripts of phone calls between US President Donald Trump and leaders of Mexico and Australia have been leaked by the Washington Post.	ABD başkanı Donald Trump ile Meksika ve Avustralya liderleri arasındaki telefon görüşmelerinin notları Washington Post tarafından sızdırıldı.
On 27th January in a phone call to Mexican president, Enrique Pena Nieto, Trump urged him to stop publicly saying he would not pay for a proposed border wall.	27 Ocak'ta Meksika başkanı Enrique Pena Nieto ile olan bir telefon görüşmesinde Trump, teklif edilen sınır duvarı için ödeme yapmayacağını halka açık olarak söylememesi konusunda onu sıkıştırdı.
The US President berated him for publicly denouncing the wall, reportedly saying to him "You cannot say that to the press."	ABD başkanı duvarı halka açık bir şekilde topa tutan Meksika başkanını azarladı ve söylentiye göre "Bunu basına söyleyemezsin." dedi
Trump launched his presidential campaign on a promise to build a wall along the US southern border and vowed to make Mexico pay for the project.	Trump başkanlık kampanyasını ABD'nin güney sınırı boyunca bir duvar inşa etmek üzerine başlattı ve Meksika'ya projeyeyi ödeteceği konusunda söz verdi.
Transcripts of his first call with Australian Prime Minister Malcolm Turnbull were also published revealing a tense exchange.	Hararetli bir diyaloğu ortaya döken Avustralya başbakanı Malcolm Turnbull ile olan ilk görüşmesinin notları da yayınlandı.
Mr Trump told Mr Turnbull a deal for the US to take on refugees headed for Australia was "ridiculous," "rotten" and "stupid," insisting the deal, brokered under the Obama administration, would make him look like "a dope" after he had proposed a ban on refugee resettlement in the US.	Bay Trump, Bay Turnbull'a ABD'nin, Avustralya'ya gidecek mültecileri alması konusundaki anlaşmanın "maskaralık", "çürümüş" ve "aptalca" olduğunu ve ABD'ye bir mülteci yerleştirme yasağı teklif ettikten sonra Obama yönetiminde yapılan anlaşmanın kendisini "budala" gibi göstereceğini söyledi.
Mr Trump ended the call after telling Mr Turnbull "this is the most unpleasant call all day."	Bay Trump, Bay Turnbull'a, "Bu tüm gün yaptığım en nahoş konuşmaydı." diyerek konuşmayı sonlandırdı.
Patient’s relatives broke the doctor’s nose	Hasta yakınları doktorun burnunu kırdı
Yesterday morning, the doctors and staff of Turkey’s Highly Specialized Training and Research Hospital had a brief work stoppage to protest an assault on their doctor friend by a patient’s relatives.	Türkiye Yüksek İhtisas Eğitim ve Araştırma Hastanesi doktorları ve çalışanları, hasta yakınları tarafından bir doktor arkadaşlarının darp edilmesine tepki amacıyla, dün sabah kısa süreli iş bıraktılar.
The crowd protested the recent events, in front of the hospital’s main entrance, carrying banners such as "No to violence in health".	Ellerinde taşıdıkları "Sağlıkta şiddete hayır" yazılı dövizlerle hastane ana girişi önünde toplanan kalabalık, yaşanan olaya tepki gösterdi.
The head of the hospital’s Child Cardiology Clinic, Prof. Dr. Feyza Aysenur Pac, said "A slogan like ‘No to violence in health’ is insufficient; in fact, it’s like taking sides."	Hastanenin Çocuk Kardiyoloji Klinik Şefi Prof. Dr. Feyza Ayşenur Paç, ""Sağlıkta şiddete hayır" sloganı bana yetersiz hatta taraf sloganı gibi geliyor."
There can be no mention of violence in health at all.	Sağlıkta, şiddet lafının yeri olamaz.
"The way it is going, this community will not be able to find a health group to serve them" she said.	"Bu şekilde giderse bu halk, yakında kendine hizmet edecek bir sağlık gurubu bulamayacak karşısında" dedi.
The protest in the hospital garden by health workers was supported by Ankara’s Provincial Health Director Dr. The protest in the hospital garden by health workers was supported by Ankara’s Provincial Health Director Prof. Dr. Oner Odabas, the head of Turkey’s Highly Specialized Training and Research Hospital, Dr. Mustafa Pac, and by patients’ relatives.	Sağlık çalışanlarının eylemine Ankara İl Sağlık Müdürü Dr. Kamil Türkmen, Ankara Birinci Bölge Kamu Hastaneleri Genel Sekreteri Prof. Dr. Öner Odabaş, Türkiye Yüksek İhtisas Eğitim ve Araştırma Hastanesi Başhekimi Prof. Dr. Mustafa Paç ile hastane bahçesindeki hasta yakınları da destek verdi.
Condemning the incident, Mr Pac said:	Olayı kınayan Paç, şunları söyledi:
Unfortunately, violence against health workers is rampant.	Maalesef sağlık çalışanlarına şiddet giderek artmaktadır.
Yesterday (the day before yesterday) evening we had another example of the same incident with an assault on our cardiovascular surgical physician by a patient’s relative.	Bu olayın bir örneğini dün (önceki gün) akşam, kalp damar cerrahi hekimimizin, bir hasta yakını tarafından darp edilmesiyle yeniden yaşamış bulunmaktayız.
Although the state, the ministry and the regional government has taken every appropriate measure to prevent such incidents as early as possible, we would also like to request that our fellow citizens become more aware of this issue.	Bu olayların bir an önce bitmesi için devletimiz, bakanlığımız ve valiliğimiz olarak elimizden gelen tedbirleri almamıza rağmen halkımızın bu konudaki duyarlılığının da artmasını talep ediyoruz.
On behalf of my hospital and my health staff, I condemn yesterday’s incidents.	Dün yaşanan olayları hastanem ve sağlık çalışanlarım adına kınıyorum.
Stressing the importance society’s awareness of the issue of violence in health, Mr Odabas said "Unfortunately, this has become a vocational complication that we go through from time to time."	Sağlıkta şiddet konusunda toplumun bilinçlenmesi gerektiğine dikkat çeken Odabaş ise, "Maalesef bu zaman zaman yaşadığmız, mesleki bir komplikasyon haline geldi."
"We will take our own measures, but the most important is for our fellow citizens to protect their health workers.	"Bizler de kendi tedbirlerimizi alacağız ama en önemlisi milletimizin kendi sağlık çalışanına sahip çıkması" dedi.
Saying that legal procedures have been initiated, Turkmen added "Our laws dealing with violence in health are being applied adequately."	Olayla ilgili adli sürecin başladığını belirten Türkmen de, "Sağlıkta şiddetle ilgili kanunlarımız yeterince etkin bir şekilde çıktı."
Various levels of the state are seeing to that.	Devletin kademeleri bunu uyguluyor.
Right now, the security forces are undertaking a study.	Şu anda emniyet çalışma yapıyor.
In the past, such events were ignored, but now they are being directly dealt with through government litigation, the state is sending a lawyer and perusing the case.	Geçmişte bunlar hep boşta kalıyordu ama şu anda doğrudan kamu davası oluyor ve devlet avukat görevlendiriyor, davayı takip ediyor.
"And, there have been examples of heavy penalties applied" he said.	"Bununla ilgili alınmış ağır ceza örnekleri de var" ifadelerini kullandı.
After statements were made, the staff continued with their work.	Açıklamaların ardından çalışanlar, işlerine devam etti.
According to the reports, the incident took place at 17:45 the day before yesterday.	İddiaya göre olay önceki gün saat 17.45 sıralarında yaşandı.
The relatives of a patient who had lost his life in intensive care assaulted the doctor who gave the death announcement, Dr. Hamdi Mehmet Ozbek of the Cardiovascular Surgery department.	Yoğun bakımda hayatını kaybeden hastanın yakınları, ölüm haberini veren Kalp ve Damar Cerrahi bölümünde çalışan Dr. Hamdi Mehmet Özbek'e saldırdı.
While Dr Ozbek was being taken away by doctors and assistants, police were called to the hospital.	Özbek, doktor ve asistanlar tarafından olay yerinden uzaklaştırılırken; hastaneye polis çağrıldı.
Dr Ozbek’s nose was broken in the incident, and his assailants were detained.	Olayda Özbek'in burnu kırılırken, saldırganlar gözaltına alındı.
One of the doctor witnesses said:	Olayın tanıklarından bir doktor, şunları söyledi:
When our friend went to the patient’s relatives to tell them of the death of the patient, the patient’s relatives held our friend and us responsible, and assaulted our two friends.	Arkadaşımız, hayatını kaybeden bir hastanın durumunu haber vermek için hasta yakınlarının yanına gittiğinde, hasta yakınları durumdan arkadaşımızı ve bizi sorumlu tutup iki arkadaşımıza saldırdı.
Our friend’s nose was broken and he was covered in blood.	Arkadaşımızın burnu kırıldı, kanlar içinde kaldı.
Later we took our friend to the surgery and hid him there.	Sonra arkadaşımızı ameliyathanenin içine götürüp sakladık.
For 15–20 minutes security set up a blockade between us.	15-20 dakika boyunca güvenlik set çekti aramıza.
If the patient’s relatives had got through the security blockade, it would have been a lot worse.	Eğer hasta yakınları o güvenlik duvarını aşsaydı, çok daha kötü şeyler olacaktı.
Heavy blow to DAESH in Gaziantep: 102 sacks...	Gaziantep'te DEAŞ'a ağır darbe: 102 çuval...
According to reports, as part of the investigation being conducted by the Gaziantep Chief Public Prosecutor’s Office, and as a result of the Gaziantep Security Directorate’s Anti-Terror Branch’s intelligence activities against the armed terror group DAESH, 102 sacks together holding 5,100 kilograms of ammonium nitrate for making explosives were seized in a raid on a Kayaonu Quarter warehouse. The sacks were later confirmed as having belonged to the DAESH terror group.	Edinilen bilgiye göre, Gaziantep Cumhuriyet Başsavcılığınca yürütülmekte olan soruşturma kapsamında, Gaziantep Emniyet Müdürlüğü Terörle Mücadele Şube Müdürlüğünce DEAŞ silahlı terör örgütüne yönelik istihbari çalışmalar neticesinde Kayaönü Mahallesi'nde terör örgütü DEAŞ"a ait olduğu belirlenen bir depoya yapılan operasyon sonucu patlayıcı yapımında kullanılan 102 çuval içerisinde 5 bin 100 kilogram amonyum nitrat ele geçirildi.
During the operation in which six people were detained, a search of a warehouse, residential and business premises as well as body searches of the suspects led to the seizure of 10 long barreled weapons with 35 magazines, 2,370 loaded cartridges, 3 guns with 7 magazines, 382 loaded cartridges, two hunting rifles and one scimitar, 39,705 TL and 15,870 USD in cash, debentures in various people’s names with a total value of 163,000 TL, checks to a total of 40,500 TL, two blank check stubs and several digital materials	6 kişinin gözaltına alındığı operasyonda şüphelilerin ikamet, iş yerleri, depo ve üst aramalarında ayrıca 10 adet uzun namlulu silah bu silahlara ait 35 adet şarjör, 2 bin 370 adet dolu fişek, 3 adet tabanca, bu tabancaya ait 7 adet şarjör ve 382 adet dolu fişek, 2 adet av tüfeği ve 1 adet pala, 39 bin 705 TL ve 15 bin 870) USD, toplamda 163 bin TL tutarında farklı kişiler adına tanzim edilmiş senetler, 40 bin 500 TL tutarında çekler, 2 koçan boş çek defteri ve çok sayıda dijital malzeme ele geçirildi.
In addition, four banned books published by the FETO/PDY terrorist group’s media arm were found during the searches.	Aramalarda FETÖ/PDY terör örgütünün yayın organları tarafından çıkartılan ve toplatma kararı bulunan 4 adet kitap da bulundu.
After their interrogations were completed, the six detained people were passed on to judicial authorities.	Gözaltına alınan 6 kişi, sorgularının ardından adli makamlara sevk edildi.
The suspects were subsequently arrested by the Criminal Court of Peace to which they had been referred.	Şüpheliler, sevk edildikleri nöbetçi Sulh Ceza Hakimliğince tutuklandı.
YPG looting in Syria...	Suriye'de YPG yağması...
US intervened	ABD müdahale etti
According to reports from local sources obtained by the Anatolian News Agency, the YPG terrorists, supported by the US military, have looted houses in the town of Tel Semin in the rural north of Raqqa. The YPG invaded this area under the justification of fighting against the DAESH terrorist group.	AA'nın yerel kaynaklardan edindiği bilgiye göre, YPG'li teröristler, ABD'nin askeri desteğinde, terör örgütü DEAŞ ile mücadele gerekçesiyle girdiği Rakka'nın kuzey kırsalında, Tel Semin beldesi sakinlerinin evlerini yağmaladı.
The civilians whose houses were looted and confiscated reacted, and a fight erupted.	Evleri yağmalanan ve el koyulan sivillerin tepkisi, terör örgütü ile çatışmaya dönüştü.
Upon this development, the US forces in the region entered the town with armored vehicles.	Bunun üzerine, bölgedeki ABD kuvvetleri, zırhlı araçlarla beldeye girdi.
"Cougar MRAP" type armored vehicles, personnel carriers and Husky type mine detection vehicle were used to create buffer zone in the town.	"Cougar MRAP" tipi zırhlılar, personel taşıyıcı araçlar ve Husky tipi mayın belirleme araçlarının beldede tampon bölge oluşturduğu görüldü.
Civilians running for their lives from the siege of Raqqa by anti-DAESH forces aren’t allowed by the YPG terrorist group to enter cities they control.	Terör örgütü YPG, DEAŞ karşıtı operasyon kapsamında ateş altına alınan Rakka'da ölümden kaçan sivillerin, kontrolündeki kentlere girmesine izin vermiyor.
A local activist network reported that "Raqqa is being silently murdered" and announced yesterday that 121 civilians had been killed by artillery fire in July alone.	"Rakka sessizce katlediliyor" isimli yerel aktivist ağı, dün, yalnızca temmuz ayında örgütün topçu ateşinde 121 sivilin öldüğünü duyurmuştu.
Let’s not carry the old world’s fights over into tomorrow	Eski dünyanın kavgalarını yarına taşımayalım
A delayed perception of either domestic or international realities can drag not only people but also countries into crisis.	Yurt ve dünya gerçeklerinin gecikmeli algılanması, sade kişilerin değil ülkelerin de krizlere sürüklenmesine neden olabilir.
One of the reasons for what we call the "Easterner mentality", how the backward East perceives the world’s realities, could be the obstruction of their reflections on the East’s geography, or it could be that they are presented as post-truth.	"Şarklılık" şeklinde nitelediğimiz geri kalmış Doğu'nun dünya gerçeklerini gecikerek algılamasının nedenlerinden biri, bu gerçeklerin Doğu'nun coğrafyalarına yansımasının belirli odaklar tarafından engellenmesi ya da gerçek ötesi şekilde duyurulması olabilir.
Don Quixote, the Oblomov Realities, and the perception of reality or just not perceiving it at all have comprised much of the world of literature’s subject matter.	Don Kişot ve Oblomov Gerçekleri ve değişimi gecikerek algılamak ya da hiç algılamamak edebiyat dünyasına da konu olmuştur.
Cervantes’ ‘Don Quixote’ is a deranged person who thought he is a chivalrous knight in times when the bourgeoisie have started to form.	Cervantes'in "Don Kişot"u, burjuvazinin oluşmaya başladığı dönmede, kendisini hâlâ bir şövalye sanan bir meczuptur.
Or Goncharov’s ‘Oblomov’ who is a lazy spender who thinks that everything will continue just it was while choosing not to see reality.	Ya da Gonçarov'un "Oblomov"u, gerçekleri görmezden geldiği zaman her şeyin eskisi gibi sürebileceğini sanan bir tembel mirasyedidir.
Taking China as an example, while China was open to the outside world and dominated the seas until the end of the 15th century, it then isolated itself when its conservative dynasty was dethroned.	Çin örneği Mesela Çin 15'inci yüzyılın sonuna kadar dünyaya açık ve denizlere egemen bir ülkeyken, tutucu bir hanedanın tahta geçmesi sonucu içine kapanmıştır.
They went to the extreme of executing the captains of any ships that went outside of Chinese territorial waters.	Çin kara sularının dışına çıkan teknelerin kaptanlarının idam edilmesine kadar dayanmıştır bu durum.
Having one foot, one eye and one ear in the West and the other foot, eye and ear in the East, we, as Turks, from the time of the Ottomans, have lived under continuous dilemmas when it comes to perceiving realities and change.	Bir ayağı, gözü ve kulağı Batı'da, diğer ayağı, gözü ve kulağı Doğu'da bulunan biz Türkler ise, Osmanlı'dan başlayarak gerçekleri ve değişimi algılamak konusunda sürekli ikilemler yaşadık.
Old and new, some of us have tried to transport yesterday into today, understanding today through concepts applicable to the old conditions while presenting tomorrow as if it was yesterday.	Eski ve yeni Bir bölümümüz dünü bugüne taşımayı, eski koşullara uyan kavramlarla bugünü anlamayı, dünü yarın sanmayı denedik.
Others, when it comes to perceiving domestic and worldwide realities and changes, act as quickly as the thought centers of the developed countries.	Bir bölümümüz ise, yurt ve dünya gerçeklerini de, değişimi de algılamak konusunda, gelişmiş ülkelerdeki düşünce odakları kadar hızlı davranabildik.
This has been the source of continuous conflicts and tensions.	Bu durum sürekli çatışmalara, gerginliklere kaynak oldu.
Madrasah and university, Janissary and the modern army, the encounters of belief with doubt were responsible for a dramatic-content dualism.	Medrese ile üniversite, yeniçeri ile modern ordu, inanç ile kuşku karşılaşmaları, dramatik içerikli bir düalizme sebep oldu.
Progressiveness and the old, It gets even worse as it was never accepted that a period’s new and progressive would age and, over time, be left behind.	İlericilik de eskir Daha da kötüsü, bir dönemde yeni ve ileri olan duruşların da, belirli süreler sonunda eskiyeceği ve geride kalacakları da kabul edilmedi.
Later, yesterday’s progressives would start to describe the new and progressive as ‘Dangerous’, and those who wanted to interpret domestic and global realities as appropriate for an updated reality as a ‘Traitor’.	Dünün ilericileri bir dönem sonra yeni ve ileri olanı "Tehlikeli", yurt ve dünya koşullarını güncel gerçeğe uyumlu biçimde yorumlamaya çalışanları ise "Hain" ilan etmeye başladılar.
The most important lesson is that, because of the delayed perception of domestic and international realities among the Ottomans who ruled the life of the intellect and the state, the empire fell apart, was ruined, and people became impoverished.	En önemli ders Osmanlı'da yurt ve dünya gerçeklerini gecikerek algılayanların düşünce ve devlet hayatına egemen olmaları sonunda imparatorluk dağıldı, çöktü ve halk yoksullaştı.
The most important lesson for the Republic of our Ottoman past was that an indispensable prerequisite for survival was a faster perceiving of the world’s conjectures and changes.	Osmanlı geçmişimizin Cumhuriyet'e aktardığı en önemli ders ise, dünya konjonktürünün ve değişimin hızlı algılanmasının, ayakta kalmak için kaçınılmaz bir ön şart olduğu gerçeğiydi.
Because this lesson was absorbed so well, following World War I we became a nation that could preserve its unity, integrity, stability during peacetime, an exemplary country of the region.	Bu ders çok iyi özümsendiği için, 1'inci Dünya Savaşı'ndan bugüne kadar birliğini, bütünlüğünü, istikrarını barış içinde korumayı başarabilen bu coğrafyanın örnek ülkesi olabildik.
A different approach Getting safe and sound through the global changes with which we are surrounded, we have to leave behind taboos and act based on reality.	Farklı bir yaklaşım İçine girilen global değişim sürecini sağ ve salim atlatabilmemiz için de, ezberleri geride bırakıp, gerçeklere uyumlu davranmamız gerekiyor.
In other words, it will do no good for anyone to carry on with those meaningless polarizations and vendettas of the past that caused our democracy to stumble.	Bir başka deyişle geçmişte demokrasimizin topallamasına sebep olan anlamsız kamplaşmaları ve kan davalarını bugüne taşımaktan kimseye hayır gelmeyecektir.
Besides, in today’s world, the smallest error will lead to large, dramatic crises.	Üstelik bugünün dünyasında en küçük hatalar çok büyük ve dramatik krizlere yol açmaktadır.
On this issue, the most problematic region is the one that we are in: the Middle East.	Bu konuda en problemli coğrafya ise bizim de içinde bulunduğumuz Ortadoğu'dur.
Historical artifact operation in Muş Province	Muş'ta tarihi eser operasyonu
In a statement made by the Governor’s Office, it was reported that the Provincial Gendarme Command teams had conducted an operation into historical artifact smuggling.	Valilikten yapılan açıklamada, İl Jandarma Komutanlığı ekipleri tarafından tarihi eser kaçakçılığıyla ilgili operasyon yapıldığı belirtildi.
In the statement it was said that "As a result of the work carried out, two gold coins, one silver coin, twenty bronze coins, one golden bracelet, two bronze rings, one shattered glass bracelet, four stone objects, eight necklaces, one pink-white colored stone object, one picture frame, twenty-three stone objects of various diameters/sizes/colors, four sharp metal objects, six Arabic books – assumed to be Holy Koran – from some old period in various sizes with worn covers and pages and with some torn pages, one earthenware cover, ten broken stone objects of some old period in various diameters and sizes, and one bronze copper vessel – along with two suspects – were captured."	Açıklamada, "Yapılan çalışmalar neticesinde, 2 şüpheli şahıs ile birlikte iki adet altın sikke, bir adet gümüş sikke, 20 adet bronz sikke, 1 adet altın bilezik, 2 adet bronz yüzük, 1 adet parçalanmış halde cam bilezik, 4 adet taş obje, 8 adet kolye, 1 adet pembe-beyaz renkli taş obje, 1 adet resim çerçevesi, 23 adet değişik çap ve ebatlarda ve değişik renklerde taş obje, 4 adet sivri metal obje, 6 adet eski döneme ait olduğu değerlendirilen kapak ve sayfaları yıpranmış ve bazı sayfaları yırtılmış Arapça yazılı Kuran-ı Kerim olduğu değerlendirilen değişik boy ve ebatlarda kitap, 1 adet çömlek kapağı, 10 adet eski döneme ait olduğu değerlendirilen kırılmış değişik çap ve ebatlarda taş obje ve 1 adet bronz bakır kap ele geçirilmiştir."
"Within the scope of fighting crime and criminals, we will resolutely continue our operations for the peace and security of our people" it said.	"Halkımızın huzur ve güvenliği için suç ve suçlularla mücadele kapsamındaki operasyonlarımıza kararlılıkla devam edilecektir" denildi.
Turkey wind	Türkiye rüzgârı
Trusting in Turkey’s future, large global companies competed "tooth and nail" in yesterday’s wind turbine tender.	Türkiye'nin geleceğine güvenen küresel devler, dün gerçekleşen rüzgâr santrali ihalesinde kıran kırana mücadele etti.
In the tender, run under a model developed by the Ministry of Energy and Natural Resources as they seek to reduce foreign dependency and to move towards domestic energy sources, a world record was broken.	Enerji ve Tabii Kaynaklar Bakanlığı'nın dışa bağımlılığı azaltarak milli enerjiye geçişi sağlamak için kurguladığı modelle yapılan ihalede dünya rekoru kırıldı.
Aiming to reduce Turkey’s energy costs, the tender also paved the way for an investment of one billion USD and around 4,000 jobs.	Türkiye'nin enerji maliyetlerini aşağı çekecek ihaleyle 1 milyar dolarlık yatırım ve 4 bine yakın istihdamın da yolu açıldı.
Starting in 2019, locally manufactured wind turbines will be integrated into the system.	2019 başına kadar yerli üretim rüzgâr türbinleri sisteme dahil edilecek.
Opened by the Ministry of Energy and Natural Resources, the tender for Renewable Resource Fields (YEKA) wind turbine licenses was participated in by eight consortia including major US, Chinese, German and Dutch companies.	Enerji ve Tabii Kaynaklar Bakanlığı tarafından açılan yenilenebilir kaynak alanları (YEKA) rüzgâr santrali lisans ihalesine aralarında ABD'li, Çinli, Alman ve Danimarkalı devlerin de olduğu 8 konsorsiyum katıldı.
Initial financial offers were presented to those identified as having bid among the five lowest offers.	İhalede, ilk olarak en düşük teklifi veren 5 teklif sahibini belirlemek amacıyla mali teklif zarfları açıldı.
After the first round of bidding, the lowest bid offer was 4.19 USD/Kilowatt-Hour.	İlk teklif zarflarının ardından en düşük teklif 4.19 dolar/kilovatsaat oldu.
