28-Year-Old Chef Found Dead at San Francisco Mall	28 gadus vecs pavārs atrasts miris Sanfrancisko lielveikalā
Also shot were three men: two 29-year-olds and one 32-year old.	Tika sašauti arī trīs vīrieši: divi 29 gadus veci vīrieši un viens 32 gadus vecs vīrietis.
One of the 29-year-old men was reported in critical condition; the other two victims were listed in stable condition, according to CBS Philadelphia.	Kanāls CBS Filadelfija ziņo, ka viens no 29 gadus vecajiem vīriešiem ir kritiskā stāvoklī, bet pārējo divu cietušo stāvoklis ir stabils.
The child was found shot in the front seat of a car along with the 29-year-old in critical condition, the station reports.	Kanāls vēsta, ka bērns tika atrasts mašīnas priekšējā sēdeklī blakus 29 gadus vecajam cietušajam kritiskā stāvoklī.
The other two victims were not in the car and police are investigating whether any of the wounded men could be a shooter.	Pārējie divi cietušie neatradās mašīnā un policija izmeklē, vai kāds no viņiem bijis uzbrucējs.
Investigators tells CBS Philadelphia it appears there was crossfire between multiple gunmen.	Izmeklētājs pavēstīja kanālam CBS Filadelfija, ka visticamāk apšaudē bijuši iesaistīti vairāki šāvēji.
Assault weapon-style shell casings, traced to different assault style weapons, littered the scene.	Notikuma vietā atrastas ieroča patronu čaulītes, kas pieder dažādiem ieročiem.
It appears that this was definitely an ongoing battle.	Izskatās, ka tā ir bijusi ilgstoša apšaude.
There were casings in the street, on both sides of the sidewalk.	Abās gājēju ietves pusēs atrastas čaulītes.
So it appears that there were multiple armed combatants out here and that they were actively engaged," Philadelphia police Captain Anthony Ginaldi told the station.	"Līdz ar to izskatās, ka šeit bijuši vairāki bruņoti šāvēji, kas aktīvi piedalījās apšaudē," stāsta Filadelfijas policijas kapteinis Antonijs Ginaldi.
Multiple houses and vehicles in the area were also struck.	Bojājumi nodarīti arī vairākām mājām un automašīnām.
No arrests have been made and police are reportedly reviewing surveillance video.	Neviens vēl nav aizturēts un tiek ziņots, ka policija pārbauda novērošanas kameru ierakstus.
Another 6-year-old, a girl, was hit in her arm by a stray bullet Tuesday while playing in front of her home in the West Oak Lane neighborhood.	Otrdien apšaudes laikā nomaldījusies lode trāpīja kādai 6 gadus vecai meitenītei rokā, kamēr viņa rotaļājās savas mājas priekšā Vestoukleinas rajonā.
She is recovering, and police are still searching for a suspect.	Viņa pamazām atlabst, bet policija vēl arvien meklē vainīgo.
Why we need Simone, Gabby and Laurie	Kādēļ mums ir vajadzīga Simona, Gabija un Laurija?
That's what I call this year's Women's Olympic Gymnastics Team and for more reasons than one.	Es to saucu par gada Sieviešu Olimpiskā Vieglatlētu Komandu vairāku iemeslu dēļ.
First, I have been to every Summer Olympics since 1984 and the USA has never been so dominant.	Pirmkārt, es esmu bijis uz visām vasaras Olimpiskajām spēlēm kopš 1984. gada, un ASV komanda nekad nav bijusi tik laba.
And second: This team features three gymnasts, Simone Biles, Gabby Douglas and Lauren "Laurie" Hernandez, who have been inspiring so many young girls of color.	Otrkārt, šajā komandā ir trīs vieglatlētes, Simona Bailsa, Gabija Duglasa un Laurija Hernandeza, kuras iedvesmo daudzas jaunas izcelsmes meitenes.
The make-up of this team, rounded out by Aly Raisman, who is Jewish, and Madison Kocian, who is Catholic, is making everyone proud.	Cilvēki var būt lepni, ka šīs komandas sastāvā ir arī Alija Raismane, kura ir ebrejiete un Medisona Kociana, kura ir katoliete.
This team looks, finally, like America.	Visbeidzot, šī komanda patiesi reprezentē Ameriku.
It also has solidified the black and Latina female presence at the top of this sport.	Tā ir arī nostiprinājusi melno un Latīņamerikas sportistu piedalīšanos šajā sportā.
For the past four years, the number one female gymnast has been African-American.	Pēdējos četrus gadus labākā vingrotāja ir afrikāņu izcelsmes amerikāniete.
Last year, Simone and Gabby were #1 and #2.	Pagājušajā gadā Simona un Gabija ieņēma 1. un 2. vietu.
This is powerful.	Tie ir iespaidīgi rezultāti.
Last Olympics, Gabby Douglas was a surprise Olympic champion, and America cheered.	Iepriekšējās Olimpiskajās spēlēs Gabija Duglasa pārsteidzošā kārtā kļuva par Olimpisko čempioni, un Amerika varēja līksmot.
Now the world has been able to witness the incredible performances of three-time World Champion Simone Biles, Douglas and Laurie Hernandez delivering the unexpected, yet masterful gymnastics routines.	Tagad pasaule ir redzējusi neticamus vingrojumus, ko izpildījušas trīskāršā pasaules čempione Simona Bailsa, Duglasa un Laurija Hernandeza, veicot nepieredzētus, bet meistarīgus vingrojumus.
On Thursday, Simone became the fourth straight American to win gold in the women's individual all-around event.	Ceturtdien Simona kļuva par ceturto amerikānieti pēc kārtas, kura ir ieguvusi zelta medaļu individuālajā daudzcīņā sievietēm.
And teammate Aly Raisman earned silver.	Viņas komandas biedrene Alija Raismane ieguva sudraba medaļu.
We are witnessing the top of the sport, but it does not look like this at gymnastics classes across the country.	Mēs esam redzējuši labāko, ko šis sports var dot, taču pārējā valstī situācija vingrošanas stundās ir pilnīgi cita.
Simone, Gabby and Laurie all took the same path as Aly and Madison to make the Olympic team.	Simona, Gabija un Laurija iekļuva olimpiskajā izlasē tāpat kā Alija un Medisona.
They are the "Final Five" because the next Olympic gymnastics team will only have four gymnasts on the team, and this is Marta Karolyi's last year coaching.	Viņas ir "Olimpiskais Piecinieks", jo nākamā Olimpiskā vingrošanas komandā būs tikai četri sportisti, un šis ir treneres Martas Karolas pēdējais gads treneres darbā.
But the reality is that gymnastics is an expensive sport, and gymnasts primarily train in private gymnastics clubs that are maintained by parents paying the cost of the training, facility, travel, uniforms, competition fees, hotel fees (for the coaches and their gymnasts and families) and the list goes on.	Patiesībā vingrošana ir dārgs sports. Vingrotāji galvenokārt trenējas privātos vieglatlētikas klubos, un viņus uztur vecāki, kas maksā par treniņiem, telpām, ceļojumiem, formastērpiem, viesnīcām (treneriem, sportistiem un viņu ģimenēm) un citiem izdevumiem.
Most of these gymnastics clubs are located in affluent suburban neighborhoods that can support the business.	Lielākā daļa šo vieglatlētikas klubu atrodas tādos pilsētu rajonos, kas var atļauties šo sportu.
These clubs are where the gymnasts get all of their training, and it's a costly and long-term commitment for the gymnasts' families.	Šajos klubos sportisti aizvada visus savus treniņus, un tas ir dārgs un ilgs ieguldījums vieglatlētu ģimenēm.
Aimee Boorman, coach of Simone Biles, and Maggie Haney, coach of Laurie Hernandez, have both coached their athletes since they started in gymnastics.	Eimija Būrmana - Simonas Bailsas trenere un Megija Hainija - Laurijas Hernandezas trenere ir trenējušas savas sportistes kopš abas meitenes sāka nodarboties ar vieglatlētiku.
We must bring more affordable and accessible gymnastics training to the communities of countless young girls who are inspired by Simone, Gabby and Laurie.	Mums ir jānodrošina jaunām meitenēm, kuras iedvesmo Simona, Gabija un Laurija, lētākas vingrošanas treniņu iespējas.
I founded my gymnastics foundation 20 years ago.	Es nodibināju savu vieglatlētikas organizāciju pirms 20 gadiem.
At my organizations, we have provided free and low-cost gymnastics, based in Harlem, for over 15,000 urban youth (primarily black and Hispanic) and have trained national and international champions.	Mana organizācijaatrodas Hārlemā, un mēs piedāvājam vairāk nekā 15 000 pilsētas jauniešiem (galvenokārt melnajiem un spāņu izcelsmes) vingrošanas treniņus bez maksas vai par zemu cenu. Mēs esam trenējuši arī nacionālos un starptautiskos čempionus.
In September, we will be expanding to Detroit (my hometown) to provide high quality gymnastics to the youth that deserve the opportunity to learn and benefit from this great Olympic sport.	Septembrī mēs atklāsim filiāli Detroitā (manā dzimtajā pilsētā), lai nodrošinātu vietējiem jauniešiem iespēju iepazīt šo lielisko sporta veidu.
Gymnastics develops strength, flexibility and coordination for the body and hard work, discipline and determination for the mind.	Vieglatlētika attīsta spēku, lokanumu un ķermeņa koordināciju, tāpat arī iemāca smagu darbu, disciplīnu un tiekšanos uz mērķi.
This combination provides life-long benefits for good health, success in school and work.	Šī kombinācija nodrošina ilgu dzīvi ar labu veselību un panākumiem gan skolā, gan darbā.
It is the inspiration of this team that will send thousands of young girls to take gymnastics and that is great.	Šī komanda iedvesmos tūkstošiem jaunas meitenes trenēties vieglatlētikā un tas ir fantastiski.
To participate in sport is so important, especially for girls.	Nodarboties ar šo sporta veidu ir ļoti svarīgi, it īpaši jaunām meitenēm.
This is such an exciting time.	Šis ir ļoti aizraujošs laiks.
Thank you Simone, Aly, Laurie, Gabby and Madison for that serious showcase of "Girl Power" in winning the Olympic team gold and for motivating so many young girls of all backgrounds to begin their path to be healthy, strong and successful young women.	Paldies Simona, Alija, Gabija un Medisona par lielisko "Meiteņu Spēka" demonstrāciju, iegūstot Olimpisko spēļu zelta medaļas un motivējot neskaitāmas jaunas, dažādas izcelsmes meitenes kļūt par veselīgām, stiprām un veiksmīgām jaunām sievietēm.
Junior doctors set to mount further strikes after rejecting Jeremy Hunt's proposal	Pēc Džeremija Hanta piedāvājuma noraidīšanas, jaunie ārsti plāno izvērst vairāk streikus.
Ministers had hoped to end the dispute over the changes by agreeing to a reformed contract with British Medical Association officials, but 58 per cent of the 37,000 junior doctors who took part in a ballot had rejected it.	Ministri cerēja izbeigt domstarpības, panākot vienošanos par izmaiņām līgumā ar Lielbritānijas Medicīnas Asociācijas pārstāvjiem. Taču to noraidīja 58 procenti no 37 000 jauno ārstu, kas piedalījās balsojumā.
In July, Mr Hunt revealed plans to impose the contract saying the NHS was in "no man's land" and any further delay would be damaging for staff and patients.	Jūlijā Hants paziņoja par plāniem noslēgt līgumu, norādot, ka NHS atrodas nestabilā stāvoklī un turpmāka kavēšanās tikai kaitēs darbiniekiem un pacientiem.
The first junior doctors are moved onto the new contract, which includes changes to overnight and weekend working practices to improve care at unsociable hours.	Pirmie jaunie ārsti jau ir parakstījuši jauno līgumu, kas paredz izmaiņas nosacījumos par darbu nakts maiņās un nedēļas nogalēs, lai uzlabotu darba apstākļus nestandarta darba stundās.
Dr Ellen McCourt, the BMA's junior doctors" committee chair, said in a statement last night: "Junior doctors still have serious concerns about the proposed contract, particularly that it will fuel the current workforce crisis, and that it fails to treat all doctors fairly."	Vakar vakarā BMA jauno ārstu pārstāve Dr. Elēna Makourta paziņoja, ka jaunajiem ārstiem vēl arvien ir nopietnas bažas par piedāvāto līgumu, it īpaši, ka tas padziļinās darbaspēka krīzi un tas neparedz visiem ārstiem vienlīdzīgus nosacījumus.
With just eight weeks before the first group of doctors are moved onto the new contract, progress needs to be made and time is running out.	Atlikušas astoņas nedēļas līdz brīdim, kad pirmā jauno ārstu grupa parakstīs jauno līgumu, tāpēc jāpanāk progress, jo laika nav palicis daudz.
Efforts by the BMA to resolve the dispute through talks have been met with an unwillingness to engage and, at times, deafening silence from the government.	BMA centieni atrisināt problēmu sarunu ceļā ir saskārušies ar valdības nevēlēšanos iesaistīties un dažkārt ar pilnīgu klusēšanu.
This is despite a promise from Jeremy Hunt just last month that his door is always open.	Tas noticis neskatoties uz faktu, ka vēl pagājušajā mēnesī Džeremijs Hants izteicās, ka viņa durvis vienmēr ir atvērtas.
"Jeremy Hunt needs to act now, lift the imposition and address junior doctors" concerns.	Džeremijam Hantam ir nekavējoties jārīkojas , jāpārtrauc bezdarbība un jāsadarbojas ar jaunajiem ārstiem.
If he does not then junior doctors are clear that they are prepared to take further industrial action.	Ja viņš to nedarīs, tad jaunie ārsti ir gatavi jaunām protesta akcijām.
The last strike at the end of April saw the postponement of nearly 13,000 routine operations and 100,000 appointments as nurses and consultants were drafted in to provide cover for doctors on the picket line.	Pēdējā streika laikā aprīļa beigās tika atliktas vairāk nekā 13 000 rutīnas operācijas un 100 000 apmeklējumu, kamēr māsiņas un konsultanti mēģināja aizstāt ārstus, kas bija devušies piketā.
Ministers had hoped to end the dispute over the changes by agreeing to a reformed contract with British Medical Association officials.	Ministri cerēja izbeigt domstarpības, panākot vienošanos par izmaiņām līgumā ar Lielbritānijas Medicīnas Asociācijas pārstāvjiem.
The BMA wants better weekend pay for the 54,000 junior doctors who would be subject of the contract.	BMA vēlas paaugstināt likmi par darbu nedēļas nogalēs 54 000 jaunajiem ārstiem, uz kuriem attiektos jaunie līgumi.
Daniel Mortimer, chief executive of NHS Employers, called on junior doctors not to go ahead with any strikes.	NHS nodarbinātības izpilddirektors Daniels Mortimers aicināja jaunos ārstus nedoties streikos.
Mr Mortimer said: "Industrial action achieves little or nothing, but places pressure on already stretched teams and services and causes worry, distress and disruption for patients, carers and their families."	Mortimera kungs skaidro, ka streiki neko neatrisina, bet tikai paaugstina spiedienu uz noslogotajiem darbiniekiem un uztrauc, rada stresu un kavēkļus pacientiem, aprūpētājiem un viņu ģimenēm.
Over the last two months we have been talking with the Junior Doctors Committee and have, along with the Department of Health and others, responded positively to their concerns regarding the Guardian Role and Whistleblowing.	Pēdējos divus mēnešus esam runājuši ar jauno ārstu komiteju un kopā ar Veselības ministriju un citam institūcijām esam atbildējuši pozitīvi uz viņu jautājumiem par aizgādniekiem un ziņotājiem.
Employers were hopeful that the continued positive engagement on other important topics - such as deployment, flexibility in training, additional training for those returning from career breaks, costs of training, mutual recognition of syllabus, study leave and the gender pay gap in medicine - were a sign of how serious employers, Health Education England and the Department of Health were about honouring the agreements reached with the BMA in November, February and May.	Darba devēji cer, ka aktīva sadarbība citos svarīgos jautājumos, piemēram, darbinieku izvietošana, elastīgas apmācības, papildus apmācību tiem, kas atgriežas pēc karjeras pārtraukuma, apmācību izmaksas, apmācību programmu savstarpēja atzīšana, studiju pamešanu un dzimuma apmaksas nevienlīdzību medicīnā - liecina, ka darba devēji, Anglija veselības izglītības iestādes un Veselības ministrija nopietni vēlas realizēt vienošanās, kas noslēgtas ar BME novembrī, februārī un maijā.
The £2-a-day drug that can cut heart attack threat	Zāles par 2 mārciņām dienā var samazināt sirdstriekas risku.
Thousands of heart attack patients are to benefit from a £2-a-day drug, after officials recommended it be given to more people for longer.	Tūkstošiem pacientu, kam bijusi sirdstrieka, varētu ārstēties ar zālēm par 2 mārciņām dienā, jo oficiālie pārstāvji rekomendē tās lietot vairāk cilvēkiem un ilgāku laika posmu.
Anti-clotting drug ticagrelor slashes the risk of repeat attacks for people with heart disease.	Pretrecēšanas zāles Ticagrelor samazina atkārtotu sirdstrieku risku cilvēkiem ar sirdsslimībām.
The drug is already given for 12 months after a heart attack, reducing the risk of a stroke or another attack.	Šīs zāles jau tiek izrakstītas lietošanai 12 mēnešus pēc sirdstriekas, samazinot atkārtotas sirdstriekas risku.
NHS watchdog NICE has advised that it should be given to people for four years, to further reduce the risk of cardiovascular problems.	NHS pārstāvētā NICE rekomendē lietot šo preparātu 4 gadus pēc sirdstriekas, lai vēl vairāk samazinātu sirdstriekas risku cilvēkiem ar sirds un asinsvadu problēmām.
But now NHS watchdog NICE has advised that it should be given to people for four years, to further reduce the risk of cardiovascular problems.	Taču šobrīd NHS pārziņā esošā NICE rekomendē lietot šo preparātu 4 gadus pēc sirdstriekas, lai vēl vairāk samazinātu sirds un asinsvadu risku.
Some 140,000 people have a heart attack in England every year, and a quarter of these go on to have another attack or a stroke.	Katru gadu apmēram 140 000 cilvēku Anglijā piedzīvo sirdstrieku un no tiem ceturtā daļa piedzīvo atkārtotu sirdstrieku vai insultu.
Heart attacks and strokes are caused by the build-up of fatty material in artery walls to form a plaque.	Sirdstrieku un insultu izraisa taukvielu uzkrāšanās sirds sieniņās, veidojot aizsprostojumus.
If the plaque breaks apart it can cause a blood clot, blocking blood to the heart causing a heart attack.	Ja aizsprostojums plīst, tas var radīt trombu, bloķējot asinis plūsmu uz sirdi un izraisot sirdstrieku.
And if the clot dislodges it can travel in the blood stream and block blood flow to the brain, causing a stroke.	Savukārt, ja trombs atdalās no asinsvadu sieniņas, tas var nokļūt tālāk asinsritē un nobloķēt asins piekļuvi smadzenēm, izraisot infarktu.
People who have already have one attack are at a higher risk of having another.	Cilvēki, kuriem ir bijusi sirdstrieka, ir pakļauti lielākam atkārtotas sirdstriekas riskam.
Ticagrelor, which is made by UK firm AstraZeneca and sold under the trade name Brilique, reduces this risk by making clots less likely.	Ticagrelor, ko ražo Lielbritānijas firma AstraZeneca un kuras tirgo ar nosaukumu Brilique, samazina trombu veidošanās risku.
The draft NICE guidance, published today, recommends that people be given 90 mg of ticagrelor for 12 months, followed by 60mg along with aspirin twice a day for another three years.	Jaunās NICE vadlīnijas, kas tika publicētas šodien, rekomendē cilvēkiem lietot 90 mg Ticagrelor 12 mēnešus un vēl 3 gadus pa 60 mg divreiz dienā kopā ar aspirīnu.
Professor Carole Longson, director at the NICE health technology evaluation centre, said: "Despite the availability of effective secondary prevention treatments, as many as a quarter of people who have had a heart attack go on to have another heart attack or stroke - often with devastating consequences."	NICE veselības tehnoloģiju direktore profesore Kerola Longsona skaidro: "Neskatoties uz to, ka ir pieejami medikamenti atkārtotas sirdstriekas novēršanai, vairāk nekā ceturtdaļa cilvēku, kam ir bijusi sirdstrieka, piedzīvo vēl vienu sirdstrieku vai insultu, kam bieži ir smagas sekas."
Fear of a recurrence can have a significant negative impact on a person's quality of life.	Bailes no atkārtotas sirdstriekas var atstāt negatīvu iespaidu uz cilvēka dzīves kvalitāti.
The evidence shows that ticagrelor, in combination with aspirin, is effective at reducing the risk of further heart attacks and strokes in people who have already had a heart attack.	Pierādījumi liecina, ka Ticagrelor apvienojumā ar aspirīnu efektīvi samazina atkārtotas sirdstriekas un infarkta risku cilvēkiem, kas reiz jau to piedzīvojuši.
In provisionally recommending ticagrelor we are pleased to be able to increase the treatment options available to the many thousands of people who stand to benefit from it.	Provizoriski iesakot ārstēšanu ar Ticagrelor, esam priecīgi, ka varam paplašināt ārstēšanas iespējas tūkstošiem cilvēku, kas tādējādi ir ieguvēji.
Because information on the efficacy and safety of ticagrelor - particularly the risk of bleeding - beyond three years is limited, the draft guidance does not recommend treatment with it beyond that period.	Ņemot vērā ierobežoto informāciju par Ticagrelor efektivitāti un drošību, it īpaši asiņošanas risku, lietojot šo medikamentu ilgāk par trīs gadiem, vadlīniju projekts nerekomendē to lietot ilgāk par šo termiņu.
PC culture let vote fraud in Muslim areas flourish	Politkorektuma kultūra veicina krāpšanu vēlēšanu laikā musulmaņu kopienās
Ex-Tower Hamlets mayor Lutfur Rahman was removed from office last year for corruption, prompting the government report	Saskaņā ar vadības ziņojumu bijušais Tauerhamletas pilsētas mērs Lutfurs Rahmans tika atlaists no amata saistībā ar korupciju.
A culture of political correctness has led to a blind eye being turned to widespread voting fraud in Muslim communities, a devastating government report reveals today.	Valdības ziņojums atklāj, ka politkorektuma kultūras rezultātā tiek pievērtas acis uz plaša mēroga krāpšanos musulmaņu kopienās.
Ex-Cabinet minister Sir Eric Pickles lambasts the police, election watchdogs and town halls for ignoring evidence of electoral abuse because of "over-sensitivities about ethnicity and religion."	Bijušais valdības ministrs Sers Ēriks Pikls kritizē policiju, vēlēšanu uzraugus un pilsētu padomes, ka tie ignorē krāpšanās pazīmes vēlēšanu procesā, jo "baidās aizskart etniskās un reliģiskās intereses."
The former communities secretary, now the anti-corruption tsar, said the intimidation of voters on religious grounds was so bad that police should be allowed to put cordons outside polling stations to protect frightened voters.	Bijušais kopienu sekretārs, kurš tagad ir kļuvis par pretkorupcijas organizācijas vadītāju, saka, ka vēlētāju iebiedēšana reliģisku iemeslu dēļ ir tik izplatīta, ka policijai vajadzētu atļaut izvietot sargus pie vēlēšanu stacijām, lai aizsargātu iebiedētus vēlētājus.
He recommends that voters should have to take ID to prove who they are when they vote.	Viņš arī iesaka, ka vēlētājiem būtu jāuzrāda personu apliecinošs dokuments, kad tie balso, lai pierādītu viņu patieso identitāti.
Currently, a voter merely has to state their name and address.	Šobrīd balsotājiem ir jānorāda tikai vārds un adrese.
The report even suggests putting indelible ink on a person's fingers as they cast their ballot to prevent anyone being able to vote twice.	Viņš pat iesaka iezīmēt nobalsojušo vēlētāju pirkstus ar īpašu tinti, lai novērstu dubultu balsošanu.
Greater protection should be given to whistleblowers, Sir Eric says.	Ziņotājiem arī jānodrošina lielāka aizsardzība, saka Sers Ēriks.
He calls for the Press to be given greater access to council papers and decisions taken by unofficial committees or working groups.	Viņš uzskata, ka presei jānodrošina lielāka piekļuve padomes dokumentiem un lēmumiem, ko pieņēmušas neoficiālas komitejas un darba grupas.
"This is not solely to protect against electoral fraud, but to protect local government from the broader culture of corruption and financial fraud that goes hand in hand with it," he said.	Viņš saka: "Mērķis ir ne tikai novērst krāpšanu vēlēšanās, bet arī pasargāt vietējo pašvaldību no plašākas korupcijas un krāpniecības kultūras, kas iet roku rokā ar to."
The report was ordered by Downing Street in the wake of the Tower Hamlets voting scandal in East London.	Ziņojumu pasūtīja Dauningstrīta pēc skandāla saistībā ar Tauerhamletas pilsētas vēlēšanām.
Last year a special election court ruled the sitting mayor, Lutfur Rahman, should be removed from office following a litany of corrupt and illegal practices.	Pagājušajā gadā speciālā vēlēšanu tiesa nolēma atcelt pilsētas mēru Lutfuru Rahmanu no pilsētas mēra amata korumpētu un nelikumīgu darbību dēļ.
The court found Rahman "cynically perverted" the religious feeling of his Muslim community and silenced his critics with accusations of racism and Islamophobia.	Tiesa konstatēja, ka Rahmans "ciniski sagrozīja" savas musulmaņu kopienas reliģisko skatījumu un apklusināja savus kritiķus, tos apsūdzot rasismā un islamofobijā.
Rahman, it was said, "ran his campaign on the basis that it was the religious duty of faithful Muslims to vote for him."	"Rahmans vadījis savu vēlēšanu kampaņu ar nostādni, ka ticīgo musulmaņu reliģiskais pienākums ir balsot par viņu."
Up to 300 votes were dubious or the result of personation, where a person votes while posing as someone else.	Aptuveni 300 balsis bija viltotas vai apšaubāmas, jo viens cilvēks bija balsojis vairākkārt.
Sir Eric said there was evidence of fraud across the country.	Tāpat Sers Eriks norāda, ka visā valstī vērojamas krāpšanas pazīmes.
He voiced particular alarm about postal voting fraud - in which senior members of the Muslim community were said to have exerted pressure on people to vote for a candidate of their choosing.	Viņš norādīja, ka īpaši satraucoša ir krāpšana balsošanā pa pastu, kur musulmaņu kopienu vecākie biedri piespieduši citus balsot par sev vēlamajiem kandidātiem.
Sir Eric, pictured, made several recommendations to clean up the voting system including bringing your ID to prove who you are	Sers Ēriks ieteica virkni pasākumu, kā uzlabot vēlēšanu sistēmu, tai skaitā personu apliecinoša dokumenta uzrādīšanu, lai noskaidrotu personas identitāti.
His report says: "Evidence was presented of pressure being put on vulnerable members of some ethnic minority communities, particularly women and young people, to vote according to the will of the elders, especially in communities of Pakistani and Bangladeshi background.	Viņa ziņojums vēsta: "Pierādījumi liecina, ka neaizsargātie etnisko minoritāšu kopienu biedri, īpaši sievietes un jaunieši, tiek piespiesti balsot par kopienu vecāko izvēlētiem kandidātiem, jo īpaši Bangladešas un Pakistānas kopienās."
"There were concerns that... state institutions had turned a blind eye to such behaviour because of "politically correct" over-sensitivities about ethnicity and religion."	"Pastāv bažas, ka apgabalu institūcijas nepievērš uzmanību šīm problēmām politkorektuma dēļ, jo varētu aizskart etniskās un reliģiskās intereses."
Sir Eric made 50 recommendations to clean up the system, including banning political activists from handling postal ballot papers to stop "vote harvesting."	Sers Ēriks izklāstīja 50 rekomendācijas, kā uzlabot vēlēšanu sistēmu, kas ietver arī aizliegumu politiskajiem aktīvistiem darboties ar balsīm, kas nodotas pa pastu, lai novērstu "balsu vākšanu".
The report, being considered by Theresa May, also calls for tougher checks on registration to prevent the electoral register being used for immigration and benefit fraud.	Ziņojumā, ko izskata Terēza Meja, arī aicināts veikt rūpīgāku reģistrācijas pārbaudi, lai novērstu vēlētāju sarakstu izmantošanu krāpšanai imigrācijas un pabalstu jomā.
Consider the options for requiring voters to produce ID before voting.	Apsvērt iespēju pirms balsošanas pieprasīt vēlētājiem uzrādīt personu apliecinošu dokumentu.
Use indelible ink on a person's fingers once they cast their ballot to prevent anyone voting twice.	Iezīmēt nobalsojušo vēlētāju pirkstus ar īpašu tinti, lai novērstu dubultu balsošanu.
Carry out systematic checks on a person's nationality to ensure they are eligible to vote.	Sistemātiski pārbaudīt personu valstpiederību, lai pārliecinātos, ka persona ir tiesības balsot.
Put a three-year limit on requests for an automatic postal vote.	Noteikt trīs gadu ierobežojumu pieprasījumiem par automātisku balsošanu pa pastu.
Ban political campaigners and activists from handling completed postal votes and postal vote envelopes.	Aizliegt politiskajiem kampaņas dalībniekiem un aktīvistiem darbu ar balsīm, kas nodotas pa pastu un vēlēšanu aploksnēm balsošanai pa pastu.
Give police powers to set up cordons around polling stations.	Nodrošināt policijai pilnvaras norīkot apsardzi pie vēlēšanu iecirkņiem.
Change the law to make it easier to charge people with intimidation under the Representation of the People Act 1983.	Veikt izmaiņas likumā, lai atvieglotu personu saukšanu pie atbildības par iebiedēšanu saskaņā ar 1983. gada Cilvēktiesību Aktu.
Make it illegal to take pictures in polling stations.	Aizliegt fotografēt vēlēšanu iecirkņos.
Make it a requirement that only English is to be used in polling stations (except in Wales).	Noteikt prasību vēlēšanu iecirkņos lietot tikai angļu valodu (izņemot Velsā).
Strengthen training to ensure staff enforce the rule that voters go to the booth alone.	Pastiprināt apmācību, lai iecirkņu darbinieki nodrošinātu, ka vēlētāji dodas pie vēlēšanu urnām pa vienam.
Sir Eric savages the Metropolitan Police, saying it is "astonishing" that no criminal charges were brought after the Tower Hamlets case.	Sers Ēriks asi kritizē Metropoles policiju, paužot neizpratni, ka Tauerhamletas lietā nav izvirzītas apsūdzības .
"The election court disqualified Lutfur Rahman and his agent for a litany of corrupt and illegal practices," he said.	Viņš stāsta: "Vēlēšanu tiesa tikai diskvalificēja Lufturu Rahmanu un viņa pārstāvi par darbībām, kas saistītas ar korupciju un krāpšanos."
He was found guilty beyond reasonable doubt - to a criminal standard of proof - on a series of grounds.	Viņš pārliecinoši tika atzīts par vainīgu pēc krimināltiesību pierādījumu standarta, balstoties uz neapgāžamiem pierādījumiem.
He also criticises the ineffectual "tick-box inspections" of town hall electoral registration departments.	Tāpat viņš kritizē neefektīvo pilsētas domes vēlētāju "ķeksīšu pārbaudi" vēlētāju reģistrācijas iecirkņos.
Sir Eric said: "Last year's court ruling in Tower Hamlets was a wake-up call.	Sers Ēriks norāda: "Pagājušā gadā pieņemtais tiesas lēmums ir trauksmes zvans.
Our nation has a proud heritage as the mother of parliaments, yet the worrying and covert spread of electoral fraud and state of denial by some bodies threatens that good reputation.	Mūsu zeme ir pazīstama kā parlamenta dzimtene, taču satraucošā un slēptā vēlēšanu krāpniecības izplatīšanās un iestāžu izlikšanās, ka krāpšana nenotiek apdraud šo labo reputāciju.
Crazy for Kate's cyclist lookalike and other celeb doppelgangers of Rio Olympians	Aizrautība ar riteņbraucēju - Keitas līdzinieci un citi Rio olimpiskie slavenību līdzinieki
Fans of the Rio 2016 Olympics this week have gone wild for French cyclist Pauline Ferrand-Prevot, who has proven an impressive lookalike for the Duchess of Cambridge.	2016. gada Rio Olimpisko spēļu fani sajūsminās par franču riteņbraucēju Paulīnu Ferrandu Prevotu, ko fani atzinuši par ārkārtīgi līdzīgu Kembridžas hercogienei.
But the 24-year-old Olympian is far from the only athlete out fighting for gold this summer that boasts their own celebrity doppelganger - at least not according to social media.	Taču 24 gadus vecā riteņbraucēja nav vienīgā sportiste, kura šajā vasarā cīnās par zeltu, kura, kā raksta mediji, lepojas ar savu slavenību līdzinieku.
So, in honor of the Rio Games and all the famous faces crossing our screens at the moment, FEMAIL have compiled a list of Olympians who bear more than a passing resemblance with Hollywood celebs.	Tādēļ par godu Rio Olimpiskajām spēlēm un visām slavenajām sejām, kas šobrīd redzamas mūsu ekrānos, FEMAIL ir izveidojis Olimpisko spēļu dalībnieku sarakstu, kas ir visnotaļ līdzīgi Holivudas zvaigznēm.
The hunter and the wolf: U.S. Men's Archery Team member Brady Ellison, left, has been compared to Leonardo DiCaprio since he was a kid	Mednieks un vilks: ASV loka šāvēju komandas biedrs Breidijs Elisons, pa kreisi, jau kopš bērnības tiek salīdzināts ar Leonardo Di Kaprio
