Munich 1856: Four maps that will change your view of the city	München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern
And was it like that?	Und war es so?
Menge: I gathered great insights.	Menge: Ich habe tolle Eindrücke gesammelt.
I will start my studies in social affairs in the winter semester.	Ich werde im Wintersemester mein Studium im Sozialwesen starten.
I will study in dual, probably do an apprenticeship as a welfare worker at the Herne child protective services and study in Hamm at the university of applied sciences.	Ich werde dual studieren, mache wahrscheinlich im Jugendamt Herne eine Sozialarbeiterausbildung und studiere in Hamm an der Fachhochschule.
Is it not somewhat unusual to have several different work locations during the voluntary service?	Ist es nicht etwas ungewöhnlich, während des Freiwilligendienstes mehrere verschiedene Einsatzorte zu haben?
Menge: Yes, it is very variable.	Menge: Ja, es ist sehr variabel.
It always depends on where one is doing their voluntary service year.	Es kommt wohl immer darauf an, wo man sein FSJ macht.
One can do it from at the old people's home right up to in youth work – in all possible facets of social work.	Man kann es vom Altersheim bis hin zur Jugendarbeit machen - in allen möglichen Facetten der sozialen Arbeit.
In my case, it was very varied.	Bei mir war es sehr abwechslungsreich.
I was also sometimes at the open full-day schools, that is, for the afternoon care.	Ich war auch teilweise in der OGS, also in der Nachmittagsbetreuung.
For me that was exactly the right thing, the thing that got me fired up.	Für mich war das genau das Richtige, was mich gereizt hat.
I was able to recognise and see my own strengths, as it was really happening.	Ich konnte meine eigenen Stärken erkennen und sehen, wie es wirklich abläuft.
Differently from when doing the civil engineering studies?	Anders als im Bauingenieurstudium?
Menge: Yeah, sure; here it's not about working out statistics.	Menge: Na klar, hier geht es nicht darum, Statiken auszurechnen.
One always has other people at the front of their minds, people who all have totally different histories behind them.	Man hat immer wieder andere Menschen vorm Kopf, die jeweils eine ganz andere Geschichte hinter sich haben.
Whether it's a refugee or an adolescent who has been pulled out of their family – you always have to approach it individually.	Ob ein Flüchtling, ob ein Jugendlicher, der aus der Familie rausgeholt worden ist - man muss immer individuell darauf eingehen.
Very interesting.	Sehr interessant.
And they didn't have any fear of contact?	Und Sie hatten keine Berührungsängste?
Menge: I'm not the kind of guy for that.	Menge: Dafür bin ich nicht der Typ.
It is an area that gives one a lot.	Es ist ein Bereich, der einem viel gibt.
A lot of love, a lot of friendliness.	Viel Liebe, viel Freundlichkeit.
There are negative moments too sometimes, but that's just life.	Es gibt auch mal negative Momente, aber so ist dass Leben eben.
Pearson cuts another 3,000 jobs, slashes dividend to revive business	Pearson kürzt weitere 3.000 Arbeitsplätze und kürzt die Dividende, um das Geschäft wiederzubeleben
British education group Pearson said on Friday it would cut another 3,000 jobs and slash its interim dividend by 72 per cent as it started another restructuring programme to tackle the pressures facing its business.	Die britische Bildungsgruppe Pearson sagte am Freitag, sie werde weitere 3.000 Arbeitsplätze abbauen und ihre Zwischendividende um 72 Prozent kürzen, da ein weiteres Restrukturierungsprogramm gestartet werde, um den Druck zu überwinden, mit dem das Unternehmen konfrontiert sei.
The job cuts, which Chief Executive John Fallon said will mostly come late in 2018 and in early 2019, are in addition to 4,000 roles lost in its previous restructuring.	Der Stellenabbau, den Generaldirektor John Fallon überwiegend für Ende 2018 und Anfang 2019 ankündigte, kommt zusätzlich zu seiner vorherigen Umstrukturierung, bei der bereits 4.000 Stellen verloren gingen.
Pearson announced a plan to cut costs by another 300 million pounds ($394-million U.S.) in May in a third cost-cutting programme to try to revive a business hit by the rapid move to digital learning.	Pearson kündigte im Mai in einem dritten Kostensenkungsprogramm einen Plan zur Kostensenkung um weitere 300 Millionen Pfund (394 Millionen US-Dollar) an, um ein Geschäft wieder zu beleben, das durch den schnellen Schritt zum digitalen Lernen getroffen wurde.
The company, which agreed to sell its stake in Penguin Random House to partner Bertelsmann last month, said its outlook for the year was unchanged after it reported a 1 per cent rise in underlying sales in the first half to 2.05 billion pounds.	Das Unternehmen, das im vergangenen Monat seine Beteiligung an Penguin Random House an den Partner Bertelsmann veräußert hatte, sagte, dass der Ausblick für das Geschäftsjahr unverändert sei, nachdem es im ersten Halbjahr einen Zuwachs von 1 Prozent auf 2,05 Milliarden Pfund erzielt habe.
Kabul convoy attack: Nato soldier killed in suicide blast	Konvoi-Angriff von Kabul: Nato-Soldat bei Selbstmordanschlag getötet
A suicide bomber has attacked a military convoy in the Afghan capital, Kabul, killing a Nato soldier and wounding several others, officials say.	Ein Selbstmordattentäter hat einen Militärkonvoi in der afghanischen Hauptstadt Kabul angegriffen, einen Soldaten der Nato getötet und mehrere andere verletzt, sagen Beamte.
Five soldiers and an interpreter were injured, a Nato statement said.	Fünf Soldaten und ein Dolmetscher seien verletzt worden, teilte eine Erklärung der Nato mit.
Unconfirmed local reports say three civilians also died in the incident in the city's Qarabagh district.	Unbestätigten lokalen Berichten zufolge starben bei dem Vorfall im Stadtteil Qarabagh auch drei Zivilisten.
The bombing is the latest violence to have hit Afghanistan this month - on Tuesday more than 30 people were killed in a mosque blast in Herat.	Die Bombardierung ist die letzte Gewalttat, die Afghanistan diesen Monat getroffen hat - am Dienstag wurden mehr als 30 Menschen in einer Moschee in Herat getötet.
On Monday a suicide bomber killed two people near the Iraqi embassy in Kabul.	Am Montag tötete ein Selbstmordattentäter zwei Menschen in der Nähe der irakischen Botschaft in Kabul.
A Nato statement said that Thursday evening's blast happened when a joint patrol with the Afghan army was attacked by a "personnel-borne improvised explosive device."	In einer Stellungnahme der Nato heißt es, die Explosion am Donnerstagabend sei geschehen, als eine gemeinsame Patrouille mit der afghanischen Armee von einem "von Personen getragenen improvisierten Sprengsatz" angegriffen wurde".
The statement said that all those injured are in a stable condition and are being treated at the US military hospital at Bagram airfield.	Die Aussage besagt, dass sich alle Verletzten in einem stabilen Zustand befinden und im US-Militärkrankenhaus auf dem Flugplatz Bagram behandelt werden.
Correspondents say the growing strength of the Taliban and the group known as so-called Islamic State (IS) in Qarabagh is a major source of concern to Nato forces based in nearby Bagram.	Korrespondenten sagen, dass die wachsende Stärke der Taliban und der Gruppe, die als sogenannter Islamischer Staat (IS) in Qarabagh bekannt ist, eine große Sorge für die NATO-Truppen im nahe gelegenen Bagram ist.
According to the United Nations, Afghanistan saw at least 1,662 civilian deaths in the first half of 2017, with about 20% of those in the capital.	Nach Angaben der Vereinten Nationen gab es in Afghanistan im ersten Halbjahr 2017 mindestens 1.662 zivile Todesopfer, davon etwa 20 % in der Hauptstadt.
At the end of July, a suicide car bomb killed at least 30 people in a mainly Shia district of Kabul.	Ende Juli tötete eine Selbstmord-Autobombe mindestens 30 Menschen in einem hauptsächlich schiitischen Distrikt von Kabul.
The Taliban said they had carried out that attack.	Die Taliban sagten, sie hätten diesen Angriff ausgeführt.
On 31 May, a huge bombing in the centre of the city killed more than 150 people, the deadliest militant attack in the country since US-led forces ousted the Taliban from power in 2001.	Am 31. Mai tötete eine gewaltige Bombardierung im Zentrum der Stadt mehr als 150 Menschen mit dem tödlichsten militanten Angriff des Landes, seit die US-geführten Truppen 2001 die Taliban von der Macht verdrängten.
The violence underlines the precarious security situation in Afghanistan as US President Donald Trump weighs up whether to increase the number of US troops aiding the military and police in the country.	Die Gewalt unterstreicht die prekäre Sicherheitslage in Afghanistan, da US-Präsident Donald Trump abwägt, die Zahl der US-Truppen, die Militär und Polizei im Land unterstützen, zu erhöhen.
Correspondents say the suicide bombings in Kabul in recent weeks have also created a crisis of public confidence in the government, its policies and in particular the reputation of President Ashraf Ghani.	Korrespondenten sagen, dass die Selbstmordattentate in Kabul in den letzten Wochen auch eine Krise des öffentlichen Vertrauens in die Regierung, ihre Politik und insbesondere in den Ruf von Präsident Ashraf Ghani verursacht haben.
EPA reverses decision to delay smog rule after lawsuits	EPA kehrt Entscheidung zur Verzögerung der Smog-Regel nach Klagen um
The U.S. Environmental Protection Agency reversed a decision to delay an Obama-era rule requiring states to curb smog-causing emissions, one day after 15 states sued the agency over the move.	Die US-amerikanische Umweltschutzbehörde hat eine Entscheidung, eine Regulierung der Regierung von Obama zu verzögern, aufgehoben, wonach die Staaten verpflichtet sind, die Smog-verursachenden Emissionen einzudämmen. Dies erfolgte ein Tag, nachdem 15 Staaten die Agentur wegen des Schrittes verklagten.
The EPA announced the decision to go ahead with the so-called "2015 Ozone Designations" late on Wednesday, saying it showed the agency's commitment to working with states.	Die EPA kündigte spät am Mittwoch die Entscheidung an, die so genannten "Ozonbestimmungen 2015" voranzutreiben, und sagte, sie zeige die Verpflichtung der Agentur, mit Staaten zusammenzuarbeiten.
"We believe in dialogue with, and being responsive to, our state partners," EPA Chief Scott Pruitt said in a statement.	"Wir glauben an den Dialog mit und daran, dass wir auf unsere staatlichen Partner reagieren", sagte EPA-Chef Scott Pruitt in einer Erklärung.
Pruitt in June had announced the EPA's intention to delay the ozone designations - in which existing smog pollution is measured in parts of the country to determine where cuts must be made to meet tougher air quality standard - by one year to October 2018.	Pruitt hatte im Juni die Absicht der EPA angekündigt, die Ozonbestimmungen - in denen in einem Teil des Landes Schadstoff-Emissionen gemessen werden sollen, um festzulegen, wo Einschnitte gemacht werden müssen, um strengere Luftqualitäts-Standards einzuhalten - um ein Jahr bis zum Oktober 2018 zu verzögern.
A group of 15 mostly Democratic states, along with the District of Columbia, filed a suit on Tuesday saying the effort was illegal.	Eine Gruppe von 15 größtenteils demokratischen Staaten, zusammen mit dem Bezirk von Kolumbien, reichte am Dienstag Klage ein und sagte, dass die Bemühung illegal sei.
The administration of President Donald Trump has been seeking to roll back a wide array of environmental regulations imposed by former President Barack Obama, as part of a broader agenda Trump says is aimed at sparking economic growth.	Die Regierung von Präsident Donald Trump hat versucht, eine breite Palette von Umweltauflagen, die der ehemalige Präsident Barack Obama auferlegt hat, als Teil einer breiteren Agenda, die laut Trump das Wirtschaftswachstum ankurbeln soll, zurückzufahren.
But the efforts have triggered pushback by Democratics and conservation groups who are concerned about the impact of greater emissions on public health.	Die Bemühungen haben jedoch den Rückschlag der Demokraten und Naturschutzgruppen ausgelöst, die sich Sorgen über die Auswirkungen größerer Emissionen auf die öffentliche Gesundheit machen.
The EPA's website says breathing air containing ozone "can reduce lung function and increase respiratory symptoms" like asthma.	Die Webseite der EPA sagt, dass das Einatmen von Luft, die Ozon enthält "die Lungenfunktion reduzieren und die Atmungssymptome verstärken kann" wie zum Beispiel Asthma.
Municipal council wants common room	Gemeinderat will Gemeinschaftsraum
In the end, the decision was clear: with two dissenting votes, the municipal council of Fluorn-Winzeln passed a resolution for a common room in the future retirement home.	Am Ende war die Entscheidung deutlich: Bei zwei Gegenstimmen beschließt der Gemeinderat von Fluorn-Winzeln die Einrichtung eines Gemeinschaftsraums in der künftigen Seniorenwohnanlage.
Ahead of the debate, there is an important piece of information to be had: the purchase contract for the as yet still needed plot section has been signed, reports mayor Bernhard Tjaden.	Vor der Diskussion gibt es eine wichtige Information: Der Kaufvertrag für den noch fehlenden Grundstücksteil sei unterschrieben, berichtet Bürgermeister Bernhard Tjaden.
Admittedly it will still be a while until the plot, which up until now has belonged to the church parish, comes into the possession of the municipality, but nevertheless, there are now no longer any planning obstacles for the project that has to be materialised by a private investor.	Zwar werde es noch dauern, bis die bislang der Kirchengemeinde gehörende Fläche im Gemeindebesitz ist, doch gibt es jetzt kein Planungshindernis für das von einem privaten Investor zu stemmende Projekt mehr.
That is why there is a debate concerning a common room.	Dafür gibt es eine Diskussion bezüglich eines Gemeinschaftsraums.
One of the two investors that are still on board has offered to accommodate the municipality.	Einer der beiden Investoren, die noch im Boot sind, hat angeboten, der Gemeinde entgegen zu kommen.
For a special price, it would provide a living space – of around 55 square metres – and an adjacent terrace with no less than 70 square metres on the ground floor.	Im Erdgeschoss würde er eine Wohnfläche - rund 55 Quadratmeter - und eine angrenzende Terrasse mit immerhin 70 Quadratmetern Fläche für einen Sonderpreis zur Verfügung stellen.
What the management and the majority of the municipal council have in mind is not simply to set aside such a common room as a meeting place only for the residents of the senior citizens' accommodation, but for it to be open to the community.	Der Verwaltung und der Mehrheit des Gemeinderats schwebt vor, solch ein Gemeinschaftsraum eben nicht als Treffpunkt nur für die Bewohner des seniorengerechten Wohnens vorzusehen, sondern offen in die Gemeinde hinein.
Talk of a "knitting café" was making the rounds, for example.	Als Beispiel machte das Wort vom "Strickcafé" die Runde.
The decision, which was already pre-determined last Autumn through the allocation of resources for the current budget, is sweetened by funding opportunities.	Versüßt wird die Entscheidung, die durch die Bereitstellung von Mitteln für den laufenden Haushalt bereits im vergangenen Herbst vorentschieden wurde, durch Fördermöglichkeiten.
The building is in an area for redevelopment.	Der Bau liegt im Sanierungsgebiet.
The construction of a common room would be eligible for financial support, reports Tjaden, with 60 per cent of 30 per cent.	Die Einrichtung eines Gemeinschaftsraums wäre, so berichtet Tjaden, mit 60 Prozent von 30 Prozent förderfähig.
So as to signal to the investor that no-one wants to put a spoke in their wheel, the proposed resolution makes allowances for the determination that both a saddled roof – based on the surrounding buildings – and a mono-pitch roof – which reduces the height of the eaves and makes the building more economical – would be possible.	Der Beschlussvorschlag sieht, um dem Investor zu signalisieren, dass man ihm in dieser Hinsicht keine Knüppel zwischen die Beine werfen will, die Feststellung vor, dass sowohl Sattel- - was an die Umgebungsbebauung angelehnt ist - als auch Pultdach - was die Traufhöhe verringert und den Bau wirtschaftlicher macht -­ möglich wären.
An uneccessary addition, thinks not only Wilfried Sohmer.	Unnötig, so meint nicht nur Wilfried Sohmer, sei dieser Zusatz.
If it helps: it passes through the committee unanimously.	Wenn's hilft: Einstimmig passiert er das Gremium.
It's not so easy with the common room.	Nicht so einfach geht es beim Gemeinschaftsraum.
Daniela Ruf points to their many owned buildings that are not really being forged ahead, but instead they are going out of their way with the common room: "I have difficulty with that," she says.	Daniela Ruf verweist auf die vielen eigenen Gebäude, mit denen man nicht so recht voran komme, dafür lehne man sich jetzt beim Gemeinschaftsraum aus dem Fenster, sagt sie: "Ich tue mich schwer damit".
Yvonne Staiger declares herself to be unequivocally in favour of the common room – but absolutely against an investment from the municipality.	Yvonne Staiger spricht sich unbedingt für den Gemeinschaftsraum aus - allerdings absolut gegen eine kommunale Beteiligung.
She views that as a hidden subsidy to already wealthy, or even foreign, investors.	Sie sieht dahinter eine verdeckte Subvention an ohnehin Vermögende oder gar auswärtige Investoren.
That is simply not true according to the counterargument, for by purchasing the plot they are not giving away any grants, but are rather getting a genuine, when in doubt saleable, equivalent in value.	Das sei eben nicht so, denn mit dem Erwerb der Fläche gebe man keinen Zuschuss, sondern bekomme einen echten, im Zweifelsfall vermarktbaren Gegenwert, lautet die Gegenrede.
Staiger's proposal, to split up the proposed resolution accordingly, has three supporters.	Staigers Antrag, den Beschlussvorschlag entsprechend aufzusplitten, findet drei Befürworter.
So, with two dissenting votes, they are sticking with the original programme, which Stefan Haller summed up as follows: "If we pass the resolution as so, we make a huge step towards plugging a huge gap in our infrastructure."	So bleibt es bei zwei Gegenstimmen beim ursprünglichen Programm, das Stefan Haller so zusammenfasst: "Wenn wir den Beschluss so fassen, machen wir einen Riesenschritt dahin, eine Riesenlücke in unserer Infrastruktur zu schließen".
Collision with a car: Cyclist hurled onto the road	Kollision mit Auto: Radler wird auf Straße geschleudert
The 82-year-old cyclist was hit by a car whilst crossing the road in Garath on Wednesday and was seriously injured.	Beim Queren der Straße ist ein 82-jähriger Radfahrer am Mittwoch in Garath von einem Auto erfasst und schwer verletzt worden.
According to police reports, the 82-year-old from Langenfeld was travelling on his bicycle on the Schwarzer Weg cycle lane at around 12.20pm, coming from the direction of Hilden.	Wie die Polizei mitteilte, war der 82-jährie Langenfelder um 12.20 Uhr mit seinem Fahrrad auf dem Radweg der Straße Schwarzer Weg aus Richtung Hilden kommend unterwegs gewesen.
The senior citizen wanted to cross the lane of traffic up where the street Am Buchholzer Busch is.	Der Senior wollte die Fahrbahn in Höhe der Straße Am Buchholzer Busch überqueren.
A woman driving a car in the same direction gave way to him.	Eine in die gleiche Richtung fahrende Pkw-Führerin gewährte ihm Vorrang.
However, as the man from Langenfeld cycled onto the road, he evidently did not pay attention to the oncoming traffic.	Als der Langenfelder auf die Straße fuhr, achtete er aber offenbar nicht auf den Gegenverkehr.
He collided with a car being driven by a 66-year-old woman from Hilden.	Er stieß mit einem Auto zusammen, das eine 66-jährige Hildenerin steuerte.
The man was hurled onto the road.	Der Mann wurde auf die Straße geschleudert.
He suffered serious injuries and was brought to hospital in an ambulance.	Er erlitt schwere Verletzungen und wurde mit einem Rettugnswagen in ein Krankenhaus gebracht.
FC Bayern Munich have to do without David Alaba and Thiago for the Super Cup against Borussia Dortmund	FC Bayern München muss beim Supercup gegen Borussia Dortmund auf David Alaba und Thiago verzichten
The Super Cup is happening without him: David Alaba has to skip the game against Dortmund.	Der Supercup findet ohne ihn statt: David Alaba muss das Spiel gegen Dortmund sausen lassen.
With squad concerns, FC Bayern are travelling to Dortmund for the first competitive match of the new season.	Mit Personalsorgen reist der FC Bayern zum ersten Pflichtspiel der neuen Saison nach Dortmund.
The title-defender is missing seven of its pros in the Super Cup against the cup winners.	Sieben Profis fehlen dem Titelverteidiger im Supercup gegen den Pokalsieger.
The squad concerns are getting even bigger for the German football record champions Bayern Munich ahead of the Super Cup on Saturday (8.30pm/ZDF and Eurosport) at cup winners Borussia Dortmund.	Die Personalsorgen beim deutschen Fußball-Rekordmeister Bayern München werden vor dem Supercup am Samstag (20.30 Uhr/ZDF und Eurosport) bei Pokalsieger Borussia Dortmund immer größer.
Coach Carlo Ancelotti has to also do without David Alaba in the duel with the BVB.	Trainer Carlo Ancelotti muss im Duell mit dem BVB auch auf David Alaba verzichten.
The Italian confirmed that on Friday.	Das bestätigte der Italiener am Freitag.
In addition, the Munich team is missing Manuel Neuer, James, Thiago, Jerome Boateng, Arjen Robben and Juan Bernat.	Zudem fehlen den Münchnern Manuel Neuer, James, Thiago, Jerome Boateng, Arjen Robben und Juan Bernat.
Ancelotti blamed the physical state of his team and the lack of balance in their game for their five defeats in the past six friendlies.	Für die fünf Niederlagen in den vergangenen sechs Testspielen hat Ancelotti den körperlichen Zustand und die fehlende Balance im Spiel seiner Mannschaft verantwortlich gemacht.
"We know that we are not in the best physical condition," said Ancelotti, adding, "The most important point is the balance in the team.	"Wir wissen, dass wir nicht in der besten physischen Verfassung sind", sagte Ancelotti und fügte hinzu: "Der wichtigste Punkt ist die Balance im Team.
That has not been good recently."	Die war zuletzt nicht gut."
However, the 58-year-old believes that they can improve their performance in the first official competitive game of the season.	Der 58-Jährige glaubt aber an eine Leistungssteigerung im ersten offiziellen Pflichtspiel der Saison.
"Football is also tactics, strategy, personality and motivation.	"Fußball ist auch Taktik, Strategie, Persönlichkeit und Motivation.
I have great confidence that my team exhibits these qualities.	Ich habe großes Vertrauen, dass meine Mannschaft diese Qualitäten zeigt.
The team is ready.	Die Mannschaft ist bereit.
We want to play intelligently," said Ancelotti, who is expecting a "difficult, intense game".	Wir wollen intelligent spielen", sagte Ancelotti, der ein "schwieriges, intensives Spiel" erwartet.
The duel between the two German football heavyweights is captivating the fans.	Das Duell der beiden deutschen Fußball-Schwergewichte zieht die Fans in ihren Bann.
With 81,360 spectators, the game is sold out, shared the German football league (DFL) on Friday.	Die Partie ist mit 81.360 Zuschauern ausverkauft, teilte die Deutsche Fußball Liga (DFL) am Freitag mit.
Wandering from star to star in the Harz	Im Harz von Stern zu Stern wandern
The nation's first "astral path" is to come to life in the Harz.	Im Harz soll der bundesweit erste "Sternenpfad" entstehen.
It is being planned by the Sankt Andreasberg Observatory society.	Diesen plant der Verein Sternwarte Sankt Andreasberg.
There has been a planetary trail in Göttingen since 2003.	Einen Planetenweg gibt es in Göttingen - seit 2003.
An "astral path" satisfies many Harz visitors' need for information, it is said.	Ein "Sternenpfad" komme dem Informationsbedürfnis vieler Harzbesucher entgegen, hieß es.
It combines nature, science, exercise and athletic performance.	Er verbinde Natur, Wissenschaft, Bewegung und sportliche Leistung.
Members want to set up plaques along the planned route and put information about stars and constellations on them.	Die Mitglieder wollen entlang der geplanten Route Tafeln aufstellen und darauf über Sterne und Sternbilder informieren.
In a first phase, until 2018, the association is planning "easily accessible installations in five to six locations" in the Upper Harz.	In einer ersten Phase bis 2018 plant der Verein "gut erreichbare Installationen an fünf bis sechs Orten" im Oberharz.
In the running are St. Andreasberg, Braunlage, Hohegeiss and Sieber.	Infrage kämen St. Andreasberg, Braunlage, Hohegeiß und Sieber.
The information on the plaques is to be expanded upon online.	Die Informationen auf den Tafeln sollen per Internet ergänzt werden.
So good mobile network reception plays a part in the selection of locations.	Deshalb spielt bei der Standortauswahl ein guter Mobilnetz-Empfang eine Rolle.
Accessibility is also a criterion.	Auch Barrierefreiheit sei ein Kriterium.
The astral path is later to be extended, step by step.	Später soll der Sternenpfad Zug um Zug erweitert werden.
"Spectators will gain lots of useful knowledge on the astral path, for example about the physics of the individual stars," explained the society.	"Auf dem Sternenpfad erfahren die Betrachter viel Wissenswertes, beispielsweise über die Physik der einzelnen Sterne", erklärte der Verein.
In addition, they will learn why stars have different colours, or why one star shines more brightly than another, although it is significantly further away.	Zudem lernten sie, warum Sterne unterschiedliche Farben hätten oder warum ein Stern stärker leuchte als ein anderer, obwohl er wesentlich weiter entfernt liege.
It will also teach which constellation a selected star is located in, and when the best time to see it is.	Vermittelt werde auch, in welchem Sternbild sich ein ausgewählter Stern befinde und wann er am besten zu sehen sei.
The society has been operating the highest observatory in Northern Germany, in the small mountain town of St. Andreasberg, since 2014 already.	Der Verein betreibt bereits seit 2014 im Bergstädtchen St. Andreasberg die am höchsten gelegene Sternwarte Norddeutschlands.
The location in the middle of the Harz national park is among the six darkest regions in Germany, according to information from the Federal Agency for Nature Conservation.	Der Standort mitten im Nationalpark Harz zählt nach Angaben des Bundesamtes für Naturschutz zu den sechs dunkelsten Regionen in Deutschland.
One can regularly clearly see the Milky Way, and even the Andromeda Galaxy, from there with naked eyes.	Häufig sind von dort aus die Milchstraße und sogar die Andromeda-Galaxie mit bloßem Auge deutlich zu sehen.
The university town, on the initiative of the Göttingen Planetarium friends' association, has had something similar to the astral path since 2013 – the planetary trail.	In der Uni-Stadt gibt es seit 2003 auf Initiative des Fördervereins Planetarium Göttingen etwas Ähnliches wie den geplanten Sternenwerg - den Planetenweg.
Starting at Gebhards Hotel in Goethealle, which forms the centre of our solar system, the planetary trail leads with its steles up to Hainberg and the observatory – as well as an "extra-terrestrial" location in Diemarden (Municipality of Gleichen) with the planet Sedna.	Beginnend vor Gebhards Hotel in der Goetheallee, die das Innere unseres Sonnensystems bildet, führt der Planetenweg mit seinen Stelen bis hinauf zum Hainberg und zur Sternwarte - sowie einem "außerirdischen" Standort in Diemarden (Gemeinde Gleichen) mit dem Planeten Sedna.
The steles with the individual planets – including Pluto, which was downgraded to a dwarf planet, at the end point – are set up at exact intervals and on a scale of one to two billion.	Die Stelen mit den einzelnen Planeten - inklusive des zum Zwergplaneten degradierten Pluto am Endpunkt - sind exakt im Abstand und Maßstab von eins zu zwei Milliarden aufgestellt.
The Earth thus shrinks to a ball with a diameter of 6.5 millimetres, while the sun, standing exactly 75 metres away, measures 70 centimetres.	Die Erde schrumpft so auf eine Kugel von 6,5 Millimeter Durchmesser, während die exakt 75 Meter entfernt stehende Sonne immerhin 70 Zentimeter misst.
The total distance covered by the planetary trail is a good four kilometres.	Die gesamte Distanz des Planetenweges beträgt gut vier Kilometer.
While the light of the sun needs around eight hours to reach Pluto, pedestrians need a good hour to get to the stele with Pluto.	Während das Licht von Sonne bis zum Pluto etwa acht Stunden benötigt, brauchen Fußgänger eine gute Stunde bis zur Stele mit Pluto.
So, pedestrians are faster than light in space.	Fußgänger sind also schneller als das Licht im Weltall.
The trek to the nearest fixed star would take another half a year though.	Der Marsch zum nächsten Fixstern aber würde noch ein halbes Jahr dauern.
Mikey Garcia and Vasyl Lomachenko meet for the first time, discuss a possible showdown	Mikey Garcia und Vasyl Lomachenko treffen sich zum ersten Mal, diskutieren einen möglichen Showdown
Vasyl Lomachenko and Mikey Garcia, who should be on a collision course to stage the most compelling boxing match under 147 pounds in the near future, met each other for the first time Thursday.	Vasyl Lomachenko und Mikey Garcia, die in einem Kollisionskurs stehen sollten, um den spannendsten Boxkampf in naher Zukunft unter 147 Pfund zu inszenieren, trafen sich zum ersten Mal am Donnerstag.
They were in separate rooms at ESPN offices in Los Angeles until Garcia, the unbeaten World Boxing Council lightweight champion, walked down the hallway to greet Lomachenko, the World Boxing Organization super-featherweight champion.	Sie waren in separaten Räumen in ESPN-Büros in Los Angeles, bis Garcia, der ungeschlagene World Boxing Council Leichtgewicht-Champion, den Flur hinunter ging, um Lomachenko, den World Boxing Organisation Super-Federgewicht-Champion zu begrüßen.
After Garcia's victory by unanimous decision over former four-division world champion Adrien Broner on Saturday on Showtime, both fighters are members of the top-five pound-for-pound list.	Nach Garcias Sieg durch einstimmigen Beschluss über den ehemaligen Vier-Divisionen-Weltmeister Adrien Broner am Samstag auf Showtime sind beide Kämpfer Mitglieder der Top-Fünf Pound-for Pound-Liste.
Garcia extended his right hand and said, "How you doing, champ?	Garcia streckte die rechte Hand aus und sagte: "Wie geht es dir, Champion?
Best of luck to you."	Ich wünsche dir viel Glück."
Lomachenko defends his belt against Miguel Marriaga on Saturday night at 7 on ESPN.	Lomachenko verteidigt seinen Gürtel gegen Miguel Marriaga am Samstagabend um 19 Uhr auf ESPN.
As the pair posed for photos, Lomachenko manager Egis Klimas noted that a potential showdown between the fighters would be "perfect sizing."	Als das Paar für Fotos posierte, bemerkte Lomachenko-Manager Egis Klimas, dass ein möglicher Showdown zwischen den Kämpfern die "perfekte Größenordnung" sein würde.
"I'm a former featherweight," Garcia reminded.	"Ich bin ein ehemaliges Federgewicht", erinnerte Garcia.
"I moved up for Broner [at 140 pounds], but I'm not that big.	"Ich bin für Broner [auf 140 Pfund] aufgestiegen, aber ich bin nicht so groß.
I'm small for 140.	Ich bin klein für 140.
I want to come down to lightweight.	Ich möchte auf Leichtgewicht herunterkommen.
And he's got to move up to lightweight [135 pounds] and then we have a fight.	Und er muss sich auf Leichtgewichtler [135 Pfund] zu bewegen und dann kämpfen wir.
That's what the fans are asking for.	Das verlangen die Fans.
Let's give them that."	Lass uns ihnen das geben."
Lomachenko agreed.	Lomachenko stimmte zu.
"Boxing needs this fight."	"Boxen braucht diesen Kampf."
Klimas asked if it should be on pay-per-view, part of a strategy he has to have Lomachenko fight a 135-pound debut bout later this year to set up a date next summer with Garcia (37-0, 30 knockouts), who also has interest in fighting the Jorge Linares-Luke Campbell winner following their Sept. 23 lightweight title bout at the Forum.	Klimas fragte, ob es auf Pay-per-View sein sollte, Teil einer Strategie, die Lomachenko mit einem 135-Pfund-Debüt in diesem Jahr kämpfen muss, um im nächsten Sommer mit Garcia ein Datum zu vereinbaren (37-0, 30 Knockouts) der auch Interesse an dem Kampf gegen den Gewinner von Jorge Linares-Luke Campbell nach deren Leichtgewicht-Titelkampf im Forum am 23. September hat.
"This fight could be on pay-per-view because all the fans have been asking about it," Garcia said, later expressing openness to fighting on whatever network offers the best financial package.	"Dieser Kampf könnte im Pay-per-View-Modus stattfinden, weil alle Fans nach ihm gefragt haben", sagte Garcia und drückte sich später offen aus, bei dem Netzwerk zu kämpfen, das das beste Finanzpaket anbietet.
"We're the main names.	Wir sind die Besten.
No other names can generate that kind of attention.	Keine anderen Namen können diese Art von Aufmerksamkeit erzeugen.
Whenever they're ready ... ."	Wann immer sie bereit sind ... "
Garcia said he appreciates Lomachenko as "a tremendous fighter," and may attend his Saturday bout.	Garcia sagte, er schätze Lomachenko als "einen enormen Kämpfer", und er werde möglicherweise an seinem Samstag-Kampf teilnehmen.
But Lomachenko paused at lavish praise for Garcia, saying he thought the three-division champion from Riverside looked "very slow, sorry Mikey ... you wanted the knockout."	Aber Lomachenko hielt bei dem großzügigem Lob für Garcia an und sagte, dass er denke, der Dreikampf-Champion aus Riverside sehen"sehr langsam aus, tut mir leid Mikey ... du wolltest ja das Ko-Aus".
