Four members of the Kemerovo group arrested in Estonia and Spain	Eestis ja Hispaanias peeti kinni neli Kemerovo grupeeringu liiget
In total, according to Statistics Estonia, 14,822 people immigrated to Estonia, and 13,792 emigrated.	Kokku rändas statistikaameti andmetel Eestisse mullu 14 822 inimest, siit välja aga 13 792.
That means that immigration outstripped emigration for a second year.	See tähendab, et sisseränne ületas teist aastat väljarännet.
Most immigrants and emigrants are Estonian citizens, but there are more of them among the ones leaving.	Enamik välja- ja sissekolijatest on Eesti kodanikud, kuid rohkem on neid lahkujate seas.
For that reason, the migration balance for Estonian citizens was negative 2,000 last year.	Seetõttu oli Eesti kodanike rändesaldo mullu 2000 inimesega miinuses.
Estonians migrate between Finland and Estonia the most.	Eestlased rändavad eelkõige Soome ja Eesti vahet.
Mammu Couture princess fashion entices with frills, embroidery and tulle.	Mammu Couture'i printsessimood võlub satside, tikandite ja tülliga
Nevertheless, history is a bottomless well of ideas for Maria Tammeoru – old paintings and costumes: “I can sit in some museum for hours lost in reverie, just admiring old-fashioned sleeves and collars.	Põhjatu ideedelaegas on Maria Tammeoru jaoks siiski ajalugu - vanad maalid ja kostüümid: "Võin tundide kaupa kusagil muuseumis unistada ja vanaaegseid varrukaid ja kraesid imetleda.
If you do something with passion, you study and learn from it every day.	Kui teed midagi kirega siis sa uurid ja õpid selle kohta juurde iga päev.
It’s the joy of discovery!	See on avastamisrõõm!
Mammu Couture’s glamorous world may seem out of touch for some, but the designer doesn’t think so.	Mammu Couture'i glamuurne maailm võib mõnele eluvõõras näida, kuid disainer nii ei arva.
You yourself decide how much flair there is in your life!	Sa ise otsustad, kui palju sära su elus on!
I have a girlfriend whose entire sauna is full of my haute couture dresses.	Mul on sõbranna, kel on terve saun täis minu loodud haute couture'i kleite.
It isn’t her fault that she doesn’t live in Hollywood and doesn’t walk the red carpet every day; she wants to wear the prettiest dresses, and does wear them!	Sest ega see tema süü pole, et ta ei ela Hollywoodis ja ei käi iga päev punasel vaibal, tema tahab ka neid kõige ilusamaid kleite kanda ning kannabki!
You can live your own life so it’s special!	Sa saad ise elada oma elu eriliseks!
The fashion artist doesn’t acknowledge a rift between glamorous events and the grey everyday.	Moekunstnik ei tunnista lõhet säravate sündmuste ja halli argipäeva vahel.
It was this idea that got the plan rolling to take haute couture to the countryside in Estonia, amidst fields and forests, people that fashion doesn’t usually reach.	Just see mõttekäik pani veerema plaani viia kõrgmood Eestis maakohtadesse, metsade ja põldude vahele, inimesteni, kelleni mood tihtipeale ei jõua.
The Mammu collection was showcased in Võru, in Jõhvi and along the fashion street in Pärnu, where a regal column of 45 models filled the entire street.	Mammu kollektsiooni esitleti näiteks Võrus, Jõhvis ja Pärnu moealleel, kus 45 modelliga kuninglik defilee täitis terve tänava.
In Tallinn, often people strike a pose, give a distinguished nod, but elsewhere there’s more emotions – cries of bravo!, standing ovations, people wanting to thank you physically.	Tallinnas võetakse sageli poos sisse, noogutatakse väärikalt, aga mujal on emotsioone rohkem - hüüavad braavo, tõusevad püsti, tahavad sind kättpidi tänada.
A large part of the audience just came out of curiosity, but they’re now fans of Mammu Couture.	Suur osa publikust tuli niisama uudistama, aga nüüd on nad Mammu Couture'i fännid.
If you exceed people’s expectations, they’re thrilled!	Kui sa ületad inimeste ootused, on nad vaimustatud!
And I like the feeling that I’m on a summer tour with my fashion creations.	Ja mulle meeldib see tunne, et olen oma moeloominguga justkui suvetuuril.
We had a 50-metre long red carpet in Pärnu, a whole street of beautiful dresses, it seemed they would never end!	Pärnus oli meil 50 meetri pikkune punane vaip, terve tänav kauneid kleite täis, tundus, et neil ei tulegi lõppu!
Maria doesn’t also accept the fashion custom that fashion designs have to be presented by a twiggy supermodel; she is happy to bring ordinary women on to the catwalk.	Maria ei tunnista ka moetava, et loomingut peab esitlema supersale supermodell, tema toob meelsasti lavale tavalised naised.
I often invite my own clients to take the stage – they’ve always accepted the offer gladly.	Tihti kutsun lavale omaenda kliendid - nad on alati rõõmuga tulnud.
It’s such a cool experience, you can shine on stage in an incredibly beautiful dress!	See on ju nii kihvt kogemus, saad särada laval imeilusas kleidis!
I feel so sorry that I haven’t ever seen my own shows, I’m always behind the stage, perfectionistically giving things a final polish.	Mul on nii kahju, et ma ise ei ole mitte kunagi oma etendust näinud, alati olen ju lava taga, et anda lootusetu perfektsionistina asjadele viimane lihv.
I wouldn’t have the nerve to just watch calmly from the audience.	Mu närv ei lubaks rahulikult saalist pealt vaadata.
Maria is the kind of fashion designer who doesn’t want to solely fill a representative role – she wants to have her fingers in everything.	Maria ongi seda sorti moelooja, kes ei taha üksnes esindusrolli täita, vaid kõiges kättpidi sees olla.
I have a sewing machine in my studio, I execute most of the collection myself.	Mul on stuudios oma õmblusmasin, enamiku kollektsioonist teostan ise.
I like the whole process, where you’re playing with the details, making discoveries.	Mulle meeldib kogu protsess, kus sa mängid detailidega, avastad.
I’m never far from my work and I’m not afraid of work.	Ma pole oma loomingust kunagi kaugel ja tööd ma ei karda.
It isn’t restricted to design, stylistics, logistics, managing, organizing – a temperamental woman’s day has to have room for all of it.	Disainiga asi ei piirdu, ka stilistika, logistika, korraldamine, organiseerimine - kõik peab ühe temperamentse naise päeva ära mahtuma.
Fanatics do rack up an incredible amount of work hours.	Eks neid töötunde tuleb fanaatikutel ikka tohutult.
I can’t even say when my workday ends, for me it’s just a day full of fun!	Ma ei oskagi öelda, millal mu tööpäev lõpeb, minu jaoks on see lihtsalt päev täis rõõmu!
I’ve been very fortunate – it’s like a unbroken circle of happiness: I make something beautiful, people get something beautiful, and then compliments on top of that.	Mul on ikka väga vedanud - see on nagu lakkamatu õnneahel: mina teen midagi ilusat, inimene saab midagi ilusat ja veel omakorda komplimente.
It’s been said a number of times that there’s magic in my dresses – they make me feel like a princess.	Mitu korda on öeldud, et mu kleitides on maagia - need panevad end printsessina tundma.
The lavish tulle frills that made Maria’s talent an overnight sensation, have remained the signature of Mammu Couture right up to the present.	Külluslikud tüllist satsiread, mis Maria talendi üleöö kuulsaks tegid, on Mammu Couture signatuuriks jäänud tänaseni.
Martin Müürsepp on U18 boys: the Estonian tournament’s weapon now was turned against us	Martin Müürsepp U18 poistest: eestlaste alagrupiturniiri relv pöörati nüüd meie vastu
Too bad, the fairy-tale ended.	Kahju, muinasjutt sai otsa.
The first thing I noticed is that we didn’t get rebounds.	Esimese asjana jäi silma, et me ei saanud oma lauda kätte.
And when there’s such a big difference in rebounding, there’s nothing to be done,” commented BC Kalev/Cramo assistant coach Martin Müürsepp, the only Estonian to have played in the NBA, in commenting on the Estonian U18 boys’ team’s 75-61 loss to Great Britain.	Ja kui lauas tuleb nii suur vahe sisse, pole midagi teha", kommenteeris Eesti U18 korvpallipoiste 61:75 allajäämist Suurbritanniale meie ainus NBAs mänginud korvpallur, BC Kalev/Cramo abitreener Martin Müürsepp.
The opponents grabbed 28 offensive rebounds and got more scoring chances because of that.	Vastased võtsid ründelauast 28 palli ja said selle tõttu nii palju rohkem rünnakuid.
We weren’t ready for their aggressive defence or offence.	Me polnud ka valmis nende agressiivseks kaitseks ega rünnakuks, see lõi .
Many of the English attacks ended in three to five seconds, we couldn’t set up the defence.	Paljud inglaste rünnakud lõppesid kolme kuni viie sekundiga, me ei suutnud kaitset üles ehitada.
They were able to get a hand in the way everywhere while on defence, and our playmaking was hampered.	Kaitses jõudsid nad aga igal pool käsi vahel hoida, me ei saanud kombineerida.
That knocked us off our feet.	See lõi meeskonnal jalad alt.
Our opponents had done their homework better.	Vastaste kodutöö oli paremini tehtud.
Müürsepp said Estonia should have committed more fouls to nip the opponents’ momentum in the bud.	Müürsepa hinnangul pidanuks Eesti tegema rohkem taktikalisi vigu, et vastaste hoog eos maha võtta.
In the last quarter as well, we had zero fouls but the opponents had already scored a number of quick baskets.	Viimaselgi veerandil - meil oli null viga, kuid vastased juba mitu kiiret korvi saanud.
Athleticism and hustle, which were our weapon in the tournament, now was turned against us.	Atleetlikkus ja tihe pealekäimine, mis oli alagrupiturniiril meie relv, pöördus nüüd kõik meie vastu.
Today we were powerless against their aggressive play.	Täna polnud meil nende agressiivsuse vastu jõudu.
Müürsepp said he was satisfied with his charge on the Kalev squad, Matthias Tass.	Müürsepp jäi oma hoolealusega Kalevis, Matthias Tassiga rahule.
At the tournament, generally good words can be said about the whole team, to this point we were a united strike force.	Turniiril üldiselt saab terve meeskonna kohta öelda häid sõnu, tänaseni oldi ühtne löögirusikas.
It’s too bad that we hadn’t met such aggressive opponents before	Kahju, et nõnda agressiivse vastasega poldud juba varem kohtutud.
Tass has been self-confident the whole time and he had a strong outing today as well, but it seemed he was tired – he had been carrying a pretty heavy burden.	Tass on kogu aeg olnud enesekindel ja mängis tänagi oma välja, kuid tundus, et ta oli väsinud - ta on kandnud päris suurt koormat.
But he made a couple nice moves that I’ve seen before in practices,” added the coach.	Aga ta tegi mõne täitsa ilusa liigutuse, mida varem trennides näinud olen", lisas juhendaja.
Awful numbers: girls’ basketball team held to under 10 points in three quarters at European championship tournament…	Kohutavad numbrid: neidude korvpallikoondis viskas EM-turniiril kolme veerandiga vähem kui 10 punkti...
Not only the young men’s European championship division B basketball tournament is underway in U18 age class in Tallinn; the young women started yesterday in Dublin.	U18 vanuseklassis ei käi ainult noormeeste EMi B-divisjoni korvpalliturniir Tallinnas, neiud alustasid üleeile Dublinis.
And Estonia’s game with Poland tended unfortunately to be in the anti-record category.	Ning Eesti mäng Poolaga kippus paraku küll antirekordite valdkonda.
Estonia lost 65-25, but the score after three quarters was 49-9, meaning that only in the last ten minutes did the opponents take their foot off the gas and scoring in that period was even, 16-16.	Eesti kaotas 25:65, kuid veel pärast kolmandat veerandaega oli seis 9:49 ehk alles viimasel kümnel minutil võtsid vastased jala gaasipedaalilt ning too periood jäi viiki 16:16.
Estonia scored 4 points in the first and second quarter and 1 point in the third…	Nii esimesel kui ka teisel veerandil viskas Eesti 4, kolmandal 1 punkti...
The Estonians made two of the first four field goal attempts in two minutes, from there on, they missed 25 in a row, then a three-pointer went in, and then another 21 missed attempts…	Seejuures tabasid eestlannad alguses kahe minutiga neljast esimesest viskest kaks tükki, edasi aga mängust 25 tükki mööda, siis üks kolmene sisse ning seejärel veel 21 viset mööda...
In other words, they made one out of 47 shot attempts in nearly half an hour.	Ehk peaaegu poole tunni jooksul tabati 47 viskest üks.
In addition, 2 points came from four free throws.	Lisaks tuli 2 punkti neljast vabaviskest.
The number of turnovers during that time was normal, 12.	Pallikaotusi oli selle ajaga mõistlik arv, 12.
By the end of the game, Poland was shooting 33% from the field; and Estonia, 13% (9 out of 68).	Mängu lõpuks oli Poola visketabavus 33 ja Eestil 13 protsenti (68/9).
Estonia started the tournament with two losses, having to concede to Portugal, 83-56, on the opening day.	Eesti on alustanud kahe kaotusega, avapäeval tuli tunnistada Portugali 83:56 paremust.
NATO ships come to Tallinn to replenish stores	NATO laevad tulid Tallinnasse varusid täiendama
Today, NATO Standing Mine Countermeasures Group 1 arrived in Tallinn for a weekend port call to replenish ships’ stores and prepare for an upcoming exercise.	Täna saabus NATO 1. alaline miinitõrjegrupp nädalavahetuseks Tallinnasse plaanilisele sadamavisiidile, et täiendada laevade varusid ning valmistuda eelolevateks harjutusteks.
In the course of the visit, the ships will prepare for returning to sea and will give the crew members a chance for a couple days of shore leave.	Külastuse käigus laevad teevad ettevalmistusi merele naasimiseks ning annavad sealjuures meeskonnaliikmetele võimaluse paaripäevaseks puhkuseks.
After the visit, NATO ships will remain in Estonian waters to carry out a number of exercises and to be prepared for future operations to search for historical ordnance.	Pärast visiiti jäävad NATO laevad Eesti vetesse, et viia läbi mitmeid harjutusi ja olla valmis tulevasteks ajalooliste lõhkekehade otsimise operatsioonideks.
“Estonians’ participation in the NATO unit and the interoperability exercise in local waters typifies our integrated allied forces,” said Capt. Maj. Arto Reinmaa, the operations and planning division commander in the capacity of commander of the naval fleet.	"Eestlaste osalus NATO üksuses ja nende poolt läbiviidav koostegevusõpe kohalikes vetes ilmestab hästi meie integreeritust liitlasjõududega", ütles mereväe laevastiku ülema ülesannetes olev operatsiooni- ja planeerimisjaoskonna ülem kaptenmajor Arto Reinmaa.
Starting 29 June, NATO Standing Mine Countermeasures Group 1 is headed by Latvian naval Capt. Lt. Gvido Laudups, who took over the functions of group commander from Estonian naval officer Capt. Lt. Johan Elias Seljamaa at a ceremony held in Riga.	Alates 29. juunist juhib NATO 1. alalist miinitõrjegruppi Läti mereväelane kaptenleitnant Gvido Laudups, kes võttis Riias peetud tseremoonial grupiülema ülesanded üle Eesti mereväeohvitserilt kaptenleitnant Johan-Elias Seljamaalt.
The Latvian naval auxiliary LVNS Virsaitis has been made the flagship of the group, and the group’s command staff also is based on board.	Grupi lipulaevaks on määratud Läti mereväe toetuslaev LVNS Virsaitis, millel tegutseb ka grupi juhtstaap.
This half-year, the Estonian minesweeper Sakala is also part of the international unit.	Sel poolaastal kuulub rahvusvahelise üksuse koosseisu ka Eesti mereväe miinijahtija Sakala.
As one of four groups of ships subordinate to the NATO naval command, Standing Mine Countermeasures Group 1 is a response unit that is among the primary rapid responders, which the alliance can deploy in various places around the world in five days.	Ühena neljast NATO merelise väejuhatuse alluvuses olevast laevade grupist on NATO 1. alaline miinitõrjegrupp esmaste kiirreageerijate hulka kuuluv valmidusüksus, keda allianss võib viie päeva jooksul saata erinevatesse maailma paikadesse.
From 4-13 August, the ancient ruins of Pirita Convent again turn into the venue for the Birgitta Festival started 13 years ago by maestro Eri Klas.	4. - 13. augustini muutuvad Pirita kloostri muistsed varemed taaskord paigaks, kus peetakse maha 13 aastat tagasi maestro Eri Klasi poolt ellu kutsutud Birgitta Festival.
This year’s Birgitta Festival will be beautiful, powerful and unprecedented, according to the artistic director of Tallinn Philharmonic Risto Joost, 36.	Tänavune Birgitta Festival saab Tallinna Filharmoonia kunstilise juhi Risto Joosti (36) sõnul olema kaunis, võimas ja enneolematu.
Risto Joost: Listeners will hear opera classics La Traviata and Tosca, see ballet performances from Bolero to “Karlsson” and there’s even an in-production in the programme, which this time will be a performance of Joseph Haydn’s wonderful oratorio The Seasons by the same international creative team that brought another Haydn masterpiece to the stage at Pirita in 2015, The Creation.	Risto Joost: Kuulajateni jõuavad ooperimaailma klassikasse kuuluvad "Traviata" ja "Tosca", balletilavastused lummavast "Bolerost" lõbusa "Karlssonini" ning samuti ei puudu kavast omaproduktsioon, milleks on sel korral Joseph Haydni imelise oratooriumi "Aastaajad" lavastus sama rahvusvahelise loovmeeskonna poolt, kes 2015. aastal tõid Pirital lavale Haydni teisegi meistriteose "Loomine".
There is much more at Birgitta Festival than just concerts and theatre performances.	Birgitta Festival on palju enamat, kui lihtsalt kontserdid ja teatrilavastused.
It is bigger than any other musical theatre in its conventional form.	See on suurem kui mistahes muusikateater oma tavapärases vormis.
It’s a festival whose magic gets a hold on you and doesn’t quite ever let go.	See on festival, mille lummus võtab võimust ja ei lasegi kunagi enam päris lahti.
Because the experience that listeners get in this sublime and mysterious environment makes human spirits resonate and touches human senses in a way that can’t be described.	Sest kogemus, mille kuulaja saab selles ülevas ja salapärases keskkonnas, paneb inimhinged helisema ning puudutab inimtajusid moel, mida kirjeldada pole võimalik.
Risto, it is your first year as artistic director of the Birgitta Festival.	Risto, oled esimest aastat Birgitta Festivali kunstiline juht.
Don’t maestro Eri Klas’s shoes seem a bit big for you?	Kas maestro Eri Klasi kingad pisut suurtena ei tundunud?
Naturally but since I had a very personal relationship with Eri Klas, that has helped me greatly.	Loomulikult, aga kuna mul oli Eri Klasiga väga isiklik suhe, siis on sellest palju abi olnud.
He guided me throughout my time as a student and also supported ma at the start of my conducting career.	Ta suunas mind läbi terve minu õpilaskarjääri ja toetas ka dirigeerimiskarjääri alguses.
Maybe thanks to this it is easier for me to continue his work.	Võib-olla just tänu sellele on mul lihtsam tema tööd jätkata.
Eri Klas has injected so much goodness into the Birgitta Festival team and naturally it all spreads to me as well.	Eri Klas on süstinud Birgitta Festivali meeskonda nii palju headust ja loomulikult kandub see kõik ka mulle üle.
It was great to join a team who knows exactly how things work.	Suurepärane oli liituda meeskonnaga, kes teab kuidas asjad täpselt käivad.
It was Eri Klas’s big heart that gave me energy to go ahead with Birgitta Festival in the Tallinn Philharmonic.	Just Eri Klasi suur süda andis ka mulle jõudu Tallinna Filharmoonias Birgitta Festivaliga jõudsalt edasi minna.
And here I am now, and I’ll manage!	Ja siin ma nüüd olen ja ma saan hakkama!
What might excite the public at this year’s festival, anything special being offered?	Mis võiks publikut tänavusel festivalil erutada, mida erilist pakute?
We have artists from England, Latvia, Lithuania and as a surprise the first ballet based on an Astrid Lindgren story will be performed.	Meil on artiste Inglismaalt, Lätist, Leedust ja üllatusena tuleb esitlusele muuseas esimene ballett, mis kirjutatud Astrid Lindgreni jutustusele.
It’s “Karlsson Flies”.	Selleks on "Karlsson lendab".
And a curious twist is that the ballet is by Latvian composer Juris Karlsons and it was his idea to write it.	Ja üks kurioosne nüanss selle juures on, et selle balleti autor on Läti helilooja Juris Karlsons, kes ise avaldas soovi selle teose kirjutada.
The Karlsson-on-the-Roof character had been dwelling in his soul since he was a child, it appears.	Ilmselt on tal juba lapsest saati hinges elanud Karlssoni karakter.
Risto, how do you find the energy for everything?	Risto, kuidas sa seda kõike jaksad?
Thanks to my supportive partner, certainly.	Tänu minu toetavale elukaaslasele kindlasti.
This kind of work needs a support system and much love and fortunately I have that in spades.	Selline töö vajab tugisüsteemi ja palju armastust ning seda on mul õnneks kuhjaga.
And I’ve noticed that my personal emotions don’t depend so much on other people, as on my own self – on how I set out to face each new day.	Ja olen märganud, et minu isiklikud emotsioonid ei sõltugi niipalju teistest inimestest, kuivõrd minust endast ehk siis kuidas ma igale uuele päevale vastu lähen.
And this sort of consciously maintaining one’s tone, staying positive and actually smiling at yourself in the mirror in the morning significantly increased my happiness quotient.	Ja selline teadlik toonuse hoidmine, positiivsuse hoidmine ja tegelikult naeratamine iseendale hommikuti peeglisse, tõstis oluliselt minu õnneprotsenti.
Especially this week, with the most important rehearsals, I have been avidly practising it and works.	Eriti nüüd sel nädalal, kui on kõige olulisemad proovid, olen seda eriti agaralt praktiseerinud ja see toimib.
Smiling at yourself stimulates the brain and improves tone.	Endale naeratamine aktiviseerib aju ja tõstab toonust.
It isn’t just empty words.	See pole lihtsalt sõnakõlks.
I think that people don’t know half of the things about their body that the universe offers them, but I suppose everyone has to discover it little by little.	Arvan, et inimesed ei tea veel pooligi asju oma kehast, mida universum neile pakub, aga eks igaüks ise avastab seda tasapisi.
The big moment is about to come.	Kohe, kohe on tähtis hetk käes.
Do you have any ritual before the ascend the conductor’s podium?	On sul ka mingi rituaal enne dirigendi pulti astumist?
Sure – you have to change into more comfortable clothing.	On ikka, riided tuleb ära vahetada mugavamate vastu.
It’s a little moment for myself.	See on see väike hetk iseendale.
But in general, I don’t have a chance to rest up or take a short nap before a big performance.	Aga üldiselt jah, mul pole võimalust enne suurt esinemist puhata või väikest uinakut teha.
Actually I like interacting actively with people, even before ascending the podium.	Tegelikult mulle isegi meeldib inimestega aktiivselt suhelda, isegi enne dirigendipulti astumist.
But everybody come out to the Birgitta Festival, there’s plenty to discover here even for people who aren’t big opera and ballet fans!	Aga tulge kõik Birgitta Festivalile, siin on mida avastada ka mitte eriti suurele ooperi ja balleti sõbrale!
Watch the enjoyable video with Risto Joost!	Vaata meeleolukat videot Risto Joostiga!
New results of Sweden's asylum age assessment tests released	Avaldati Rootsi asüülitaotlejate vanuse hindamise testide uued tulemused
The latest results of tests on asylum seekers in Sweden subjected to a new method of medically assessing their age show that over 80 percent tested were judged to be older than 18, but not everyone has faith in their accuracy.	Rootsis tehti asüülitaotlejate seas test, mille käigus hinnati nende vanust uudse lähenemisega meditsiiniliselt. Testi värskeimad tulemused näitavad, et rohkem kui 80 protsenti testitutest hinnati vanemaks kui 18, aga sugugi mitte kõik ei usu tulemuste täpsusesse.
Sweden's national Forensic Medicine Agency (Rättsmedicinalverket) started carrying out the tests earlier year.	Rootsi riiklik kohtumeditsiini instituut (Rättsmedicinalverket) alustas testidega selle aasta alguse poole.
They are designed to make age assessment during the asylum process more accurate after the Swedish Migration Agency (Migrationsverket) was criticized for failings in assessing the correct age of some refugees claiming to be underage.	Testid loodi vanuse täpsemaks hindamiseks asüüli taotlemise käigus pärast seda, kui Rootsi Migratsiooniametit (Migrationsverket) kritiseeriti selle eest, et neil ei ole õnnestunud mitmete väidetavalt alaealiste pagulaste vanust õigesti määrata.
To date Migrationsverket has sent 6,880 cases to be tested, and the Forensic Medicine Agency has now released the results of a total of 2,481 tests from the period between mid March until July 31st, 2017.	Praeguseks on Migrationsverket saatnud testimisele 6880 juhtumit ja Kohtumeditsiini Instituut on vahemikus 2017. aasta märtsi keskpaigast kuni 31. juulini väljastanud kokku 2481 testi tulemused.
Eighty percent (2002) were judged to be 18 or over, while in a further 25 cases the Forensic Medicine Agency judged that the subject was "possibly 18 or over."	Kaheksakümmend protsenti (2002) hinnati 18-aastaseks või vanemaks ja veel 25 juhtumi puhul hindas Kohtumeditsiini Instituut, et testitav "võib olla 18-aastane või vanem".
In 432 cases the conclusion was that the person is "possibly under 18."	432 juhtumi puhul jõuti järeldusele, et inimene on "arvatavasti noorem kui 18".
The tests are only carried out in cases where the person's age is in question.	Teste kasutatakse ainult juhul, kui inimese vanus on küsimärgi all.
According to Johan Göransson from the Forensic Medicine Agency, the results are consistent with previous months.	Kohtumeditsiini Instituudis töötava Johan Göranssoni sõnul on tulemused eelnevate kuude omadega võrreldes järjepidevad.
"We see no big difference in the statistics from previous months, the numbers are quite consistent," he told The Local.	"Me ei näe eelmiste kuude statistikaga võrreldes suurt erinevust, numbrid on üsna järjepidevad," ütles ta ajalehele The Local.
The high proportion of cases judged to be over 18 does not necessarily mean that the asylum seeker lied about their age.	See, et suur osa juhtumitest hinnati vanemaks kui 18, ei tähenda ilmtingimata, et asüülitaotlejad on oma vanuse kohta valetanud.
In May, the agency released the results of 581 tests and said that there were 442 instances that "suggest the person examined is 18 years or older."	Instituut väljastas mais 581 testi tulemused ja ütles, et 442 juhul "on viiteid sellele, et uuritav inimene on 18-aastane või vanem".
When newspaper Svenska Dagbladet investigated the 581 results released however it found that in 243 of the cases the person had openly stated that they turn 18 this year.	Aga kui ajaleht Svenska Dagbladet uuris nende 581 testi tulemusi, selgus, et 243 juhul oli inimene otse väitnud, et saab sel aastal 18.
The method of medical age assessment, which consists of taking X-rays of wisdom teeth and MRI scans of knee joints, then having dentists and radiologists analyse them, has also been criticised in some quarters.	Seda meditsiinilist vanuse hindamise meetodit, mille käigus tehakse tarkusehammastest röntgenipildid ja põlveliigestest MRT, misjärel neid lastakse hambaarstidel ja radioloogidel analüüsida, on mõnes ringkonnas kritiseeritud.
One sceptic is Karolinska Institute endocrinologist Claude Marcus, whose work includes assessing the biological maturity of people to see if they went through puberty earlier or later than usual.	Üks skeptikutest on Karolinska Instituudi endokrinoloog Claude Marcus, kelle tööülesannete hulka kuulub inimeste bioloogilise küpsuse hindamine, et selgitada välja, kas nad läbisid puberteedi tavapärasest varem või hiljem.
"I've had reason to think about this, and I don't think the type of measurement being used should be.	"Mul on olnud põhjust selle üle mõelda ja ma ei arva, et praegu kasutatavat mõõtmisviisi peaks kasutama.
Judging biological age in this way is very uncertain.	Bioloogilise vanuse määramine sellisel viisil on väga ebakindel.
If we can't say it for sure we shouldn't pretend that we can," he told newspaper Metro.	Kui me ei saa kindlalt öelda, siis me ei tohiks teha nägu, et saame," ütles ta ajalehele Metro.
The Forensic Medicine Agency's Göransson defended the accuracy of the tests however: "In general you can say that the risk of inaccurately judging a child to be an adult is small.	Aga Johan Göransson Kohtumeditsiini Instituudist kaitses testide täpsust: "Üldiselt võib öelda, et lapse ebatäpselt täiskasvanuks lahterdamise risk on väike.
The biggest risk is if the person is just under 18, in which case it's around 10 percent."	Kõige suurem ehk umbes 10% juures on risk juhul, kui inimene on natuke alla 18."
9 signs you can forgive a partner who cheated on you.	9 märki, et võid sind petnud kallimale andestada.
Your partner betrayed you and spent the night with someone else.	Su kallim reetis sind ja veetis öö kellegi teisega.
You feel hurt because you have so many shared experiences and memories.	Sul on valus, sest teil on ühiselt nii palju toredaid aegu ja meenutusi.
You want to forgive them, but is it the right time…	Tahaksid talle andestada, kuid kas on õige aeg...
Your Tango provides nine signs that show that your partner is remorseful and you could forgive them.	Your Tango loetleb üheksa märki, mis näitavad, et su kallim oma tegu kahetseb ja võiksid talle andestada.
Your partner appears to realize the seriousness of the situation and is putting a lot of effort into resolving it.	Su kallim näib mõistvat olukorra tõsidust ja näeb selle lahendamiseks palju vaeva.
Your partner is dealing with the problem that led them to sleep with someone else.	Su kallim tegeleb probleemiga, mis viis ta teise kaaslasega voodisse.
Your partner isn’t taking a defensive position any longer.	Su kallim ei ole enam kaitsepositsioonil.
They are sincerely remorseful and take responsibility for their actions.	Ta kahetseb siiralt ja võtab vastutuste oma tegude eest.
They don’t try to blame you for their actions.	Ta ei ürita sind oma käitumises süüdistada.
They agree that they made a serious mistake and sincerely tries to rectify the situation.	Ta nõustub, et on teinud tõsise vea ja siiralt üritab olukorda parandada.
They are attentive and tries to interact with you in a pleasant manner.	Ta on tähelepanelik ja üritab sinuga meeldivalt suhelda.
They pressure you, urging you to try to get over it.	Samas survesta ta sind kiirustades asjast üle saama.
They don’t deny what happened and don’t try to cover it up.	Nad ei eita juhtunut ega ürita seda märkamatuks muuta.
You and your partner have an understanding about what caused the infidelity.	Sul ja su kallimal on arusaam, miks truudusetus teie suhtes tekkis.
You talk about it and also about how to avoid it in future.	Te räägite sellest ja ka sellest, kuidas seda tulevikus vältida.
You learn to communicate better and appreciate each other’s needs.	Õpite paremini suhtlema ja üksteise vajadusi hindama.
Your partner’s attitude and actions have helped you to develop empathy in regard to their actions.	Su kallima suhtumine ja teod on aidanud sul arendada endas kaastunnet tema eksimuse vastu.
Your partner’s commitment and actions have laid a basis for restoring intimacy between you.	Su kallima pühendumine ja käitumine on loonud aluse, et teie lähedus hakkab taastuma.
As a couple, you have made progress to once again believing in your unity and your relationship.	Olete paarina teinud edusamme, et uskuda taas teie ühtsusesse ja suhtesse.
The 20-year-old hammer thrower Anna Maria Orel made a nice debut at the London World Championships, finishing a well-deserved 18th with a mark of 67.37h	20aastane vasaraheitja Anna Maria Orel tegi Londoni MMil ilusa debüüdi, saades 67.37ga tubli 18. koha.
Orel was the youngest women’s hammer thrower at the worlds and the cheerful woman affirmed that she hopes to be in the medal hunt in future.	Orel oli MMi noorim naisvasaraheitja ning rõõmsameelne naine kinnitas, et loodab tulevikus medalite eest võidelda.
The competition went well and I gained a good experience.	Võistlus läks hästi ja sain hea kogemuse.
On my first attempt (64.80) I got my average result right away, on the second (62.80) I risked too much and on the third (67.37) I managed to stay clear in the head,” said Orel after the event.	Esimese katsega (64.80) tegin kohe oma keskmise tulemuse ära, teisel (62.80) riskisin liiga palju ja kolmandal (67.37) suutsin pea selge hoida", ütles Orel pärast võistlust.
I looked for my throw and I was very glad that I found it.	Otsisin oma heidet ja mul on väga hea meel, et leidsin selle.
Anna Maria Orel’s world championship debut culminated in a solid 18th place.	Anna Maria Oreli MMi debüüt lõppes tubli 18. kohaga.
The rain didn’t bother Orel, because she trained all winter long at the TUT stadium.	Vihmasadu Orelit ei seganud, sest treenib ta ju talv läbi TTÜ staadionil.
“I’ve been toughened up,” she says with a bit of a grin.	"Olen karastatud", ütles ta väikese muigega.
The London Olympic stadium was nearly packed, did Orel sense the people around her or was she able to disengage?	Londoni olümpiastaadionil oli peaaegu täismaja jagu rahvast, kas Orel tajus inimesi enda ümber või suutis end välja lülitada?
I did sense them, but in a positive sense.	Tajusin, aga positiivses mõttes.
Everybody says that it gives you something.	Kõik ütlevad, et see annab juurde - nii ongi!
